Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Title,viewingHint,Text direction,Visibility,IIIF Range,Opac url,Alt ID.local,IIIF Manifest URL
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz002kkk3h,ark:/21198/zz001nx6rz,1,In progress,Work,,30,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kkk7k,"C644_b131 Marc Chagall : [das graphische Werk / Einleitung und Auswahl, Franz Meyer ; Dokumentation, Hans Bolliger]",individuals,,private,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6461413,NE 678 34 A4 1957,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002kkk3h/manifest
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz002kkk41,ark:/21198/zz001nx6rz,1,In progress,Work,,31,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kkkcn,"C644_b131 Max Ernst. by Waldberg, Patrick",individuals,,private,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6461404,ND 588 E69 W3 1958,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002kkk41/manifest
