Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Title,viewingHint,Text direction,Visibility,IIIF Range,Opac url,Alt ID.local
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nx6rz,,1,In progress,Collection,,,,,,Roditi (Edouard) Papers. Collection 644,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nxj6h,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001nxj6h_1453895_master.tif,1,,,,C644_b1_f(Arslan Yueksel)_# 1_page 1.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nxj71,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001nxj71_1453898_master.tif,2,,,,C644_b1_f(Arslan Yueksel)_# 1_page 2.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nxj8j,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001nxj8j_1453901_master.tif,3,,,,C644_b1_f(Arslan Yueksel)_# 1_page 3.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nxj92,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001nxj92_1453904_master.tif,4,,,,C644_b1_f(Arslan Yueksel)_# 1_page 4.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nxjbk,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001nxjbk_1453907_master.tif,5,,,,C644_b1_f(Arslan Yueksel)_# 1_page 5.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nxjc3,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001nxjc3_1453910_master.tif,6,,,,C644_b1_f(Arslan Yueksel)_# 1_page 6.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nxjdm,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001nxjdm_1453913_master.tif,7,,,,C644_b1_f(Arslan Yueksel)_# 1_page 7.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nxjf4,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001nxjf4_1453916_master.tif,8,,,,C644_b1_f(Arslan Yueksel)_# 1_page 8.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nxjgn,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001nxjgn_1453919_master.tif,9,,,,C644_b1_f(Arslan Yueksel)_# 2.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nxjh5,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001nxjh5_1453922_master.tif,10,,,,C644_b1_f(Arslan Yueksel)_# 3_piece 1.tif,,,private,,,
Roditi (Edouard) Papers. Collection 644,ark:/21198/zz001nxjjp,ark:/21198/zz001nx6rz,1,In progress,Work,rodit/image/21198-zz001nxjjp_1453925_master.tif,11,,,,C644_b1_f(Arslan Yueksel)_# 3_piece 2.tif,,,private,,,
