File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,local ID,Creator,Date.created,Date.created (single),Language | code,TypeOfResource,Genre,Extent,Dimensions,Abstract,Note.content,Institution/Repository,Subject.place,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Subject.topic
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_jan1941_001.tif,Page,Page 1,1,ark:/21198/z14q9q3t,ark:/21198/z1bv9bvc,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_jan1941_002.tif,Page,Page 2,2,ark:/21198/z14q9q3t,ark:/21198/z1738m68,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_jan1941_003.tif,Page,Page 3,3,ark:/21198/z14q9q3t,ark:/21198/z13b7vgj,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_jan1941_004.tif,Page,Page 4,4,ark:/21198/z14q9q3t,ark:/21198/z1zk7bzs,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_jan1941_005.tif,Page,Page 5,5,ark:/21198/z14q9q3t,ark:/21198/z1tt6m5k,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_jan1941_006.tif,Page,Page 6,6,ark:/21198/z14q9q3t,ark:/21198/z1q25vgm,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_jan1941_007.tif,Page,Page 7,7,ark:/21198/z14q9q3t,ark:/21198/z1k953t5,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_jan1941_008.tif,Page,Page 8,8,ark:/21198/z14q9q3t,ark:/21198/z1fn32dt,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_jan1941_009.tif,Page,Page 9,9,ark:/21198/z14q9q3t,ark:/21198/z19w29sf,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_jan1941_010.tif,Page,Page 10,10,ark:/21198/z14q9q3t,ark:/21198/z1641k10,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_jan1941_011.tif,Page,Page 11,11,ark:/21198/z14q9q3t,ark:/21198/z12c0t8t,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_jan1941_012.tif,Page,Page 12,12,ark:/21198/z14q9q3t,ark:/21198/z1xm09r2,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_jan1941_013.tif,Page,Page 13,13,ark:/21198/z14q9q3t,ark:/21198/z1st9k16,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_jan1941_014.tif,Page,Page 14,14,ark:/21198/z14q9q3t,ark:/21198/z1p28td4,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_jan1941_015.tif,Page,Page 15,15,ark:/21198/z14q9q3t,ark:/21198/z1jd6s17,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_jan1941_016.tif,Page,Page 16,16,ark:/21198/z14q9q3t,ark:/21198/z1dn61bb,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_feb1941_001.tif,Page,Page 1,1,ark:/21198/z10z8zf0,ark:/21198/z18w58mm,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_feb1941_002.tif,Page,Page 2,2,ark:/21198/z10z8zf0,ark:/21198/z1544ht9,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_feb1941_003.tif,Page,Page 3,3,ark:/21198/z10z8zf0,ark:/21198/z11c3s2j,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_feb1941_004.tif,Page,Page 4,4,ark:/21198/z10z8zf0,ark:/21198/z1wm38mp,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_feb1941_005.tif,Page,Page 5,5,ark:/21198/z10z8zf0,ark:/21198/z1rv2j0q,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_feb1941_006.tif,Page,Page 6,6,ark:/21198/z10z8zf0,ark:/21198/z1n60gn5,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_feb1941_007.tif,Page,Page 7,7,ark:/21198/z10z8zf0,ark:/21198/z1hd9r06,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_feb1941_008.tif,Page,Page 8,8,ark:/21198/z10z8zf0,ark:/21198/z1cn906z,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_feb1941_009.tif,Page,Page 9,9,ark:/21198/z10z8zf0,ark:/21198/z17w87db,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_feb1941_010.tif,Page,Page 10,10,ark:/21198/z10z8zf0,ark:/21198/z1447gpx,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_feb1941_011.tif,Page,Page 11,11,ark:/21198/z10z8zf0,ark:/21198/z10c6r02,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_feb1941_012.tif,Page,Page 12,12,ark:/21198/z10z8zf0,ark:/21198/z1vm67j6,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_feb1941_013.tif,Page,Page 13,13,ark:/21198/z10z8zf0,ark:/21198/z1qz466r,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_feb1941_014.tif,Page,Page 14,14,ark:/21198/z10z8zf0,ark:/21198/z1m63fkp,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_feb1941_015.tif,Page,Page 15,15,ark:/21198/z10z8zf0,ark:/21198/z1gf2ps2,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_feb1941_016.tif,Page,Page 16,16,ark:/21198/z10z8zf0,ark:/21198/z1bp1z19,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_feb1941_001.tif,Page,Page 1,1,ark:/21198/z1w68fxj,ark:/21198/z16x168h,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_feb1941_002.tif,Page,Page 2,2,ark:/21198/z1w68fxj,ark:/21198/z1350fkj,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_feb1941_003.tif,Page,Page 3,3,ark:/21198/z1w68fxj,ark:/21198/z1zc9z5m,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_feb1941_004.tif,Page,Page 4,4,ark:/21198/z1w68fxj,ark:/21198/z1tq7ws9,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_feb1941_005.tif,Page,Page 5,5,ark:/21198/z1w68fxj,ark:/21198/z1pz753t,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_feb1941_006.tif,Page,Page 6,6,ark:/21198/z1w68fxj,ark:/21198/z1k66dbz,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_feb1941_007.tif,Page,Page 7,7,ark:/21198/z1w68fxj,ark:/21198/z1ff5njb,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_feb1941_008.tif,Page,Page 8,8,ark:/21198/z1w68fxj,ark:/21198/z19p4wtm,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_feb1941_009.tif,Page,Page 9,9,ark:/21198/z1w68fxj,ark:/21198/z15x4544,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_feb1941_010.tif,Page,Page 10,10,ark:/21198/z1w68fxj,ark:/21198/z1253dgm,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_feb1941_011.tif,Page,Page 11,11,ark:/21198/z1w68fxj,ark:/21198/z1xh1mdn,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_feb1941_012.tif,Page,Page 12,12,ark:/21198/z1w68fxj,ark:/21198/z1sr0vqc,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_feb1941_013.tif,Page,Page 13,13,ark:/21198/z1w68fxj,ark:/21198/z1p003xf,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_feb1941_014.tif,Page,Page 14,14,ark:/21198/z1w68fxj,ark:/21198/z1j69c4p,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_feb1941_015.tif,Page,Page 15,15,ark:/21198/z1w68fxj,ark:/21198/z1df8mdz,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_feb1941_016.tif,Page,Page 16,16,ark:/21198/z1w68fxj,ark:/21198/z18p7vr4,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_mar1941_001.tif,Page,Page 1,1,ark:/21198/z1rf7q5s,ark:/21198/z14x742n,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_mar1941_002.tif,Page,Page 2,2,ark:/21198/z1rf7q5s,ark:/21198/z11852rj,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_mar1941_003.tif,Page,Page 3,3,ark:/21198/z1rf7q5s,ark:/21198/z1wh4k9q,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_mar1941_004.tif,Page,Page 4,4,ark:/21198/z1rf7q5s,ark:/21198/z1rr3tgn,,,,,,,,,,,,,,,,,
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss04_mar1941_005.tif,Page,Page 5,5,ark:/21198/z1rf7q5s,ark:/21198/z1n032q5,,,,,,,,,,,,,,,,,
