Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.subject,Coverage.geographic,Name.creator,Subject,Rights.publicationNote,Language,Type.genre,Author,Name.contributor,Name.correspondent,Name.repository,Rights.permissionNote,Name.photographer,Title,Date.creation,Date.publication,Description.note,Date.normalized,Description.caption,Description.abstract
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00179gn7,ark:/21198/zz000s2z4b,2,Completed,Work,,1,,,,individuals,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Correspondence (WAVAW),,eng,letters (correspondence),"Belknap, Joan",,,,,,Letter to Advisory Board Members Regarding New Title and Letter of Support,"July 14, 1977",,Rights.generalNote: Unsure as to whether or not permission needs to be obtained as author is writing on behalf of the organization.,1977-07-14,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00179gq8,ark:/21198/zz000s2z4b,2,Completed,Work,,2,,,,individuals,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Correspondence (WAVAW),,eng,letters (correspondence),"Bechaud, Susan|~|London, Julia",,,,,,Letter to East Coast Chapter Regarding Conversations with Warner/Elektra/Atlantic Records,"August 25, 1977",,Rights.generalNote: Unsure as to whether or not permission needs to be obtained as authors are writing on behalf of organization.,1977-08-25,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00179gs9,ark:/21198/zz000s2z4b,2,Completed,Work,,3,,,,individuals,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Correspondence (WAVAW),,eng,letters (correspondence),"Belknap, Joan",,,,,,Letter Recruiting New Associates to Advisory Board,"October 25, 1977",,Rights.generalNote: Unsure as to whether or not permission needs to be obtained as author is writing on behalf of organization.,1977-10-25,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00179gtt,ark:/21198/zz000s2z4b,2,Completed,Work,,4,,,,individuals,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Correspondence (WAVAW),,eng,letters (correspondence),"London, Julia",,,,,,Letter to WAVAW Chapters Regarding Developing a Long-Term Strategy,"May 26, 1978",,Rights.generalNote: Unsure as to whether or not permission needs to be obtained as author is writing on behalf of organization.,1978-05-26,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00179gvb,ark:/21198/zz000s2z4b,2,Completed,Work,,5,,,,individuals,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Correspondence (WAVAW),,eng,letters (correspondence),"London, Julia",,,,,,Informational Update to Chapters,"December 8, 1978",,Rights.generalNote: Unsure as to whether or not permission needs to be obtained as author is writing on behalf of organization.,1978-12-08,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00179gwv,ark:/21198/zz000s2z4b,2,Completed,Work,,6,,,,individuals,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Correspondence (WAVAW),,eng,letters (correspondence),"London, Julia",,,,,,Letter Regarding Slide Show Revision Plans,"January 19, 1979",,Rights.generalNote: Unsure as to whether or not permission needs to be obtained as author is writing on behalf of organization..,1979-01-19,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00179gxc,ark:/21198/zz000s2z4b,2,Completed,Work,,7,,,,individuals,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Correspondence (WAVAW),,eng,letters (correspondence),"London, Julia",,,,,,Letter Soliciting News for Upcoming Newsletter,"January 23, 1979",,Rights.generalNote: Unsure as to whether or not permission needs to be obtained as author is writing on behalf of organization.,1979-01-23,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00179gzw,ark:/21198/zz000s2z4b,2,Completed,Work,,8,,,,individuals,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Correspondence (WAVAW),,eng,letters (correspondence),,,,,,,Letter Regarding Withdrawal of National Coordinator,"May 8, 1979",,"It appears that there should be additional pages to this letter, but they were not in the files.|~|Original author is unknown but presumed to be Julia London. Rights.generalNote: Unsure as to whether or not permission needs to be obtained as authors are writing on behalf of organization.",1979-05-08,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00179h0w,ark:/21198/zz000s2z4b,2,Completed,Work,,9,,,,individuals,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Correspondence (WAVAW),,eng,letters (correspondence),,,,,,,Informational Update to Chapters,"September 7, 1979",,Item includes personal information: name and address.|~|Rights.generalNote: Unsure as to whether or not permission needs to be obtained as author is writing on behalf of organization.,1979-09-07,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00179h1d,ark:/21198/zz000s2z4b,2,Completed,Work,,10,,,,individuals,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Correspondence (WAVAW),,eng,letters (correspondence),,,,,,,Update on Summer Activities,1979,,Rights.generalNote: Unsure as to whether or not permission needs to be obtained as author is writing on behalf of organization.|~|Item contains personal information on second page: name and address,1979,,
