"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Rights.permission","Name.subject","Coverage.geographic","Name.creator","Subject","Rights.publicationNote","Language","Type.genre","Author","Name.contributor","Name.correspondent","Name.repository","Rights.permissionNote","Name.photographer","Title","Date.creation","Date.publication","Description.note","Date.normalized","Description.caption","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177xcg","ark:/21198/zz00177x2t","2","Completed","Page","wavav/images/masters/21198-zz00177xcg_499301_master.tif","1","","","","","","","","","copyrighted","unpublished","Y","","","Women Against Violence Against Women ","","","","","","","","","","","Page 1","June, 1977","","","1977-06","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177xcg",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177xd0","ark:/21198/zz00177x2t","2","Completed","Page","wavav/images/masters/21198-zz00177xd0_499304_master.tif","2","","","","","","private","","","copyrighted","published","N","","","","","","","","","","","","","","Page 2","August, 1976","","","1976-08","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177xd0",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177xfh","ark:/21198/zz00177x2t","2","Completed","Page","wavav/images/masters/21198-zz00177xfh_499307_master.tif","3","","","","","","private","","","copyrighted","published","N","","","","","","","","","","","","","","Page 3","August, 1976","","","1976-08","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177xfh",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177xg1","ark:/21198/zz00177x2t","2","Completed","Page","wavav/images/masters/21198-zz00177xg1_499313_master.tif","4","","","","","","private","","","copyrighted","published","N","","","","","","","","","","","","","","Page 4","August, 1976","","","1976-08","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177xg1",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177xhj","ark:/21198/zz00177x2t","2","Completed","Page","wavav/images/masters/21198-zz00177xhj_499316_master.tif","5","","","","","","private","","","copyrighted","published","N","","","","","","","","","","","","","","Page 5","August, 1976","","","1976-08","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177xhj",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177xj2","ark:/21198/zz00177x2t","2","Completed","Page","wavav/images/masters/21198-zz00177xj2_499319_master.tif","6","","","","","","private","","","copyrighted","published","N","","","","","","","","","","","","","","Page 6","August, 1976","","","1976-08","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177xj2",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177xkk","ark:/21198/zz00177x2t","2","Completed","Page","wavav/images/masters/21198-zz00177xkk_499322_master.tif","7","","","","","","private","","","copyrighted","published","N","","","","","","","","","","","","","","Page 7","August, 1976","","","1976-08","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177xkk",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177xm3","ark:/21198/zz00177x2t","2","Completed","Page","wavav/images/masters/21198-zz00177xm3_499325_master.tif","8","","","","","","private","","","copyrighted","published","N","","","","","","","","","","","","","","Page 8","August, 1976","","","1976-08","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177xm3",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177xnm","ark:/21198/zz00177x2t","2","Completed","Page","wavav/images/masters/21198-zz00177xnm_499328_master.tif","9","","","","","","private","","","copyrighted","unpublished","N","","","","","","","","","","","","","","Page 9","August, 1976","","","1976-08","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177xnm",""
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177xp4","ark:/21198/zz00177x2t","2","Completed","Page","wavav/images/masters/21198-zz00177xp4_499331_master.tif","10","","","","","","private","","","copyrighted","published","N","","","","","","","","","","","","","","Page 10","August, 1976","","","1976-08","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177xp4",""
