"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.genre","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Subject","Rights.countryCreation","Rights.rightsHolderContact","Language","Name.creator","Name.subject","Name.repository","Relation.isPartOf","Format.extent","Title","Format.dimensions","Date.creation","Description.note","Alt ID.local","Format.medium","Coverage.geographic","Date.normalized","AltTitle.descriptive","Description.adminnote","AltTitle.other","Alt ID.url","AltTitle.uniform","Description.abstract","Opac URL","Finding Aid URL","Publisher.placeOfOrigin","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Photo Album Collection.  Collection 94","ark:/21198/zz002khzq7","ark:/21198/zz002khzn6","2","Completed","Page","photoalbum94/masters/21198-zz002khzq7_2411274_master.tif","1","","","","","","","","","","","","","","","","","","","","uclasc_94_001_01_001","","","Typed description of following photo: No.1. The concrete-steel headgates of the Imperial Canal at Hanlons, Cal. Completed June 29, 1906, by C. Leonardt, Con-tractor, on plans designed by J.D. Schuyler, drawn by Geo. S. Binckley. Taken July 16, 1906. View from the shore end, looking toward the Colorado river, 1200 feet distant.","","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002khzq7",""
"Photo Album Collection.  Collection 94","ark:/21198/zz002kj6tm","ark:/21198/zz002khzn6","2","Completed","Page","photoalbum94/masters/21198-zz002kj6tm_2411277_master.tif","2","","","","","","","","","","","","","","","","","","","","uclasc_94_001_01_002","","","Typed description: Snapshot views of concrete-steel radial headgates, at Henlons, Cal. et head of Imperial Canal, and of the 200-ft. wooden gate at the Lower Mexican Intake, taken by J.D. Schuyler, July 16, 1906.","","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kj6tm",""
"Photo Album Collection.  Collection 94","ark:/21198/zz002kj6v4","ark:/21198/zz002khzn6","10","Completed with minimal metadata","Page","photoalbum94/masters/21198-zz002kj6v4_2411280_master.tif","3","","","","","","","","","","","","","","","","","","","","uclasc_94_001_01_003","","","","","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kj6v4",""
"Photo Album Collection.  Collection 94","ark:/21198/zz002kj6wn","ark:/21198/zz002khzn6","2","Completed","Page","photoalbum94/masters/21198-zz002kj6wn_2411283_master.tif","4","","","","","","","","","","","","","","","","","","","","uclasc_94_001_01_004","","","Typed description of uclasc_94_001_003: No. 2. The headgates, from the river side of the canal looking toward the natural granite abutment, on the up-stream side,- showing the shutter-gates in navigation pass raised.","","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kj6wn",""
"Photo Album Collection.  Collection 94","ark:/21198/zz002kj6x5","ark:/21198/zz002khzn6","2","Completed","Page","photoalbum94/masters/21198-zz002kj6x5_2411286_master.tif","5","","","","","","","","","","","","","","","","","","","","uclasc_94_001_01_005","","","Photo of canal headgates.","","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kj6x5",""
"Photo Album Collection.  Collection 94","ark:/21198/zz002kj6zp","ark:/21198/zz002khzn6","2","Completed","Page","photoalbum94/masters/21198-zz002kj6zp_2411289_master.tif","6","","","","","","","","","","","","","","","","","","","","uclasc_94_001_01_006","","","Typed Description of photograph: No. 3. The radial gates from the lower side, looking southeast towards the river. The gates are shown partially raised. The water here shown is over 10 feet deep over the floor of the gates.","","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kj6zp",""
"Photo Album Collection.  Collection 94","ark:/21198/zz002kj70p","ark:/21198/zz002khzn6","2","Completed","Page","photoalbum94/masters/21198-zz002kj70p_2411292_master.tif","7","","","","","","","","","","","","","","","","","","","","uclasc_94_001_01_007","","","Photograph of canal from opposite side.","","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kj70p",""
"Photo Album Collection.  Collection 94","ark:/21198/zz002kj716","ark:/21198/zz002khzn6","2","Completed","Page","photoalbum94/masters/21198-zz002kj716_2411295_master.tif","8","","","","","","","","","","","","","","","","","","","","uclasc_94_001_01_008","","","Typed description of previous photograph on back of photograph: No. 4. There are 11 of these gates, each 12 ft. wide, 10 feet high, besides the navigation pass. A velocity of but 7 ft. per second is required to give a discharge of 10,000 sec-ft. enough water to irrigate one million acres. A difference in head of 1 foot on upper side above that on the lower will give this velocity.","","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kj716",""
"Photo Album Collection.  Collection 94","ark:/21198/zz002kj72q","ark:/21198/zz002khzn6","2","Completed","Page","photoalbum94/masters/21198-zz002kj72q_2411298_master.tif","9","","","","","","","","","","","","","","","","","","","","uclasc_94_001_01_009","","","Photo of canal","","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kj72q",""
"Photo Album Collection.  Collection 94","ark:/21198/zz002kj737","ark:/21198/zz002khzn6","2","Completed","Page","photoalbum94/masters/21198-zz002kj737_2411301_master.tif","10","","","","","","","","","","","","","","","","","","","","uclasc_94_001_01_010","","","Typed description of next photo: No. 5. View through the navigation pass. This is intended only for the gasoline launch of the Co. The party in the group, from right to left are: H.T. Cory, Gen. Mgr. Cal. Dev. Co., Standing alone; Col.R. H. Ingram, Gen. Supt. S.P..R.R., with Carrillo behind; next Prof Hughes, next?. then Col. Henver, USA Corps of Engineers; Mr. A. H. Heber; Mr. A. d'Heur and Mr. L.W. Long, the two latter of the Engr. Corps Son. Pso. R.R.","","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kj737",""
"Photo Album Collection.  Collection 94","ark:/21198/zz002kj74r","ark:/21198/zz002khzn6","10","Completed with minimal metadata","Page","photoalbum94/masters/21198-zz002kj74r_2411304_master.tif","11","","","","","","","","","","","","","","","","","","","","uclasc_94_001_01_011","","","Canal opening","","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kj74r",""
