"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.genre","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Subject","Rights.countryCreation","Rights.rightsHolderContact","Language","Name.creator","Name.subject","Name.repository","Relation.isPartOf","Format.extent","Title","Format.dimensions","Date.creation","Description.note","Alt ID.local","Format.medium","Coverage.geographic","Date.normalized","AltTitle.descriptive","Description.adminnote","AltTitle.other","Alt ID.url","AltTitle.uniform","Description.abstract","Opac URL","Finding Aid URL","Publisher.placeOfOrigin","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Photo Album Collection.  Collection 94","ark:/21198/zz002kn722","ark:/21198/zz002kmsh2","2","Completed","Page","photoalbum94/masters/21198-zz002kn722_2418914_master.tif","1","","","","","","","","","","","","","","","","","","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.","","Microfilm UCLA Library Documentation Page 1","","","","uclalsc_c1634_b1686_001-006","","","","","UCLA Library Collection documentation including copyright notation.","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kn722",""
"Photo Album Collection.  Collection 94","ark:/21198/zz002kn722/47827476","ark:/21198/zz002kmsh2","2","Completed","Page","photoalbum94/masters/21198-zz002kn722_2418923_master.tif","4","","","","","","","","","","","","","","","","","","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.","","Microfilm UCLA Library Documentation Page 4","","","","uclalsc_c1634_b1686_001-006","","","","","UCLA Library Collection documentation including copyright notation.","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kn722%2F47827476",""
"Photo Album Collection.  Collection 94","ark:/21198/zz002kn722/dt76g85j","ark:/21198/zz002kmsh2","2","Completed","Page","photoalbum94/masters/21198-zz002kn722_2418926_master.tif","5","","","","","","","","","","","","","","","","","","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.","","Microfilm UCLA Library Documentation Page 5","","","","uclalsc_c1634_b1686_001-006","","","","","UCLA Library Collection documentation including copyright notation.","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kn722%2Fdt76g85j",""
"Photo Album Collection.  Collection 94","ark:/21198/zz002kn722/f657zp9m","ark:/21198/zz002kmsh2","2","Completed","Page","photoalbum94/masters/21198-zz002kn722_2418920_master.tif","3","","","","","","","","","","","","","","","","","","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.","","Microfilm UCLA Library Documentation Page 3","","","","uclalsc_c1634_b1686_001-006","","","","","UCLA Library Collection documentation including copyright notation.","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kn722%2Ff657zp9m",""
"Photo Album Collection.  Collection 94","ark:/21198/zz002kn722/qc89745m","ark:/21198/zz002kmsh2","2","Completed","Page","photoalbum94/masters/21198-zz002kn722_2418929_master.tif","6","","","","","","","","","","","","","","","","","","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.","","Microfilm UCLA Library Documentation Page 6","","","","uclalsc_c1634_b1686_001-006","","","","","UCLA Library Collection documentation including copyright notation.","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kn722%2Fqc89745m",""
"Photo Album Collection.  Collection 94","ark:/21198/zz002kn722/vm570z1k","ark:/21198/zz002kmsh2","2","Completed","Page","photoalbum94/masters/21198-zz002kn722_2418917_master.tif","2","","","","","","","","","","","","","","","","","","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.","","Microfilm UCLA Library Documentation Page 2","","","","uclalsc_c1634_b1686_001-006","","","","","UCLA Library Collection documentation including copyright notation.","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kn722%2Fvm570z1k",""
"Photo Album Collection.  Collection 94","ark:/21198/zz002kn73k","ark:/21198/zz002kmsh2","2","Completed","Page","photoalbum94/masters/21198-zz002kn73k_2418932_master.tif","7","","","","","","","","","","","","","","","","","","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.","","2 Description of gift of photo album from Forbes","","","Photo album includes various photographs from trip to the Philippines, specifically a mountain province.","uclalsc_c1634_b1686_","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kn73k",""
"Photo Album Collection.  Collection 94","ark:/21198/zz002kn743","ark:/21198/zz002kmsh2","2","Completed","Page","photoalbum94/masters/21198-zz002kn743_2418935_master.tif","8","","","","","","","","","","","","","","","","","","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.","","3 Palm Tree","","","[Palm tree sillhouette in the Philippines]","uclalsc_c1634_b1686_008","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kn743",""
"Photo Album Collection.  Collection 94","ark:/21198/zz002kn75m","ark:/21198/zz002kmsh2","2","Completed","Page","photoalbum94/masters/21198-zz002kn75m_2418938_master.tif","9","","","","","","","","","","","","","","","","","","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.","","4 The Mountain Province [description]","","","Description of the Mountain Province, 2 pages typograph.","uclalsc_c1634_b1686_009","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kn75m",""
"Photo Album Collection.  Collection 94","ark:/21198/zz002kn764","ark:/21198/zz002kmsh2","2","Completed","Page","photoalbum94/masters/21198-zz002kn764_2418941_master.tif","10","","","","","","","","","","","","","","","","","","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.","","5 Dark photograph of men in a line in Northern Luzon","","","Image is dark and difficult to see detail.","uclalsc_c1634_b1686_010","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kn764",""
