"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","IIIF Access URL","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Subject.topic","Author","Name.subject","Name.annotator","Name.repository","Name.scribe","Title","Relation.rectoVerso","Relation.pageNumber","Relation.textDirection","Relation.isVersionOf","AltIdentifier.local","Description.contents","Date.creation","Format.dimensions","Format.extent","Description.note","Summary","Bucketeer State","IIIF Manifest URL"
"St Gall Manuscripts","ark:/21198/zz00294knn","ark:/21198/zz00294gh4","2","Completed","Page","StGall/masters/leiden_vlq_005/UBLWHS_VLQ_5_FC.tif","1","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294knn","","","","","text","pd","","manuscripts (document genre)","","","","","","","Front cover","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00294kp5","ark:/21198/zz00294gh4","2","Completed","Page","StGall/masters/leiden_vlq_005/UBLWHS_VLQ_5_FS.tif","2","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294kp5","","","","","text","pd","","manuscripts (document genre)","","","","","","","Inside front cover","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00294kch","ark:/21198/zz00294gh4","2","Completed","Page","StGall/masters/leiden_vlq_005/UBLWHS_VLQ_5_F001r.tif","3","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294kch","","","","","text","pd","","manuscripts (document genre)","","","","","","","First front flyleaf (recto)","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00294kd1","ark:/21198/zz00294gh4","2","Completed","Page","StGall/masters/leiden_vlq_005/UBLWHS_VLQ_5_F001v.tif","4","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294kd1","","","","","text","pd","","manuscripts (document genre)","","","","","","","First front flyleaf (verso)","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00294kfj","ark:/21198/zz00294gh4","2","Completed","Page","StGall/masters/leiden_vlq_005/UBLWHS_VLQ_5_F002r.tif","5","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294kfj","","","","","text","pd","","manuscripts (document genre)","","","","","","","Second front flyleaf (recto)","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00294kg2","ark:/21198/zz00294gh4","2","Completed","Page","StGall/masters/leiden_vlq_005/UBLWHS_VLQ_5_F002v.tif","6","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294kg2","","","","","text","pd","","manuscripts (document genre)","","","","","","","Second front flyleaf (verso)","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00294khk","ark:/21198/zz00294gh4","2","Completed","Page","StGall/masters/leiden_vlq_005/UBLWHS_VLQ_5_F003r.tif","7","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294khk","","","","","text","pd","","manuscripts (document genre)","","","","","","","Third front flyleaf (recto)","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00294kj3","ark:/21198/zz00294gh4","2","Completed","Page","StGall/masters/leiden_vlq_005/UBLWHS_VLQ_5_F003v.tif","8","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294kj3","","","","","text","pd","","manuscripts (document genre)","","","","","","","Third front flyleaf (verso)","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00294kkm","ark:/21198/zz00294gh4","2","Completed","Page","StGall/masters/leiden_vlq_005/UBLWHS_VLQ_5_F004r.tif","9","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294kkm","","","","","text","pd","","manuscripts (document genre)","","","","","","","Fourth front flyleaf (recto)","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00294km4","ark:/21198/zz00294gh4","2","Completed","Page","StGall/masters/leiden_vlq_005/UBLWHS_VLQ_5_F004v.tif","10","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294km4","","","","","text","pd","","manuscripts (document genre)","","","","","","","Fourth front flyleaf (verso)","","","","","","","","","","","","succeeded",""
