"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","IIIF Access URL","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Subject.topic","Author","Name.subject","Name.annotator","Name.repository","Name.scribe","Title","Relation.rectoVerso","Relation.pageNumber","Relation.textDirection","Relation.isVersionOf","AltIdentifier.local","Description.contents","Date.creation","Format.dimensions","Format.extent","Description.note","Summary","Bucketeer State","IIIF Manifest URL"
"St Gall Manuscripts","ark:/21198/zz002bft4q","ark:/21198/zz002bft36","2","Completed","Page","StGall/masters/onb_0397/onb_0397_00000001.tif","1","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bft4q","","","","","text","pd","","manuscripts (document genre)","","","","","","","Front cover","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz002bft78","ark:/21198/zz002bft36","2","Completed","Page","StGall/masters/onb_0397/onb_0397_00000004.tif","4","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bft78","","","","","text","pd","","manuscripts (document genre)","","","","","","","inside front cover","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz002bft8s","ark:/21198/zz002bft36","2","Completed","Page","StGall/masters/onb_0397/onb_0397_00000005.tif","5","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bft8s","","","","","text","pd","","manuscripts (document genre)","","","","","","","Front flyleaf (recto)","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz002bft99","ark:/21198/zz002bft36","2","Completed","Page","StGall/masters/onb_0397/onb_0397_00000006.tif","6","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bft99","","","","","text","pd","","manuscripts (document genre)","","","","","","","Front flyleaf (verso)","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz002bftbt","ark:/21198/zz002bft36","2","Completed","Page","StGall/masters/onb_0397/onb_0397_00000007.tif","7","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bftbt","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 1r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz002bftcb","ark:/21198/zz002bft36","2","Completed","Page","StGall/masters/onb_0397/onb_0397_00000008.tif","8","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bftcb","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 1v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz002bftdv","ark:/21198/zz002bft36","2","Completed","Page","StGall/masters/onb_0397/onb_0397_00000009.tif","9","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bftdv","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 2r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz002bftfc","ark:/21198/zz002bft36","2","Completed","Page","StGall/masters/onb_0397/onb_0397_00000010.tif","10","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bftfc","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 2v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz002bftgw","ark:/21198/zz002bft36","2","Completed","Page","StGall/masters/onb_0397/onb_0397_00000011.tif","11","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bftgw","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 3r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz002bfthd","ark:/21198/zz002bft36","2","Completed","Page","StGall/masters/onb_0397/onb_0397_00000012.tif","12","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bfthd","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 3v","","","","","","","","","","","","succeeded",""
