Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject,Name.author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,Alt ID.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Description.abstract,Bucketeer State,IIIF Access URL,IIIF Manifest URL
St Gall Manuscripts,ark:/21198/zz0028rq8j,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_016v.tif,40,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 16v,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rq8j,
St Gall Manuscripts,ark:/21198/zz0028rq92,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_017r.tif,41,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 17r,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rq92,
St Gall Manuscripts,ark:/21198/zz0028rqbk,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_017v.tif,42,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 17v,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rqbk,
St Gall Manuscripts,ark:/21198/zz0028rqc3,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_018r.tif,43,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 18r,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rqc3,
St Gall Manuscripts,ark:/21198/zz0028rqdm,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_018v.tif,44,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 18v,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rqdm,
St Gall Manuscripts,ark:/21198/zz0028rqf4,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_019r.tif,45,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 19r,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rqf4,
St Gall Manuscripts,ark:/21198/zz0028rqgn,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_019v.tif,46,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 19v,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rqgn,
St Gall Manuscripts,ark:/21198/zz0028rqh5,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_020r.tif,47,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 20r,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rqh5,
St Gall Manuscripts,ark:/21198/zz0028rqjp,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_020v.tif,48,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 20v,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rqjp,
St Gall Manuscripts,ark:/21198/zz0028rqk6,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_021r.tif,49,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 21r,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rqk6,
St Gall Manuscripts,ark:/21198/zz0028rqmq,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_021v.tif,50,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 21v,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rqmq,
St Gall Manuscripts,ark:/21198/zz0028rqn7,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_022r.tif,51,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 22r,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rqn7,
St Gall Manuscripts,ark:/21198/zz0028rqpr,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_022v.tif,52,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 22v,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rqpr,
St Gall Manuscripts,ark:/21198/zz0028rqq8,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_023r.tif,53,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 23r,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rqq8,
St Gall Manuscripts,ark:/21198/zz0028rqrs,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_023v.tif,54,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 23v,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rqrs,
St Gall Manuscripts,ark:/21198/zz0028rqs9,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_024r.tif,55,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 24r,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rqs9,
St Gall Manuscripts,ark:/21198/zz0028rqtt,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_024v.tif,56,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 24v,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rqtt,
St Gall Manuscripts,ark:/21198/zz0028rqvb,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_025r.tif,57,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 25r,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rqvb,
St Gall Manuscripts,ark:/21198/zz0028rqwv,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_025v.tif,58,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 25v,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rqwv,
St Gall Manuscripts,ark:/21198/zz0028rqxc,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_026r.tif,59,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 26r,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rqxc,
St Gall Manuscripts,ark:/21198/zz0028rqzw,ark:/21198/zz0028rntv,2,Completed,Page,StGall/masters/zurich_28/srgb/ZBZ-Ms-Rh-hist-28_f_026v.tif,60,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 26v,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028rqzw,
