"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","IIIF Access URL","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Subject.topic","Author","Name.subject","Name.annotator","Name.repository","Name.scribe","Title","Relation.rectoVerso","Relation.pageNumber","Relation.textDirection","Relation.isVersionOf","AltIdentifier.local","Description.contents","Date.creation","Format.dimensions","Format.extent","Description.note","Summary","Bucketeer State","IIIF Manifest URL"
"St Gall Manuscripts","ark:/21198/zz0027sqc4","ark:/21198/zz0027sqbm","2","Completed","Page","StGall/masters/stu_cod_don_91/stutt_dom_91_00000001.tif","1","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027sqc4","","","","","","","","","","","","","","","Front cover","","","","","","","","","","","","ingested",""
"St Gall Manuscripts","ark:/21198/zz0027sqdn","ark:/21198/zz0027sqbm","2","Completed","Page","StGall/masters/stu_cod_don_91/stutt_dom_91_00000002.tif","2","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027sqdn","","","","","","","","","","","","","","","Inside front cover","","","","","","","","","","","","ingested",""
"St Gall Manuscripts","ark:/21198/zz0027sqf5","ark:/21198/zz0027sqbm","2","Completed","Page","StGall/masters/stu_cod_don_91/stutt_dom_91_00000003.tif","3","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027sqf5","","","","","","","","","","","","","","","f. 1r","","","","","","","","","","","","ingested",""
"St Gall Manuscripts","ark:/21198/zz0027sqgp","ark:/21198/zz0027sqbm","2","Completed","Page","StGall/masters/stu_cod_don_91/stutt_dom_91_00000004.tif","4","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027sqgp","","","","","","","","","","","","","","","f. 1v","","","","","","","","","","","","ingested",""
"St Gall Manuscripts","ark:/21198/zz0027sqh6","ark:/21198/zz0027sqbm","2","Completed","Page","StGall/masters/stu_cod_don_91/stutt_dom_91_00000005.tif","5","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027sqh6","","","","","","","","","","","","","","","f. 2r","","","","","","","","","","","","ingested",""
"St Gall Manuscripts","ark:/21198/zz0027sqjq","ark:/21198/zz0027sqbm","2","Completed","Page","StGall/masters/stu_cod_don_91/stutt_dom_91_00000006.tif","6","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027sqjq","","","","","","","","","","","","","","","f. 2v","","","","","","","","","","","","ingested",""
"St Gall Manuscripts","ark:/21198/zz0027sqk7","ark:/21198/zz0027sqbm","2","Completed","Page","StGall/masters/stu_cod_don_91/stutt_dom_91_00000007.tif","7","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027sqk7","","","","","","","","","","","","","","","f. 3r","","","","","","","","","","","","ingested",""
"St Gall Manuscripts","ark:/21198/zz0027sqmr","ark:/21198/zz0027sqbm","2","Completed","Page","StGall/masters/stu_cod_don_91/stutt_dom_91_00000008.tif","8","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027sqmr","","","","","","","","","","","","","","","f. 3v","","","","","","","","","","","","ingested",""
"St Gall Manuscripts","ark:/21198/zz0027sqn8","ark:/21198/zz0027sqbm","2","Completed","Page","StGall/masters/stu_cod_don_91/stutt_dom_91_00000009.tif","9","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027sqn8","","","","","","","","","","","","","","","f. 4r","","","","","","","","","","","","ingested",""
"St Gall Manuscripts","ark:/21198/zz0027sqps","ark:/21198/zz0027sqbm","2","Completed","Page","StGall/masters/stu_cod_don_91/stutt_dom_91_00000010.tif","10","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027sqps","","","","","","","","","","","","","","","f. 4v","","","","","","","","","","","","ingested",""
"St Gall Manuscripts","ark:/21198/zz0027sqq9","ark:/21198/zz0027sqbm","2","Completed","Page","StGall/masters/stu_cod_don_91/stutt_dom_91_00000011.tif","11","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027sqq9","","","","","","","","","","","","","","","f. 5r","","","","","","","","","","","","ingested",""
"St Gall Manuscripts","ark:/21198/zz0027sqrt","ark:/21198/zz0027sqbm","2","Completed","Page","StGall/masters/stu_cod_don_91/stutt_dom_91_00000012.tif","12","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027sqrt","","","","","","","","","","","","","","","f. 5v","","","","","","","","","","","","ingested",""
"St Gall Manuscripts","ark:/21198/zz0027sqsb","ark:/21198/zz0027sqbm","2","Completed","Page","StGall/masters/stu_cod_don_91/stutt_dom_91_00000013.tif","13","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027sqsb","","","","","","","","","","","","","","","f. 6r","","","","","","","","","","","","ingested",""
"St Gall Manuscripts","ark:/21198/zz0027sqtv","ark:/21198/zz0027sqbm","2","Completed","Page","StGall/masters/stu_cod_don_91/stutt_dom_91_00000014.tif","14","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027sqtv","","","","","","","","","","","","","","","f. 6v","","","","","","","","","","","","ingested",""
"St Gall Manuscripts","ark:/21198/zz0027sqvc","ark:/21198/zz0027sqbm","2","Completed","Page","StGall/masters/stu_cod_don_91/stutt_dom_91_00000015.tif","15","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027sqvc","","","","","","","","","","","","","","","f. 7r","","","","","","","","","","","","ingested",""
"St Gall Manuscripts","ark:/21198/zz0027sqww","ark:/21198/zz0027sqbm","2","Completed","Page","StGall/masters/stu_cod_don_91/stutt_dom_91_00000016.tif","16","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027sqww","","","","","","","","","","","","","","","f. 7v","","","","","","","","","","","","ingested",""
"St Gall Manuscripts","ark:/21198/zz0027sqxd","ark:/21198/zz0027sqbm","2","Completed","Page","StGall/masters/stu_cod_don_91/stutt_dom_91_00000017.tif","17","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027sqxd","","","","","","","","","","","","","","","f. 8r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz0027sqzx","ark:/21198/zz0027sqbm","2","Completed","Page","StGall/masters/stu_cod_don_91/stutt_dom_91_00000018.tif","18","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027sqzx","","","","","","","","","","","","","","","f. 8v","","","","","","","","","","","","ingested",""
"St Gall Manuscripts","ark:/21198/zz0027sr0x","ark:/21198/zz0027sqbm","2","Completed","Page","StGall/masters/stu_cod_don_91/stutt_dom_91_00000019.tif","19","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027sr0x","","","","","","","","","","","","","","","f. 9r","","","","","","","","","","","","ingested",""
"St Gall Manuscripts","ark:/21198/zz0027sr1f","ark:/21198/zz0027sqbm","2","Completed","Page","StGall/masters/stu_cod_don_91/stutt_dom_91_00000020.tif","20","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027sr1f","","","","","","","","","","","","","","","f. 9v","","","","","","","","","","","","ingested",""
"St Gall Manuscripts","ark:/21198/zz0027sr2z","ark:/21198/zz0027sqbm","2","Completed","Page","StGall/masters/stu_cod_don_91/stutt_dom_91_00000021.tif","21","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027sr2z","","","","","","","","","","","","","","","f. 10r","","","","","","","","","","","","ingested",""
"St Gall Manuscripts","ark:/21198/zz0027sr3g","ark:/21198/zz0027sqbm","2","Completed","Page","StGall/masters/stu_cod_don_91/stutt_dom_91_00000022.tif","22","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027sr3g","","","","","","","","","","","","","","","f. 10v","","","","","","","","","","","","ingested",""
"St Gall Manuscripts","ark:/21198/zz0027sr40","ark:/21198/zz0027sqbm","2","Completed","Page","StGall/masters/stu_cod_don_91/stutt_dom_91_00000023.tif","23","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027sr40","","","","","","","","","","","","","","","f. 11r","","","","","","","","","","","","ingested",""
"St Gall Manuscripts","ark:/21198/zz0027sr5h","ark:/21198/zz0027sqbm","2","Completed","Page","StGall/masters/stu_cod_don_91/stutt_dom_91_00000024.tif","24","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027sr5h","","","","","","","","","","","","","","","f. 11v","","","","","","","","","","","","succeeded",""
