Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Relation.isPartOf,Relation.box,Date.creation,Alt ID.local,Description.caption,Format.medium,Relation.folder,Title,Format.dimensions,AltTitle.uniform,Description.note,Description.abstract,Finding Aid URL,Opac url,Bucketeer State,IIIF Access URL
Takamura (Kango) paintings,ark:/21198/zz002k6dt1,ark:/21198/zz002k526f,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6dt1%2F82435p3k,"Kango Takamura Paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",1,No date,uclalsc_433_b01_f07,"""Some characteristics of guayule strains.""  Unsigned.","Watercolor [?] and ink on paper, matted",7,"Some characteristics of guayule strains, n.d.",19.5 x 25 cm,"Some characteristics of guayule strains, n.d.","3 shots: watercolor, original mount M-35, and back of watercolor M-35|~|caption on original mount: [Japanese characters].",,,,Takamura (Kango) paintings,ark:/21198/zz002k6dt1
Takamura (Kango) paintings,ark:/21198/zz002k6dt1/6g62sn9p,ark:/21198/zz002k6dt1,2,Completed,Page,takamura/image/takamura21198-zz002k6dt1_2401283_master.tif,2,,,,,,,,,,,Page 2,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6dt1%2F6g62sn9p
Takamura (Kango) paintings,ark:/21198/zz002k6dt1/82435p3k,ark:/21198/zz002k6dt1,2,Completed,Page,takamura/image/takamura21198-zz002k6dt1_2397864_master.tif,1,,,,,,,,,,,Page 1,,,,,,,failed,
Takamura (Kango) paintings,ark:/21198/zz002k6dt1/nr09xw33,ark:/21198/zz002k6dt1,2,Completed,Page,takamura/image/takamura21198-zz002k6dt1_2401408_master.tif,4,,,,,,,,,,,Page 4,,,,,,,failed,
Takamura (Kango) paintings,ark:/21198/zz002k6dt1/xh92hr02,ark:/21198/zz002k6dt1,2,Completed,Page,takamura/image/takamura21198-zz002k6dt1_2401286_master.tif,3,,,,,,,,,,,Page 3,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6dt1%2Fxh92hr02
