"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Relation.isPartOf","Relation.box","Date.creation","Alt ID.local","Description.caption","Format.medium","Relation.folder","Title","Format.dimensions","AltTitle.uniform","Description.note","Description.abstract","Finding Aid URL","Opac url","Bucketeer State","IIIF Access URL"
"Takamura (Kango) paintings","ark:/21198/zz002k527z/2d16x829","ark:/21198/zz002k527z","2","Completed","Page","takamura/image/takamura21198-zz002k527z_2383541_master.tif","1","","","","","","","","","","","Page 1","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k527z%2F2d16x829"
"Takamura (Kango) paintings","ark:/21198/zz002k527z/f553h070","ark:/21198/zz002k527z","2","Completed","Page","takamura/image/takamura21198-zz002k527z_2401307_master.tif","3","","","","","","","","","","","Page 3","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k527z%2Ff553h070"
"Takamura (Kango) paintings","ark:/21198/zz002k527z/hd32cp1j","ark:/21198/zz002k527z","2","Completed","Page","takamura/image/srgb/takamura21198-zz002k527z_2383752_master.tif","2","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k527z%2Fhd32cp1j"
"Takamura (Kango) paintings","ark:/21198/zz002k6dr0/n632mh4t","ark:/21198/zz002k6dr0","2","Completed","Page","takamura/image/takamura21198-zz002k6dr0_2401325_master.tif","2","","","","","","","","","","","Page 2","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6dr0%2Fn632mh4t"
"Takamura (Kango) paintings","ark:/21198/zz002k6dr0/nv72kx1j","ark:/21198/zz002k6dr0","2","Completed","Page","takamura/image/takamura21198-zz002k6dr0_2383592_master.tif","1","","","","","","","","","","","Page 1","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6dr0%2Fnv72kx1j"
"Takamura (Kango) paintings","ark:/21198/zz002k6dsh/bj11pf3w","ark:/21198/zz002k6dsh","2","Completed","Page","takamura/image/takamura21198-zz002k6dsh_2401328_master.tif","3","","","","","","","","","","","Page 3","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6dsh%2Fbj11pf3w"
"Takamura (Kango) paintings","ark:/21198/zz002k6dsh/bt751z5r","ark:/21198/zz002k6dsh","2","Completed","Page","takamura/image/takamura21198-zz002k6dsh_2383566_master.tif","1","","","","","","","","","","","Page 1","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6dsh%2Fbt751z5r"
"Takamura (Kango) paintings","ark:/21198/zz002k6dsh/x076dw0p","ark:/21198/zz002k6dsh","2","Completed","Page","takamura/image/takamura21198-zz002k6dsh_2383765_master.tif","2","","","","","","","","","","","Page 2","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6dsh%2Fx076dw0p"
"Takamura (Kango) paintings","ark:/21198/zz002k6dt1/6g62sn9p","ark:/21198/zz002k6dt1","2","Completed","Page","takamura/image/takamura21198-zz002k6dt1_2401283_master.tif","2","","","","","","","","","","","Page 2","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6dt1%2F6g62sn9p"
"Takamura (Kango) paintings","ark:/21198/zz002k6dt1/82435p3k","ark:/21198/zz002k6dt1","2","Completed","Page","takamura/image/takamura21198-zz002k6dt1_2397864_master.tif","1","","","","","","","","","","","Page 1","","","","","","","failed",""
"Takamura (Kango) paintings","ark:/21198/zz002k6dt1/nr09xw33","ark:/21198/zz002k6dt1","2","Completed","Page","takamura/image/takamura21198-zz002k6dt1_2401408_master.tif","4","","","","","","","","","","","Page 4","","","","","","","failed",""
"Takamura (Kango) paintings","ark:/21198/zz002k6dt1/xh92hr02","ark:/21198/zz002k6dt1","2","Completed","Page","takamura/image/takamura21198-zz002k6dt1_2401286_master.tif","3","","","","","","","","","","","Page 3","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6dt1%2Fxh92hr02"
"Takamura (Kango) paintings","ark:/21198/zz002k6dvj/cc05kv59","ark:/21198/zz002k6dvj","2","Completed","Page","takamura/image/takamura21198-zz002k6dvj_2383682_master.tif","1","","","","","","","","","","","Page 1","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6dvj%2Fcc05kv59"
"Takamura (Kango) paintings","ark:/21198/zz002k6dvj/hq53g54r","ark:/21198/zz002k6dvj","2","Completed","Page","takamura/image/takamura21198-zz002k6dvj_2401295_master.tif","3","","","","","","","","","","","Page 3","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6dvj%2Fhq53g54r"
"Takamura (Kango) paintings","ark:/21198/zz002k6dvj/tb245695","ark:/21198/zz002k6dvj","2","Completed","Page","takamura/image/takamura21198-zz002k6dvj_2401292_master.tif","2","","","","","","","","","","","Page 2","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6dvj%2Ftb245695"
"Takamura (Kango) paintings","ark:/21198/zz002k6dw2/1x695h8n","ark:/21198/zz002k6dw2","2","Completed","Page","takamura/image/takamura21198-zz002k6dw2_2401339_master.tif","2","","","","","","","","","","","Page 2","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6dw2%2F1x695h8n"
"Takamura (Kango) paintings","ark:/21198/zz002k6dw2/c2128d64","ark:/21198/zz002k6dw2","2","Completed","Page","takamura/image/takamura21198-zz002k6dw2_2383676_master.tif","1","","","","","","","","","","","Page 1","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6dw2%2Fc2128d64"
"Takamura (Kango) paintings","ark:/21198/zz002k6dw2/ws72qj37","ark:/21198/zz002k6dw2","2","Completed","Page","takamura/image/takamura21198-zz002k6dw2_2401342_master.tif","3","","","","","","","","","","","Page 3","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6dw2%2Fws72qj37"
"Takamura (Kango) paintings","ark:/21198/zz002k6dxk/d8689m29","ark:/21198/zz002k6dxk","2","Completed","Page","takamura/image/takamura21198-zz002k6dxk_2401313_master.tif","3","","","","","","","","","","","Page 3","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6dxk%2Fd8689m29"
