Manuscript Number,ARK,Batch,CSV filename,Date Ingested Stage,Date Ingested Prod,Date originally ingested,Notes
30,ark:/21198/zz000sr04s,Batch 01,minasian_mss30_work.csv,9/30/20,9/30/20,,Redoing because images appear to be in the wrong order; need help from Services team (2021-12-23)
12,ark:/21198/zz000sq41q,Batch 02,minasian_mss12_work.csv,7/24/20,,2/4/2020,
314,ark:/21198/zz000svzmw,Batch 03,minasian_batch3_works.csv,7/24/20,,2/6/2020,"UV not showing up on test, stage, prod (2021-12-23)"
457,ark:/21198/zz000srp91,Batch 03,minasian_batch3_works.csv,7/24/20,,2/6/2020,"UV not showing up on test, stage, prod (2021-12-23)"
551,ark:/21198/zz000srw9x,Batch 03,minasian_batch3_works.csv,7/24/20,,2/6/2020,"UV not showing up on test, stage, prod (2021-12-23)"
631,ark:/21198/zz000sz4f2,Batch 03,minasian_batch3_works.csv,7/24/20,,2/6/2020,"UV not showing up on test, stage, prod (2021-12-23)"
764,ark:/21198/zz000szj9s,Batch 03,minasian_batch3_works.csv,7/24/20,,2/6/2020,"UV not showing up on test, stage, prod (2021-12-23)"
399,ark:/21198/zz000srk40,Batch 04,minasian_mss399_work.csv,7/24/20,,4/16/20,
336,ark:/21198/zz000sw0gr,Batch 05,minasian_batch5_works.csv,7/24/20,,,
561,ark:/21198/zz000srx2s,Batch 05,minasian_batch5_works.csv,7/24/20,,,
1440,ark:/21198/zz000wrbz8,Batch 05,minasian_batch5_works.csv,7/24/20,,,
1475,ark:/21198/zz000wrgm1,Batch 05,minasian_batch5_works.csv,7/24/20,,,
1486,ark:/21198/zz000wrh7t,Batch 05,minasian_batch5_works.csv,7/24/20,,,
183,ark:/21198/zz000stp3t,Batch 06,minasian_batch6_works.csv,7/24/20,,5/14/20,
396,ark:/21198/zz000srk1f,Batch 06,minasian_batch6_works.csv,7/24/20,,,
582,ark:/21198/zz000srzk1,Batch 06,minasian_batch6_works.csv,7/24/20,,5/14/20,
732,ark:/21198/zz000szg47,Batch 06,minasian_batch6_works.csv,7/24/20,,5/14/20,
1447,ark:/21198/zz000wrck2,Batch 06,minasian_batch6_works.csv,7/24/20,,5/14/20,
13,ark:/21198/zz000sq427,Batch 07,minasian_batch7_works.csv,6/8/21,6/8/21,6/20/20,redid Batch 7 on 6/8/21 to change item delimiter inside cell for Table of Contents to <br/><br/> insstead of |~|
