Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Description.abstract,Coverage.geographic,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Relation.textDirection,Format.extent,thumbnailImageName,masterImageName
Medieval and Renaissance Manuscripts,ark:/21198/zz001pzkqm,ark:/21198/zz001nwkn8,2,Completed,Page,medren/masters/21198-zz001pzkqm_1555302_master.tif,125,,,,,,,text,,pd,,,,,170-559_fol_58b,v,,,,,,,,,,,,,,,21198-zz001pzkqm_1555302_thumbnail.jpg,21198-zz001pzkqm_1555302_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001pzkr4,ark:/21198/zz001nwkn8,2,Completed,Page,medren/masters/21198-zz001pzkr4_1555305_master.tif,126,,,,,,,text,,pd,,,,,170-559_fol_59a,r,,,,,,,,,,,,,,,21198-zz001pzkr4_1555305_thumbnail.jpg,21198-zz001pzkr4_1555305_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001pzksn,ark:/21198/zz001nwkn8,2,Completed,Page,medren/masters/21198-zz001pzksn_1555308_master.tif,127,,,,,,,text,,pd,,,,,170-559_fol_59b,v,,,,,,,,,,,,,,,21198-zz001pzksn_1555308_thumbnail.jpg,21198-zz001pzksn_1555308_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001pzkt5,ark:/21198/zz001nwkn8,2,Completed,Page,medren/masters/21198-zz001pzkt5_1555311_master.tif,131,,,,,,,still image,,pd,,,,,170-559_fol_fore_edge_full-size,,,,,,,,,,,,,,,,21198-zz001pzkt5_1555311_thumbnail.jpg,21198-zz001pzkt5_1555311_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001pzkvp,ark:/21198/zz001nwkn8,2,Completed,Page,medren/masters/21198-zz001pzkvp_1555314_master.tif,132,,,,,,,still image,,pd,,,,,170-559_fol_head_full-size,,,,,,,,,,,,,,,,21198-zz001pzkvp_1555314_thumbnail.jpg,21198-zz001pzkvp_1555314_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001pzkw6,ark:/21198/zz001nwkn8,2,Completed,Page,medren/masters/21198-zz001pzkw6_1555317_master.tif,4,,,,,,,still image,,pd,,,,,170-559_fol_i_full-size,v,,,,,,,,,,,,,,,21198-zz001pzkw6_1555317_thumbnail.jpg,21198-zz001pzkw6_1555317_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001pzkxq,ark:/21198/zz001nwkn8,2,Completed,Page,medren/masters/21198-zz001pzkxq_1555320_master.tif,5,,,,,,,still image,,pd,,,,,170-559_fol_ii_full-size,r,,,,,,,,,,,,,,,21198-zz001pzkxq_1555320_thumbnail.jpg,21198-zz001pzkxq_1555320_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001pzkz7,ark:/21198/zz001nwkn8,2,Completed,Page,medren/masters/21198-zz001pzkz7_1555323_master.tif,9,,,,,,,still image,,pd,,,,,170-559_fol_iii_full-size,v,,,,,,,,,,,,,,,21198-zz001pzkz7_1555323_thumbnail.jpg,21198-zz001pzkz7_1555323_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001pzm07,ark:/21198/zz001nwkn8,2,Completed,Page,medren/masters/21198-zz001pzm07_1555326_master.tif,6,,,,,,,still image,,pd,,,,,170-559_fol_i-pastedown_full-size,v,,,,,,,,,,,,,,,21198-zz001pzm07_1555326_thumbnail.jpg,21198-zz001pzm07_1555326_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001z9msx,ark:/21198/zz001nwkn8,2,Completed,Page,medren/masters/21198-zz001z9msx_1555329_master.tif,10,,,,,,,still image,,pd,,,,,170-559_fol_iv_full-size,r,,,,,,,,,,,,,,,21198-zz001z9msx_1555329_thumbnail.jpg,21198-zz001z9msx_1555329_master.tif
