Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Description.abstract,Coverage.geographic,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Relation.textDirection,Format.extent,thumbnailImageName,masterImageName,Bucketeer State,IIIF Access URL
Medieval and Renaissance Manuscripts,ark:/21198/zz000rstgk,ark:/21198/zz000rstf2,2,Completed,Page,medren/masters/21198-zz000rstgk-1-master.tif,1,,,,,,,still image,,pd,,,,,Front Cover,r,,,,,,,,,,,,,,,21198-zz000rstgk-1-thumbnail.jpg,21198-zz000rstgk-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rstgk
Medieval and Renaissance Manuscripts,ark:/21198/zz000rsth3,ark:/21198/zz000rstf2,2,Completed,Page,medren/masters/21198-zz000rsth3-1-master.tif,2,,,,,,,text,,pd,,,,,Front cover pastedown,v,,,,,,,,,,,,,,,21198-zz000rsth3-1-thumbnail.jpg,21198-zz000rsth3-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsth3
Medieval and Renaissance Manuscripts,ark:/21198/zz000rstjm,ark:/21198/zz000rstf2,2,Completed,Page,medren/masters/21198-zz000rstjm-1-master.tif,3,,,,,,,text,,pd,,,,,Free endpaper,r,,,,,facing front cover pastedown,,,,,,,,,,21198-zz000rstjm-1-thumbnail.jpg,21198-zz000rstjm-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rstjm
Medieval and Renaissance Manuscripts,ark:/21198/zz000rstk4,ark:/21198/zz000rstf2,2,Completed,Page,medren/masters/21198-zz000rstk4-1-master.tif,4,,,,,,,,,pd,,,,,Coll. 170. Ms. 348. Page 4,v,,,,,,,,,,,,,,,21198-zz000rstk4-1-thumbnail.jpg,21198-zz000rstk4-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rstk4
Medieval and Renaissance Manuscripts,ark:/21198/zz000rstmn,ark:/21198/zz000rstf2,2,Completed,Page,medren/masters/21198-zz000rstmn-1-master.tif,5,,,,,,,,,pd,,,,,2r,r,,,,,,,,,,,,,,,21198-zz000rstmn-1-thumbnail.jpg,21198-zz000rstmn-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rstmn
Medieval and Renaissance Manuscripts,ark:/21198/zz000rstn5,ark:/21198/zz000rstf2,2,Completed,Page,medren/masters/21198-zz000rstn5-1-master.tif,6,,,,,,,,,pd,,,,,2v,v,,,,,,,,,,,,,,,21198-zz000rstn5-1-thumbnail.jpg,21198-zz000rstn5-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rstn5
Medieval and Renaissance Manuscripts,ark:/21198/zz000rstpp,ark:/21198/zz000rstf2,2,Completed,Page,medren/masters/21198-zz000rstpp-1-master.tif,7,,,,,,,text,,pd,,,,,4r,r,,,,,,,,,,,,,,,21198-zz000rstpp-1-thumbnail.jpg,21198-zz000rstpp-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rstpp
Medieval and Renaissance Manuscripts,ark:/21198/zz000rstq6,ark:/21198/zz000rstf2,2,Completed,Page,medren/masters/21198-zz000rstq6-1-master.tif,8,,,,,,,,,pd,,,,,4v,v,,,,,,,,,,,,,,,21198-zz000rstq6-1-thumbnail.jpg,21198-zz000rstq6-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rstq6
Medieval and Renaissance Manuscripts,ark:/21198/zz000rstrq,ark:/21198/zz000rstf2,2,Completed,Page,medren/masters/21198-zz000rstrq-1-master.tif,9,,,,,,,text,,pd,,,,,5r,r,,,,,,,,,,,,,,,21198-zz000rstrq-1-thumbnail.jpg,21198-zz000rstrq-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rstrq
Medieval and Renaissance Manuscripts,ark:/21198/zz000rsts7,ark:/21198/zz000rstf2,2,Completed,Page,medren/masters/21198-zz000rsts7-1-master.tif,10,,,,,,,,,pd,,,,,Coll. 170. Ms. 348. Page 10,v,,,,,,,,,,,,,,,21198-zz000rsts7-1-thumbnail.jpg,21198-zz000rsts7-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsts7
Medieval and Renaissance Manuscripts,ark:/21198/zz000rsttr,ark:/21198/zz000rstf2,2,Completed,Page,medren/masters/21198-zz000rsttr-1-master.tif,11,,,,,,,,,pd,,,,,Coll. 170. Ms. 348. Page 11,r,,,,,,,,,,,,,,,21198-zz000rsttr-1-thumbnail.jpg,21198-zz000rsttr-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsttr
Medieval and Renaissance Manuscripts,ark:/21198/zz000rstv8,ark:/21198/zz000rstf2,2,Completed,Page,medren/masters/21198-zz000rstv8-1-master.tif,12,,,,,,,,,pd,,,,,Coll. 170. Ms. 348. Page 12,v,,,,,,,,,,,,,,,21198-zz000rstv8-1-thumbnail.jpg,21198-zz000rstv8-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rstv8
Medieval and Renaissance Manuscripts,ark:/21198/zz000rstws,ark:/21198/zz000rstf2,2,Completed,Page,medren/masters/21198-zz000rstws-1-master.tif,13,,,,,,,,,pd,,,,,Coll. 170. Ms. 348. Page 13,r,,,,,,,,,,,,,,,21198-zz000rstws-1-thumbnail.jpg,21198-zz000rstws-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rstws
Medieval and Renaissance Manuscripts,ark:/21198/zz000rstx9,ark:/21198/zz000rstf2,2,Completed,Page,medren/masters/21198-zz000rstx9-1-master.tif,14,,,,,,,,,pd,,,,,Coll. 170. Ms. 348. Page 14,v,,,,,,,,,,,,,,,21198-zz000rstx9-1-thumbnail.jpg,21198-zz000rstx9-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rstx9
Medieval and Renaissance Manuscripts,ark:/21198/zz000rstzt,ark:/21198/zz000rstf2,2,Completed,Page,medren/masters/21198-zz000rstzt-1-master.tif,15,,,,,,,,,pd,,,,,Coll. 170. Ms. 348. Page 15,r,,,,,,,,,,,,,,,21198-zz000rstzt-1-thumbnail.jpg,21198-zz000rstzt-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rstzt
