Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Description.abstract,Coverage.geographic,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Relation.textDirection,Format.extent,thumbnailImageName,masterImageName
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqq52,ark:/21198/zz001hqnc6,4,Derived,Page,,52,,,,,,,,,pd,,,,,ms_75_0052,v,,,,,,,,,,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqq6k,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqq6k_1301784_master.tif,53,,,,,,,,,pd,,,,,ms_75_0053,r,,,,,,,,,,,,,,,21198-zz001hqq6k_1301784_thumbnail.jpg,21198-zz001hqq6k_1301784_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqq73,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqq73_1301787_master.tif,54,,,,,,,,,pd,,,,,ms_75_0054,v,,,,,,,,,,,,,,,21198-zz001hqq73_1301787_thumbnail.jpg,21198-zz001hqq73_1301787_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqq8m,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqq8m_1301790_master.tif,55,,,,,,,,,pd,,,,,ms_75_0055,r,,,,,,,,,,,,,,,21198-zz001hqq8m_1301790_thumbnail.jpg,21198-zz001hqq8m_1301790_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqq94,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqq94_1301793_master.tif,56,,,,,,,,,pd,,,,,ms_75_0056,v,,,,,,,,,,,,,,,21198-zz001hqq94_1301793_thumbnail.jpg,21198-zz001hqq94_1301793_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqqbn,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqqbn_1301796_master.tif,57,,,,,,,,,pd,,,,,ms_75_0057,r,,,,,,,,,,,,,,,21198-zz001hqqbn_1301796_thumbnail.jpg,21198-zz001hqqbn_1301796_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqqc5,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqqc5_1301799_master.tif,58,,,,,,,,,pd,,,,,ms_75_0058,v,,,,,,,,,,,,,,,21198-zz001hqqc5_1301799_thumbnail.jpg,21198-zz001hqqc5_1301799_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqqdp,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqqdp_1301802_master.tif,59,,,,,,,,,pd,,,,,ms_75_0059,r,,,,,,,,,,,,,,,21198-zz001hqqdp_1301802_thumbnail.jpg,21198-zz001hqqdp_1301802_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqqf6,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqqf6_1301805_master.tif,60,,,,,,,,,pd,,,,,ms_75_0060,v,,,,,,,,,,,,,,,21198-zz001hqqf6_1301805_thumbnail.jpg,21198-zz001hqqf6_1301805_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqqgq,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqqgq_1301808_master.tif,61,,,,,,,,,pd,,,,,ms_75_0061,r,,,,,,,,,,,,,,,21198-zz001hqqgq_1301808_thumbnail.jpg,21198-zz001hqqgq_1301808_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqqh7,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqqh7_1301811_master.tif,62,,,,,,,,,pd,,,,,ms_75_0062,v,,,,,,,,,,,,,,,21198-zz001hqqh7_1301811_thumbnail.jpg,21198-zz001hqqh7_1301811_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqqjr,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqqjr_1301814_master.tif,63,,,,,,,,,pd,,,,,ms_75_0063,r,,,,,,,,,,,,,,,21198-zz001hqqjr_1301814_thumbnail.jpg,21198-zz001hqqjr_1301814_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqqk8,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqqk8_1301817_master.tif,64,,,,,,,,,pd,,,,,ms_75_0064,v,,,,,,,,,,,,,,,21198-zz001hqqk8_1301817_thumbnail.jpg,21198-zz001hqqk8_1301817_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqqms,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqqms_1301820_master.tif,65,,,,,,,,,pd,,,,,ms_75_0065,r,,,,,,,,,,,,,,,21198-zz001hqqms_1301820_thumbnail.jpg,21198-zz001hqqms_1301820_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqqn9,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqqn9_1301823_master.tif,66,,,,,,,,,pd,,,,,ms_75_0066,v,,,,,,,,,,,,,,,21198-zz001hqqn9_1301823_thumbnail.jpg,21198-zz001hqqn9_1301823_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqqpt,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqqpt_1301826_master.tif,67,,,,,,,,,pd,,,,,ms_75_0067,r,,,,,,,,,,,,,,,21198-zz001hqqpt_1301826_thumbnail.jpg,21198-zz001hqqpt_1301826_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqqqb,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqqqb_1301829_master.tif,68,,,,,,,,,pd,,,,,ms_75_0068,v,,,,,,,,,,,,,,,21198-zz001hqqqb_1301829_thumbnail.jpg,21198-zz001hqqqb_1301829_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqqrv,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqqrv_1301832_master.tif,69,,,,,,,,,pd,,,,,ms_75_0069,r,,,,,,,,,,,,,,,21198-zz001hqqrv_1301832_thumbnail.jpg,21198-zz001hqqrv_1301832_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqqsc,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqqsc_1301835_master.tif,70,,,,,,,,,pd,,,,,ms_75_0070,v,,,,,,,,,,,,,,,21198-zz001hqqsc_1301835_thumbnail.jpg,21198-zz001hqqsc_1301835_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqqtw,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqqtw_1301838_master.tif,71,,,,,,,,,pd,,,,,ms_75_0071,r,,,,,,,,,,,,,,,21198-zz001hqqtw_1301838_thumbnail.jpg,21198-zz001hqqtw_1301838_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqqvd,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqqvd_1301841_master.tif,72,,,,,,,,,pd,,,,,ms_75_0072,v,,,,,,,,,,,,,,,21198-zz001hqqvd_1301841_thumbnail.jpg,21198-zz001hqqvd_1301841_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqqwx,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqqwx_1301844_master.tif,73,,,,,,,,,pd,,,,,ms_75_0073,r,,,,,,,,,,,,,,,21198-zz001hqqwx_1301844_thumbnail.jpg,21198-zz001hqqwx_1301844_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqqxf,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqqxf_1301847_master.tif,74,,,,,,,,,pd,,,,,ms_75_0074,v,,,,,,,,,,,,,,,21198-zz001hqqxf_1301847_thumbnail.jpg,21198-zz001hqqxf_1301847_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqqzz,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqqzz_1301850_master.tif,75,,,,,,,,,pd,,,,,ms_75_0075,r,,,,,,,,,,,,,,,21198-zz001hqqzz_1301850_thumbnail.jpg,21198-zz001hqqzz_1301850_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqr0z,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqr0z_1301853_master.tif,76,,,,,,,,,pd,,,,,ms_75_0076,v,,,,,,,,,,,,,,,21198-zz001hqr0z_1301853_thumbnail.jpg,21198-zz001hqr0z_1301853_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqr1g,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqr1g_1301856_master.tif,77,,,,,,,,,pd,,,,,ms_75_0077,r,,,,,,,,,,,,,,,21198-zz001hqr1g_1301856_thumbnail.jpg,21198-zz001hqr1g_1301856_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqr20,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqr20_1301859_master.tif,78,,,,,,,,,pd,,,,,ms_75_0078,v,,,,,,,,,,,,,,,21198-zz001hqr20_1301859_thumbnail.jpg,21198-zz001hqr20_1301859_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqr3h,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqr3h_1301862_master.tif,79,,,,,,,,,pd,,,,,ms_75_0079,r,,,,,,,,,,,,,,,21198-zz001hqr3h_1301862_thumbnail.jpg,21198-zz001hqr3h_1301862_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqr41,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqr41_1301865_master.tif,80,,,,,,,,,pd,,,,,ms_75_0080,v,,,,,,,,,,,,,,,21198-zz001hqr41_1301865_thumbnail.jpg,21198-zz001hqr41_1301865_master.tif
Medieval and Renaissance Manuscripts,ark:/21198/zz001hqr5j,ark:/21198/zz001hqnc6,4,Derived,Page,medren/masters/21198-zz001hqr5j_1301868_master.tif,81,,,,,,,,,pd,,,,,ms_75_0081,r,,,,,,,,,,,,,,,21198-zz001hqr5j_1301868_thumbnail.jpg,21198-zz001hqr5j_1301868_master.tif
