"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Subject","Name.repository","Name.creator","Title","Relation.rectoVerso","Date.creation","Relation.isPartOf","Alt ID.local","AltTitle.uniform","Description.note","Format.dimensions","Description.abstract","Coverage.geographic","Date.normalized","Publisher.placeOfOrigin","Format.medium","Publisher.publisherName","Relation.textDirection","Format.extent","thumbnailImageName","masterImageName","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s37z2","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000s37z2-1-master.tif","560","","","","","","","","","pd","","","","","Coll. 170 MS. 677 Page 559","r","","","","","","","","","","","","","","","21198-zz000s37z2-1-thumbnail.jpg","21198-zz000s37z2-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s37z2",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s3802","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000s3802-1-master.tif","561","","","","","","","","","pd","","","","","Coll. 170 MS. 677 Page 560","v","","","","","","","","","","","","","","","21198-zz000s3802-1-thumbnail.jpg","21198-zz000s3802-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3802",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s39z1","ark:/21198/zz000s39xh","2","Completed","Page","medren/masters/21198-zz000s39z1-1-master.tif","1","","","","","","","","","pd","","","","","1","r","","","","","","","","","","","","","","","21198-zz000s39z1-1-thumbnail.jpg","21198-zz000s39z1-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s39z1",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s3b01","ark:/21198/zz000s39xh","2","Completed","Page","medren/masters/21198-zz000s3b01-1-master.tif","2","","","","","","","","","pd","","","","","2","v","","","","","","","","","","","","","","","21198-zz000s3b01-1-thumbnail.jpg","21198-zz000s3b01-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3b01",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s3b1j","ark:/21198/zz000s39xh","2","Completed","Page","medren/masters/21198-zz000s3b1j-1-master.tif","3","","","","","","","","","pd","","","","","3","r","","","","","","","","","","","","","","","21198-zz000s3b1j-1-thumbnail.jpg","21198-zz000s3b1j-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3b1j",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s3b22","ark:/21198/zz000s39xh","2","Completed","Page","medren/masters/21198-zz000s3b22-1-master.tif","4","","","","","","","","","pd","","","","","4","v","","","","","","","","","","","","","","","21198-zz000s3b22-1-thumbnail.jpg","21198-zz000s3b22-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3b22",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s3b3k","ark:/21198/zz000s39xh","2","Completed","Page","medren/masters/21198-zz000s3b3k-1-master.tif","5","","","","","","","","","pd","","","","","5","r","","","","","","","","","","","","","","","21198-zz000s3b3k-1-thumbnail.jpg","21198-zz000s3b3k-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3b3k",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s3b43","ark:/21198/zz000s39xh","2","Completed","Page","medren/masters/21198-zz000s3b43-1-master.tif","6","","","","","","","","","pd","","","","","6","v","","","","","","","","","","","","","","","21198-zz000s3b43-1-thumbnail.jpg","21198-zz000s3b43-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3b43",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s3b5m","ark:/21198/zz000s39xh","2","Completed","Page","medren/masters/21198-zz000s3b5m-1-master.tif","7","","","","","","","","","pd","","","","","7","r","","","","","","","","","","","","","","","21198-zz000s3b5m-1-thumbnail.jpg","21198-zz000s3b5m-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3b5m",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s3b64","ark:/21198/zz000s39xh","2","Completed","Page","medren/masters/21198-zz000s3b64-1-master.tif","8","","","","","","","","","pd","","","","","8","v","","","","","","","","","","","","","","","21198-zz000s3b64-1-thumbnail.jpg","21198-zz000s3b64-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3b64",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s3b7n","ark:/21198/zz000s39xh","2","Completed","Page","medren/masters/21198-zz000s3b7n-1-master.tif","9","","","","","","","","","pd","","","","","9","r","","","","","","","","","","","","","","","21198-zz000s3b7n-1-thumbnail.jpg","21198-zz000s3b7n-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3b7n",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s3b85","ark:/21198/zz000s39xh","2","Completed","Page","medren/masters/21198-zz000s3b85-1-master.tif","10","","","","","","","","","pd","","","","","10","v","","","","","","","","","","","","","","","21198-zz000s3b85-1-thumbnail.jpg","21198-zz000s3b85-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3b85",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s3b9p","ark:/21198/zz000s39xh","2","Completed","Page","medren/masters/21198-zz000s3b9p-1-master.tif","11","","","","","","","","","pd","","","","","11","r","","","","","","","","","","","","","","","21198-zz000s3b9p-1-thumbnail.jpg","21198-zz000s3b9p-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3b9p",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s3bb6","ark:/21198/zz000s39xh","2","Completed","Page","medren/masters/21198-zz000s3bb6-1-master.tif","12","","","","","","","","","pd","","","","","12","v","","","","","","","","","","","","","","","21198-zz000s3bb6-1-thumbnail.jpg","21198-zz000s3bb6-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3bb6",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s3bcq","ark:/21198/zz000s39xh","2","Completed","Page","medren/masters/21198-zz000s3bcq-1-master.tif","13","","","","","","","","","pd","","","","","13","r","","","","","","","","","","","","","","","21198-zz000s3bcq-1-thumbnail.jpg","21198-zz000s3bcq-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3bcq",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s3bd7","ark:/21198/zz000s39xh","2","Completed","Page","medren/masters/21198-zz000s3bd7-1-master.tif","14","","","","","","","","","pd","","","","","14","v","","","","","","","","","","","","","","","21198-zz000s3bd7-1-thumbnail.jpg","21198-zz000s3bd7-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3bd7",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s3bfr","ark:/21198/zz000s39xh","2","Completed","Page","medren/masters/21198-zz000s3bfr-1-master.tif","15","","","","","","","","","pd","","","","","15","r","","","","","","","","","","","","","","","21198-zz000s3bfr-1-thumbnail.jpg","21198-zz000s3bfr-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3bfr",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s3bg8","ark:/21198/zz000s39xh","2","Completed","Page","medren/masters/21198-zz000s3bg8-1-master.tif","16","","","","","","","","","pd","","","","","16","v","","","","","","","","","","","","","","","21198-zz000s3bg8-1-thumbnail.jpg","21198-zz000s3bg8-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3bg8",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s3bhs","ark:/21198/zz000s39xh","2","Completed","Page","medren/masters/21198-zz000s3bhs-1-master.tif","17","","","","","","","","","pd","","","","","17","r","","","","","","","","","","","","","","","21198-zz000s3bhs-1-thumbnail.jpg","21198-zz000s3bhs-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3bhs",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s3bj9","ark:/21198/zz000s39xh","2","Completed","Page","medren/masters/21198-zz000s3bj9-1-master.tif","18","","","","","","","","","pd","","","","","18","v","","","","","","","","","","","","","","","21198-zz000s3bj9-1-thumbnail.jpg","21198-zz000s3bj9-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3bj9",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s3bkt","ark:/21198/zz000s39xh","2","Completed","Page","medren/masters/21198-zz000s3bkt-1-master.tif","19","","","","","","","","","pd","","","","","19","r","","","","","","","","","","","","","","","21198-zz000s3bkt-1-thumbnail.jpg","21198-zz000s3bkt-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3bkt",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s3bmb","ark:/21198/zz000s39xh","2","Completed","Page","medren/masters/21198-zz000s3bmb-1-master.tif","20","","","","","","","","","pd","","","","","20","v","","","","","","","","","","","","","","","21198-zz000s3bmb-1-thumbnail.jpg","21198-zz000s3bmb-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3bmb",""
