Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Rights.publicationStatus,Language,Type.typeOfResource,Type.genre,Subject.conceptTopic,Subject geographic,Name.creator,Name.repository,Note,Title,Alt ID.local,Date.creation,Date.normalized,Description.fundingNote,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Description.note,Coverage.geographic,AltTitle.translated,AltTitle.descriptive,Alt ID.lccn,Alt ID.oclc,Alt ID.url,Bucketeer State,IIIF Access URL
East Asian Maps in the Bruman Collection,ark:/21198/zz002hf554,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7961_E2_2_7M_OSS_1944_EDProv_Part2.tif,716,,,pd_usfed,,eng,cartographic,map,Japan--Population--Maps,Japan--Maps,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",easternmost:E1380000|~|northernmost:N0370000|~|southernmost:N0320000|~|westernmost:E1290000,"Southwest Japan (Kyushu, Shikoku, And Southwest Honshu) Distribution Of Population",G7961_E2_2_7M_OSS_1944_EDProv_Part2|~|Monograph_Maps,2 August 1944,1944-08-02,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,Provisional ed.,Japan,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hf554
East Asian Maps in the Bruman Collection,ark:/21198/zz002hf56n,ark:/21198/zz002hc63p,2,Completed,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7961_E2_2_7M_OSS_1945_EDProv.tif,717,,,pd_usfed,,eng,cartographic,map,Population density--Japan--Maps|~|Japan--Administrative and political divisions--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",northernmost:N0410000|~|southernmost:N0320000|~|easternmost:E1410000|~|westernmost:E1300000,Japan: population densities by prefectures and province,G7961_E2_2_7M_OSS_1945_EDProv|~|Monograph_Maps,1945,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,Office of Strategic Services],1 map : col. ; 43 x 42 cm.,[Washington|~|dcu,"Provisional ed.|~|Includes inset and statistical chart.|~|""No. 8118--R & A, OSS.""|~|""22 Aug. 1945.""|~|Provisional ed.",Japan|~|2800000,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hf56n
East Asian Maps in the Bruman Collection,ark:/21198/zz002hf575,ark:/21198/zz002hc63p,2,Completed,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7961_E2_8M_AGS_1926.tif,718,,,pd_usfed,,eng,cartographic,map,Japan--Population--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",easternmost:E1440000|~|westernmost:E1300000|~|southernmost:N0320000|~|northernmost:N0440000,Japan : distribution of population (1913),G7961_E2_8M_AGS_1926|~|Monograph_Maps,c1926,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,1 map ; 21 x 18 cm.,New York|~|nyu,"Scale 1:8,000,000.|~|Accompanies article, ""A dot map of the distribution of population in Japan,"" by Wesley Coulter in the Geographical Review, v. 16, no. 2, 1926, p. 283-284.",Japan,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hf575
East Asian Maps in the Bruman Collection,ark:/21198/zz002hf58p,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7961_E2_8_5M_EDSS_c_1940.tif,719,,,pd_usfed,,eng,cartographic,map,Japan--Population--Maps,Japan--Maps,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Population Densities In Japan,G7961_E2_8_5M_EDSS_c_1940|~|Monograph_Maps,1940,1940,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,Japan,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hf58p
East Asian Maps in the Bruman Collection,ark:/21198/zz002hf596,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7961_E2_COI_1930.tif,720,,,pd_usfed,,eng,cartographic,map,Japan--Population--Maps,Japan--Maps,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1280000|~|easternmost:E1460000|~|southernmost:N0320000|~|northernmost:N0440000,"Japan Cities Over 100,000 Population 1930",G7961_E2_COI_1930|~|Monograph_Maps,1930,1930,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,Japan,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hf596
East Asian Maps in the Bruman Collection,ark:/21198/zz002hf5bq,ark:/21198/zz002hc63p,2,Completed,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7961_F7_2M_OSS_1945_EDProv.tif,721,,,pd_usfed,,eng,cartographic,map,Japan--Administrative and political divisions--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",northernmost:N0420000|~|southernmost:N0300000|~|westernmost:E1300000|~|easternmost:E1400000,Japan,G7961_F7_2M_OSS_1945_EDProv|~|Monograph_Maps,1945|~|[1945],,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,"Lithographed in the Reproduction Branch, OSS",1 map : col. ; 79 x 59 cm.,"[Washington, D.C.]|~|dcu","""No. 5969--R & A, OSS, 15 January 1945.""|~|Includes table: Reliability of data.|~|Inset: Hokkaidō.|~|Provisional ed.",Japan|~|1900800,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hf5bq
East Asian Maps in the Bruman Collection,ark:/21198/zz002hf5c7,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7961_F7_2_9M_R_Han_1880.tif,722,,,pd_usfed,,eng,cartographic,map,,Japan--Maps,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1300000|~|easternmost:E1440000|~|northernmost:N0460000|~|southernmost:N0300000,Japan On A Scale Of 1:7.300.000 According To The Division Of 1876.,G7961_F7_2_9M_R_Han_1880|~|Monograph_Maps,1880,1880,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,Japan|~|7300000,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hf5c7
East Asian Maps in the Bruman Collection,ark:/21198/zz002hf5dr,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7961_F7_3M.tif,723,,,pd_usfed,,,cartographic,map,,Japan--Maps,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1290000|~|easternmost:E1410000|~|northernmost:N0410000|~|southernmost:N0300000,Japan In Provinces.,G7961_F7_3M|~|Monograph_Maps,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,Japan,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hf5dr
East Asian Maps in the Bruman Collection,ark:/21198/zz002hf5f8,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7961_F7_3_8M_OSS_1945.tif,724,,,pd_usfed,,eng,cartographic,map,,Japan--Maps,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1280000|~|easternmost:E1460000|~|northernmost:N0440000|~|southernmost:N0260000,"Japan Administrative Areas / Political, Econimic, Military",G7961_F7_3_8M_OSS_1945|~|Monograph_Maps,1945,1945,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,Japan,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hf5f8
East Asian Maps in the Bruman Collection,ark:/21198/zz002hf5gs,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7961_G6_5_OSS_1945_EDProv.tif,725,,,pd_usfed,,,cartographic,map,,Japan--Maps,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1300000|~|southernmost:N0310000|~|easternmost:E1410000|~|northernmost:N0410000,Japan: Food Sufficiency,G7961_G6_5_OSS_1945_EDProv|~|Monograph_Maps,22 August 1945,1945-08-22,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,Provisional ed.,Japan,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hf5gs
East Asian Maps in the Bruman Collection,ark:/21198/zz002hf5h9,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7961_H1_5M_ND_1913.tif,726,,,pd_usfed,,eng,cartographic,map,Japan--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Map Of Japan Showing Location Of Important Mines 1913,G7961_H1_5M_ND_1913|~|Monograph_Maps,1913,1913,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,Japan,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hf5h9
East Asian Maps in the Bruman Collection,ark:/21198/zz002hf5jt,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7961_J15_3_7M_OSS_1945.tif,727,,,pd_usfed,,eng,cartographic,map,,Japan--Maps,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1290000|~|easternmost:E1420000|~|northernmost:N0410000|~|southernmost:N0310000,"Japan: Food Surpluses And Deficits / Combined Averages (1935, 1937, 1939) Of All Food Products Available For Consumption",G7961_J15_3_7M_OSS_1945|~|Monograph_Maps,27 June 1945,1945-06-27,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,Japan,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hf5jt
