Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Visibility,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Name.subject,Name.donor,Rights.rightsHolderContact,Name.repository,Subject,Rights.copyrightStatus,Publisher.publisherName,Name.designer,Name.creator,Name.contributor,Format.extent,AltTitle.uniform,AltIdentifier.local,Relation.isPartOf,Date.creation,Title,Format.medium,Format.dimensions,Date.normalized,Description.note,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bnk76,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bnk76_748525_master.tif,private,,,,still image,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1962_94.tif,"Edward Ross Roybal Papers, 1953-600",1962,CSRC_ROYBAL-HAYNES_1962_94.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bnk97,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bnk97_749369_master.tif,private,,,,still image,color photographs,,Roybal Family,,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1976_45.tif,"Edward Ross Roybal Papers, 1953-598",1976,CSRC_ROYBAL-HAYNES_1976_45.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bnkbr,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bnkbr_749418_master.tif,private,,,,still image,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1977_06.tif,"Edward Ross Roybal Papers, 1953-597",1977,CSRC_ROYBAL-HAYNES_1977_06.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bnkc8,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bnkc8_748676_master.tif,private,,,,still image,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1964_29.tif,"Edward Ross Roybal Papers, 1953-596",1964,CSRC_ROYBAL-HAYNES_1964_29.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bnkds,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bnkds_748558_master.tif,private,,,,still image,photographs,"Roybal, Edward Ross, 1916-2005|~|Kennedy, John F. (John Fitzgerald), 1917-1963--Family",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1962_95.tif,"Edward Ross Roybal Papers, 1953-595",1962,CSRC_ROYBAL-HAYNES_1962_95.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bnkf9,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bnkf9_749392_master.tif,private,,,,still image,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1977_02.tif,"Edward Ross Roybal Papers, 1953-594",1977,CSRC_ROYBAL-HAYNES_1977_02.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bnkgt,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bnkgt_750149_master.tif,private,,,,still image,,"Roybal, Edward Ross, 1916-2005|~|Roybal, Lucille Beserra, 1917 -",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1977_30.tif,"Edward Ross Roybal Papers, 1953-593",1977,CSRC_ROYBAL-HAYNES_1977_30.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bnkhb,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bnkhb_749435_master.tif,private,,,,still image,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1977_09.tif,"Edward Ross Roybal Papers, 1953-592",1977,CSRC_ROYBAL-HAYNES_1977_09.tif,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bnkjv,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bnkjv_748687_master.tif,private,,,,still image,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1964_30.tif,"Edward Ross Roybal Papers, 1953-591",1964,CSRC_ROYBAL-HAYNES_1964_30.tif,,1 Photograph,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/zz001bnkkc,ark:/21198/zz000s3hxd,1,In progress,Work,csrc/masters/21198-zz001bnkkc_748573_master.tif,private,,,,still image,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL-HAYNES_1963_06.tif,"Edward Ross Roybal Papers, 1953-590",1963,CSRC_ROYBAL-HAYNES_1963_06.tif,,,,,,,failed,
