"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Visibility","viewingHint","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Language","Name.repository","AltTitle.uniform","Description.note","Summary","Title","Alt ID.local","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Mikels (Elaine) Papers","ark:/21198/zz002dwd32/f323hh4d","ark:/21198/zz002dwd32","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F7_008A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dwd32%2Ff323hh4d",""
"Mikels (Elaine) Papers","ark:/21198/zz002dwd32/q413c62b","ark:/21198/zz002dwd32","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F7_008.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dwd32%2Fq413c62b",""
