"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.servicesContact","Name.repository","Name.illuminator","Language","Author","AltTitle.other","Description.note","Date.creation","Summary","Date.normalized","Description.adminnote","Description.contents","Condition note","Illustrations note","Description.colophon","Description.history","Binding note","Format.extent","Alt ID.local","Format.dimensions","Relation.isPartOf","AltTitle.uniform","Place of origin","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No.64: 0001","Armenian Manuscripts","ark:/21198/zz0028zkdc","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0001.tif","1","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zkdc",""
"Manuscript No.64: 0002","Armenian Manuscripts","ark:/21198/zz0028zkfw","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0002.tif","2","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zkfw",""
"Manuscript No.64: 0003","Armenian Manuscripts","ark:/21198/zz0028zkgd","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0003.tif","3","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zkgd",""
"Manuscript No.64: 0004","Armenian Manuscripts","ark:/21198/zz0028zkhx","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0004.tif","4","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zkhx",""
"Manuscript No.64: 0005","Armenian Manuscripts","ark:/21198/zz0028zkjf","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0005.tif","5","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zkjf",""
"Manuscript No.64: 0006","Armenian Manuscripts","ark:/21198/zz0028zkkz","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0006.tif","6","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zkkz",""
"Manuscript No.64: 0007","Armenian Manuscripts","ark:/21198/zz0028zkmg","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0007.tif","7","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zkmg",""
"Manuscript No.64: 0008","Armenian Manuscripts","ark:/21198/zz0028zkn0","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0008.tif","8","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zkn0",""
"Manuscript No.64: 0009","Armenian Manuscripts","ark:/21198/zz0028zkph","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0009.tif","9","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zkph",""
"Manuscript No.64: 0010","Armenian Manuscripts","ark:/21198/zz0028zkq1","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0010.tif","10","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zkq1",""
