"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Subject topic","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.subject","Subject","Subject.conceptTopic","Language","Rights.permissionNote","Name.creator","Rights.publicationNote","Text direction","IIIF Range","Name.repository","Title","Date.creation","Description.note","Summary","Description.caption","Date.normalized","Description.abstract","Date.created","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015whdw","ark:/21198/zz0015wgbc","2","Completed","Page","scwu/images/masters/21198-zz0015whdw-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015whdw"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015whfd","ark:/21198/zz0015wgbc","2","Completed","Page","scwu/images/masters/21198-zz0015whfd-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015whfd"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015whgx","ark:/21198/zz0015wgbc","2","Completed","Page","scwu/images/masters/21198-zz0015whgx-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015whgx"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015whhf","ark:/21198/zz0015wgbc","2","Completed","Page","scwu/images/masters/21198-zz0015whhf-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015whhf"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015whjz","ark:/21198/zz0015wgbc","2","Completed","Page","scwu/images/masters/21198-zz0015whjz-1-master.tif","5","","","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015whjz"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015whnh","ark:/21198/zz0015whm0","2","Completed","Page","scwu/images/masters/21198-zz0015whnh-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015whnh"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015wkfc","ark:/21198/zz0015whxn","2","Completed","Page","scwu/images/masters/21198-zz0015wkfc-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015wkfc"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015wkgw","ark:/21198/zz0015whxn","2","Completed","Page","scwu/images/masters/21198-zz0015wkgw-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015wkgw"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015wkmz","ark:/21198/zz0015wkkf","2","Completed","Page","scwu/images/masters/21198-zz0015wkmz-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015wkmz"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015wkng","ark:/21198/zz0015wkkf","2","Completed","Page","scwu/images/masters/21198-zz0015wkng-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015wkng"
