Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Visibility,viewingHint,Delete in Title,Subject topic,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.photographer,Author,Name.subject,Subject,Subject.conceptTopic,Language,Rights.permissionNote,Name.creator,Rights.publicationNote,Text direction,IIIF Range,Name.repository,Title,Date.creation,Description.note,Summary,Description.caption,Date.normalized,Description.abstract,Date.created,AltTitle.other,Opac url,Finding Aid URL,IIIF Manifest URL
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015wgbc,ark:/21198/zz000s2z5v,2,Completed,Work,,1,,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015whdw,text,,copyrighted,unknown,unpublished,Los Angeles (Calif.),,"MacCulloch, Bunny","Mazer, June|~|Berzon, Betty|~|Whitman Radclyffe Foundation|~|Southern California Women for Understanding|~|DeCrescenzo, Terry|~|Riddell, Myra|~|Philbrick, Sue",Board of Directors - Founding Papers,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles,eng,,,,,,,First Documents Article for 10th Anniversary Newsletter,"March 30, 1986","Rights.generalNote: Not sure if copyright is held by organization or by individual author.|~|Details the origins of SCWU as a ""support group"" of the Whitman-Radclyffe Foundation (WRF). MacCulloch briefly outlines SCWU's initial challenges and learning process of working together, by-law and policy-making, official severance from WRF, estrangement from original members Terry DeCrescenzo and Betty Berzon, and the resignation/firing of June Mazer as newsletter co-editor.",,,1986-03-30,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015wgbc/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015whm0,ark:/21198/zz000s2z5v,2,Completed,Work,,2,,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015whnh,text,,copyrighted,unknown,published,Los Angeles (Calif.)|~|San Francisco Bay Area (Calif.)--Maps,,,,Board of Directors - Founding Papers,,eng,,Whitman Radclyffe Foundation,,,,,Whitman-Radclyffe Foundation Magazine Ad,1976,Rights.generalNote: Unclear who holds the copyright to this ad - may need to ask permission to publish.,,,1976,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015whm0/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015whxn,ark:/21198/zz000s2z5v,2,Completed,Work,,3,,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015wkfc,text,,copyrighted,unknown,unpublished,Los Angeles (Calif.),,"Berzon, Betty",Whitman Radclyffe Foundation|~|Southern California Women for Understanding,Board of Directors - Founding Papers,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles,eng,,,,,,,Letter to Friends of the Whitman Radclyffe Foundation,"May 15, 1976","Rights.generalNote: Not sure if copyright is held by organization or by individual author. Includes personal information: Betty Berzon's address on letterhead and directions to her house.|~|Original invitational letter to Whitman-Radclyffe Foundation women's ""support group"".",,,1976-05-15,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015whxn/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015wkkf,ark:/21198/zz000s2z5v,2,Completed,Work,,4,,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015wkmz,text,,copyrighted,unknown,unpublished,Los Angeles (Calif.),,"Berzon, Betty","Whitman Radclyffe Foundation|~|Southern California Women for Understanding|~|DeCrescenzo, Terry|~|Riddell, Myra",Board of Directors - Founding Papers,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles,eng,,,,,,,"Notes for June - July Meetings, 1976",June/July 1976,Rights.generalNote: Not sure if copyright is held by organization or by individual author.,,,1976-06/1976-07,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015wkkf/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015wm9s,ark:/21198/zz000s2z5v,2,Completed,Work,,5,,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015wmb9,text,,copyrighted,unknown,unpublished,Los Angeles (Calif.),,"Berzon, Betty",Whitman Radclyffe Foundation|~|Southern California Women for Understanding,Board of Directors - Founding Papers,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles,eng,,,,,,,Letter to Myra Riddell Regarding Programming Suggestions for Whitman-Radclyffe Foundation Women's Group,"June 22, 1976",Rights.generalNote: Not sure if copyright is held by organization or by individual author.,,,1976-06-22,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015wm9s/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015wmdb,ark:/21198/zz000s2z5v,2,Completed,Work,,6,,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015wmfv,text,,copyrighted,unknown,unpublished,Los Angeles (Calif.),,"Berzon, Betty","Whitman Radclyffe Foundation|~|Southern California Women for Understanding|~|Riddell, Myra",Board of Directors - Founding Papers,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles,eng,,,,,,,Notes for the First Southern California Women for Whitman-Radclyffe Foundation Meeting,1976,"Rights.generalNote: Not sure if copyright is held by organization or by individual author.|~|This document appears to be a script for the first meeting of the Women's Group of the Whitman-Radclyffe Foundation, presumably written by Betty Berzon.",,,1976,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015wmdb/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015wmnz,ark:/21198/zz000s2z5v,2,Completed,Work,,7,,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015wmpg,text,,copyrighted,unknown,unpublished,Los Angeles (Calif.),,"Berzon, Betty","Whitman Radclyffe Foundation|~|Southern California Women for Understanding|~|DeCrescenzo, Terry|~|Riddell, Myra|~|Philbrick, Sue",Board of Directors - Founding Papers,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles,eng,,,,,,,Letter to the Board of WRF Regarding the Establishment of Southern California Women for Whitman-Radclyffe Foundation,"June 23, 1976",Rights.generalNote: Not sure if copyright is held by organization or by individual author. Includes personal information: Sue Philbrick's phone number.,,,1976-06-23,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015wmnz/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015wms1,ark:/21198/zz000s2z5v,2,Completed,Work,,9,,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015wmtj,text,,copyrighted,unknown,unpublished,Los Angeles (Calif.),,"Berzon, Betty|~|Denslow, Pat",Whitman Radclyffe Foundation|~|Southern California Women for Understanding,Board of Directors - Founding Papers,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles,eng,,,,,,,Suggestions Regarding Membership to Southern California Women and Incorporating the Organization's Name,1976,Rights.generalNote: Not sure if copyright is held by organization or by individual author. Includes personal information: Pat Denslow's phone number (page 1) and Peter Thomas' phone number (page 2).|~|Attached to a letter from Betty Berzon to Peter Thomas placing SCW on the agenda for the upcoming WRF Board meeting.,,,1976,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015wms1/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015wmzm,ark:/21198/zz000s2z5v,2,Completed,Work,,10,,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015wn0m,text,,copyrighted,unknown,unpublished,Los Angeles (Calif.),,"Berzon, Betty",Whitman Radclyffe Foundation|~|Southern California Women for Understanding,Board of Directors - Founding Papers,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles,eng,,,,,,,Letter Regarding the First Membership Meeting of Southern California Women,"July 27, 1976",Rights.generalNote: Not sure if copyright is held by organization or by individual author.,,,1976-07-27,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015wmzm/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015wn6q,ark:/21198/zz000s2z5v,2,Completed,Work,,11,,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015wn77,text,,copyrighted,unknown,unpublished,Los Angeles (Calif.),,"Riddell, Myra",Whitman Radclyffe Foundation|~|Southern California Women for Understanding,Board of Directors - Founding Papers,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles,eng,,,,,,,Letter Regarding Establishing a Bank Account Through the Whitman-Radclyffe Foundation,"July 28, 1976","Rights.generalNote: Not sure if copyright is held by organization or by individual author.|~|Includes personal information: Myra Riddell's address and phone number, Karen Weiss' address and phone number",,,1976-07-28,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015wn6q/manifest
