Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.countryCreation,Rights.permission,Language,Name.creator,Name.repository,Name.subject,Rights.rightsHolderContact,Rights.servicesContact,Subject,Date.normalized,Title,Date.creation,Description.note
ARPANET Project Notes,,,,,,21198-zz002h2f52-1-master_001.tif,1,,,,,,,,,,,,,,,,Page 1,,
ARPANET Project Notes,,,,,,21198-zz002h2f52-1-master_002.tif,2,,,,,,,,,,,,,,,,Page 2,,
ARPANET Project Notes,,,,,,21198-zz002h2f52-1-master_003.tif,3,,,,,,,,,,,,,,,,Page 3,,
ARPANET Project Notes,,,,,,21198-zz002h2f52-1-master_004.tif,4,,,,,,,,,,,,,,,,Page 4,,
ARPANET Project Notes,,,,,,21198-zz002h2f52-1-master_005.tif,5,,,,,,,,,,,,,,,,Page 5,,
ARPANET Project Notes,,,,,,21198-zz002h2f52-1-master_006.tif,6,,,,,,,,,,,,,,,,Page 6,,
ARPANET Project Notes,,,,,,21198-zz002h2f52-1-master_007.tif,7,,,,,,,,,,,,,,,,Page 7,,
ARPANET Project Notes,,,,,,21198-zz002h2f52-1-master_008.tif,8,,,,,,,,,,,,,,,,Page 8,,
ARPANET Project Notes,,,,,,21198-zz002h2dxz-1-master_001.tif,1,,,,,,,,,,,,,,,,Page 1,,
ARPANET Project Notes,,,,,,21198-zz002h2dxz-1-master_002.tif,2,,,,,,,,,,,,,,,,Page 2,,
