"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","local ID","Creator","Date.created","Date.created (single)","Language | code","TypeOfResource","Genre","Extent","Dimensions","Abstract","Note.content","Institution/Repository","Subject.place","Rights.copyrightStatus","Rights.publicationStatus","Rights.servicesContact","Subject.topic","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_Feb1941_001.tif","Page","Page 1","1","ark:/21198/z1w68fxj","ark:/21198/z16x168h","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x168h",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_Feb1941_002.tif","Page","Page 2","2","ark:/21198/z1w68fxj","ark:/21198/z1350fkj","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1350fkj",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_Feb1941_003.tif","Page","Page 3","3","ark:/21198/z1w68fxj","ark:/21198/z1zc9z5m","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zc9z5m",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_Feb1941_004.tif","Page","Page 4","4","ark:/21198/z1w68fxj","ark:/21198/z1tq7ws9","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7ws9",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_Feb1941_005.tif","Page","Page 5","5","ark:/21198/z1w68fxj","ark:/21198/z1pz753t","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz753t",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_Feb1941_006.tif","Page","Page 6","6","ark:/21198/z1w68fxj","ark:/21198/z1k66dbz","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k66dbz",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_Feb1941_007.tif","Page","Page 7","7","ark:/21198/z1w68fxj","ark:/21198/z1ff5njb","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff5njb",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_Feb1941_008.tif","Page","Page 8","8","ark:/21198/z1w68fxj","ark:/21198/z19p4wtm","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19p4wtm",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_Feb1941_009.tif","Page","Page 9","9","ark:/21198/z1w68fxj","ark:/21198/z15x4544","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x4544",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_Feb1941_010.tif","Page","Page 10","10","ark:/21198/z1w68fxj","ark:/21198/z1253dgm","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1253dgm",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_Feb1941_011.tif","Page","Page 11","11","ark:/21198/z1w68fxj","ark:/21198/z1xh1mdn","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh1mdn",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_Feb1941_012.tif","Page","Page 12","12","ark:/21198/z1w68fxj","ark:/21198/z1sr0vqc","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr0vqc",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_Feb1941_013.tif","Page","Page 13","13","ark:/21198/z1w68fxj","ark:/21198/z1p003xf","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p003xf",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_Feb1941_014.tif","Page","Page 14","14","ark:/21198/z1w68fxj","ark:/21198/z1j69c4p","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j69c4p",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_Feb1941_015.tif","Page","Page 15","15","ark:/21198/z1w68fxj","ark:/21198/z1df8mdz","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1df8mdz",""
"Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss03_Feb1941_016.tif","Page","Page 16","16","ark:/21198/z1w68fxj","ark:/21198/z18p7vr4","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p7vr4",""
