Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Type.typeOfResource,Rights.publicationStatus,Rights.copyrightStatus,Rights.servicesContact,Language,Name.repository,Subject,Type.genre,Title,Alt ID.local,AltTitle.descriptive,Date.publication,Date.normalized,Format.extent,Description.note,Description.abstract,Publisher.publisherName,Publisher.placeOfOrigin,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Deutsches Nachrichtenbüro,ark:/21198/zz002c2s0n,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-19_1175.tif,6301,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1175, 1939 August 19, Morgen-Ausgabe",1939-08-19_1175,Morgen-Ausgabe|~|Deutsches Nachrichtenbüro,"August 19, 1939",1939-08-19,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2s0n,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2s0n/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2s15,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-19_1176.tif,6302,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1176, 1939 August 19, Vormittags-Ausgabe",1939-08-19_1176,Deutsches Nachrichtenbüro|~|Vormittags-Ausgabe,"August 19, 1939",1939-08-19,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2s15,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2s15/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2s2p,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-19_1177.tif,6303,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1177, 1939 August 19, Mittags-Ausgabe",1939-08-19_1177,Mittags-Ausgabe|~|Deutsches Nachrichtenbüro,"August 19, 1939",1939-08-19,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2s2p,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2s2p/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2s36,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-19_1178.tif,6304,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1178, 1939 August 19, Nachmittags- und Abend-Ausgabe",1939-08-19_1178,Deutsches Nachrichtenbüro|~|Nachmittags- und Abend-Ausgabe,"August 19, 1939",1939-08-19,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2s36,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2s36/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2s4q,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-21_1179.tif,6305,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1179, 1939 August 21, Erste Morgen-Ausgabe",1939-08-21_1179,Deutsches Nachrichtenbüro|~|Erste Morgen-Ausgabe,"August 21, 1939",1939-08-21,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2s4q,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2s4q/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2s57,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-21_1180.tif,6306,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1180, 1939 August 21, Zweite Morgen-Ausgabe",1939-08-21_1180,Deutsches Nachrichtenbüro|~|Zweite Morgen-Ausgabe,"August 21, 1939",1939-08-21,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2s57,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2s57/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2s6r,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-21_1181.tif,6307,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1181, 1939 August 21, Erste Vormittags-Ausgabe",1939-08-21_1181,Deutsches Nachrichtenbüro|~|Erste Vormittags-Ausgabe,"August 21, 1939",1939-08-21,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2s6r,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2s6r/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2s78,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-21_1182.tif,6308,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1182, 1939 August 21, Zweite Vormittags-Ausgabe",1939-08-21_1182,Deutsches Nachrichtenbüro|~|Zweite Vormittags-Ausgabe,"August 21, 1939",1939-08-21,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2s78,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2s78/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2s8s,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-21_1183.tif,6309,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1183, 1939 August 21, Mittags-Ausgabe",1939-08-21_1183,Deutsches Nachrichtenbüro|~|Mittags-Ausgabe,"August 21, 1939",1939-08-21,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2s8s,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2s8s/manifest
Deutsches Nachrichtenbüro,ark:/21198/zz002c2s99,ark:/21198/zz00294nw7,10,Completed with minimal metadata,Work,nachrichtenburo/image/August_1939/1939-08-21_1184.tif,6310,text,published,unknown,,ger,"University of California, Los Angeles. $b Library Special Collections",,newspapers,"Deutsches Nachrichtenbüro. 6 Jahrg., Nr. 1184, 1939 August 21, Erste Nachmittags-Ausgabe",1939-08-21_1184,Erste Nachmittags-Ausgabe|~|Deutsches Nachrichtenbüro,"August 21, 1939",1939-08-21,1 p.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2s99,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2s99/manifest
