Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Description.abstract,Coverage.geographic,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Relation.textDirection,Format.extent,thumbnailImageName,masterImageName,Bucketeer State,IIIF Access URL
Medieval and Renaissance Manuscripts,ark:/21198/zz002kj0k3,ark:/21198/zz00157r96,2,Completed,Page,medren/masters/21198-zz002kj0k3_2410678_master.tif,335,,,,,,,,,,,,,,Italian Manuscript 13a XIV,,,"Bound Manuscripts Collection (Collection 170). UCLA Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.","170_403_1xiv_ITA13A,B_vol4_120",,,,,,,,,,,,21198-zz002kj0k3_2410678_thumbnail.jpg,21198-zz002kj0k3_2410678_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kj0k3
Medieval and Renaissance Manuscripts,ark:/21198/zz002kj0mm,ark:/21198/zz00157r96,2,Completed,Page,medren/masters/21198-zz002kj0mm_2410768_master.tif,336,,,,,,,,,,,,,,Italian Manuscript 1 XV,v,,"Bound Manuscripts Collection (Collection 170). UCLA Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.",170_403_2xv_ITA1_vol5_129,,,,,,,,,,,,21198-zz002kj0mm_2410768_thumbnail.jpg,21198-zz002kj0mm_2410768_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kj0mm
Medieval and Renaissance Manuscripts,ark:/21198/zz002kj4bd,ark:/21198/zz001nfjnz,2,Completed,Page,medren/masters/21198-zz002kj4bd_2411109_master.tif,3,,,,,,,,,,,,,,ms_110_1,,,"Richard H. and Mary A. Rouse Collection of Manuscripts. (Collection 360). Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.",0360 Rouse_ms 110_1,,"[Num. 3.24-5.6:] //saph filio Lahel, et habebunt excubias … et per negligentiam transgressi fuerunt//",,,,,,,,,,21198-zz002kj4bd_2411109_thumbnail.jpg,21198-zz002kj4bd_2411109_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kj4bd
Medieval and Renaissance Manuscripts,ark:/21198/zz002kj4cx,ark:/21198/zz001nfjnz,2,Completed,Page,medren/masters/21198-zz002kj4cx_2411115_master.tif,4,,,,,,,,,,,,,,ms_110_1v,verso,,"Richard H. and Mary A. Rouse Collection of Manuscripts. (Collection 360). Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.",0360 Rouse Ms_110_1v,,"[Num. 3.24-5.6:] //saph filio Lahel, et habebunt excubias … et per negligentiam transgressi fuerunt//",,,,,,,,,,21198-zz002kj4cx_2411115_thumbnail.jpg,21198-zz002kj4cx_2411115_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kj4cx
Medieval and Renaissance Manuscripts,ark:/21198/zz002kj4df,ark:/21198/zz001nfjnz,2,Completed,Page,medren/masters/21198-zz002kj4df_2411112_master.tif,5,,,,,,,,,,,,,,ms_110_2r,r,,"Richard H. and Mary A. Rouse Collection of Manuscripts. (Collection 360). Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.",0360 Rouse Ms_110_2r,,[conjunct with f. 1; Num. 18.19-21.4:] //primitias sanctuarii quas offerunt filii Israhel … terram Edom et tedere cepit populum itineris ac la//,,,,,,,,,,21198-zz002kj4df_2411112_thumbnail.jpg,21198-zz002kj4df_2411112_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kj4df
Medieval and Renaissance Manuscripts,ark:/21198/zz002kj4fz,ark:/21198/zz001nfjnz,2,Completed,Page,medren/masters/21198-zz002kj4fz_2411118_master.tif,6,,,,,,,,,,,,,,ms_110_2v,v,,"Richard H. and Mary A. Rouse Collection of Manuscripts. (Collection 360). Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.",0360 Roue ms_2v,,[conjunct with f. 1; Num. 18.19-21.4:] //primitias sanctuarii quas offerunt filii Israhel … terram Edom et tedere cepit populum itineris ac la//,,,,,,,,,,21198-zz002kj4fz_2411118_thumbnail.jpg,21198-zz002kj4fz_2411118_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kj4fz
Medieval and Renaissance Manuscripts,ark:/21198/zz002kj4gg,ark:/21198/zz001nfjnz,2,Completed,Page,medren/masters/21198-zz002kj4gg_2411121_master.tif,7,,,,,,,,,,,,,,ms_110_3r,r,,"Richard H. and Mary A. Rouse Collection of Manuscripts. (Collection 360). Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.",0360 Rouse_ms_110_3r,,[Deut. 31.13-32.52:] // tis diebis quibus versantur in terra … E contra videbis terram et non ingredie //,,,,,,,,,,21198-zz002kj4gg_2411121_thumbnail.jpg,21198-zz002kj4gg_2411121_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kj4gg
Medieval and Renaissance Manuscripts,ark:/21198/zz002kj4h0,ark:/21198/zz001nfjnz,2,Completed,Page,medren/masters/21198-zz002kj4h0_2411124_master.tif,8,,,,,,,,,,,,,,ms_110_3v,v,,"Richard H. and Mary A. Rouse Collection of Manuscripts. (Collection 360). Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.",0360 Rouse_ms_110_3v,,[Deut. 31.13-32.52:] // tis diebis quibus versantur in terra … E contra videbis terram et non ingredie //,,,,,,,,,,21198-zz002kj4h0_2411124_thumbnail.jpg,21198-zz002kj4h0_2411124_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kj4h0
Medieval and Renaissance Manuscripts,ark:/21198/zz002kj4jh,ark:/21198/zz001nfjnz,2,Completed,Page,medren/masters/21198-zz002kj4jh_2411127_master.tif,9,,,,,,,,,,,,,,ms_110_4r,r,,"Richard H. and Mary A. Rouse Collection of Manuscripts. (Collection 360). Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.",0360 Rouse_Ms_110_4r,,[Judic. 1.16-3.25:] //Cinei cognati Moysi ascenderunt … invenerunt dominum suum iacentem in terra//,,,,,,,,,,21198-zz002kj4jh_2411127_thumbnail.jpg,21198-zz002kj4jh_2411127_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kj4jh
Medieval and Renaissance Manuscripts,ark:/21198/zz002kj4k1,ark:/21198/zz001nfjnz,2,Completed,Page,medren/masters/21198-zz002kj4k1_2411130_master.tif,10,,,,,,,,,,,,,,ms_110_4v,v,,"Richard H. and Mary A. Rouse Collection of Manuscripts. (Collection 360). Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.",0360 Rouse_ms_110_4v,,[Judic. 1.16-3.25:] //Cinei cognati Moysi ascenderunt … invenerunt dominum suum iacentem in terra//,,,,,,,,,,21198-zz002kj4k1_2411130_thumbnail.jpg,21198-zz002kj4k1_2411130_master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kj4k1
