"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Rights.copyrightStatus","Type.typeOfResource","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_011.tif","Page","Page 8","11","ark:/21198/n1xw4k","ark:/21198/n1xw4k/h037mq1p","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fh037mq1p",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_012.tif","Page","Page 9","12","ark:/21198/n1xw4k","ark:/21198/n1xw4k/vd19cf8m","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fvd19cf8m",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_013.tif","Page","Page 10","13","ark:/21198/n1xw4k","ark:/21198/n1xw4k/zt77k26n","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fzt77k26n",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_014.tif","Page","Page 11","14","ark:/21198/n1xw4k","ark:/21198/n1xw4k/n668b29k","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fn668b29k",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_015.tif","Page","Page 12","15","ark:/21198/n1xw4k","ark:/21198/n1xw4k/v916kc1v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fv916kc1v",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_016.tif","Page","Page 13","16","ark:/21198/n1xw4k","ark:/21198/n1xw4k/qr01cf01","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fqr01cf01",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_017.tif","Page","Page 14","17","ark:/21198/n1xw4k","ark:/21198/n1xw4k/cc03kt1r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fcc03kt1r",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_018.tif","Page","Page 15","18","ark:/21198/n1xw4k","ark:/21198/n1xw4k/w085z48b","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fw085z48b",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_019.tif","Page","Page 16","19","ark:/21198/n1xw4k","ark:/21198/n1xw4k/g6397f8n","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fg6397f8n",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_020.tif","Page","Page 17","20","ark:/21198/n1xw4k","ark:/21198/n1xw4k/2d96fp0f","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F2d96fp0f",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_021.tif","Page","Page 18","21","ark:/21198/n1xw4k","ark:/21198/n1xw4k/4313dh1f","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F4313dh1f",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_022.tif","Page","Page 19","22","ark:/21198/n1xw4k","ark:/21198/n1xw4k/jv90fd04","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fjv90fd04",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_023.tif","Page","Page 20","23","ark:/21198/n1xw4k","ark:/21198/n1xw4k/wt49fp8r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fwt49fp8r",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_024.tif","Page","Page 21","24","ark:/21198/n1xw4k","ark:/21198/n1xw4k/cm40rc6f","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fcm40rc6f",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_025.tif","Page","Page 22","25","ark:/21198/n1xw4k","ark:/21198/n1xw4k/1z96xb17","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F1z96xb17",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_026.tif","Page","Page 23","26","ark:/21198/n1xw4k","ark:/21198/n1xw4k/1324r112","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F1324r112",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_027.tif","Page","Page 24","27","ark:/21198/n1xw4k","ark:/21198/n1xw4k/rt457h8x","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Frt457h8x",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_028.tif","Page","Page 25","28","ark:/21198/n1xw4k","ark:/21198/n1xw4k/jb79w14r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fjb79w14r",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_029.tif","Page","Page 26","29","ark:/21198/n1xw4k","ark:/21198/n1xw4k/m137xv0t","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fm137xv0t",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_030.tif","Page","Page 27","30","ark:/21198/n1xw4k","ark:/21198/n1xw4k/jj03nz9f","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fjj03nz9f",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_031.tif","Page","Page 28","31","ark:/21198/n1xw4k","ark:/21198/n1xw4k/k876t54f","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fk876t54f",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_032.tif","Page","Page 29","32","ark:/21198/n1xw4k","ark:/21198/n1xw4k/0t80n67k","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F0t80n67k",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_033.tif","Page","Page 30","33","ark:/21198/n1xw4k","ark:/21198/n1xw4k/2w168x48","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F2w168x48",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_034.tif","Page","Page 31","34","ark:/21198/n1xw4k","ark:/21198/n1xw4k/zj05q40r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fzj05q40r",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_035.tif","Page","Page 32","35","ark:/21198/n1xw4k","ark:/21198/n1xw4k/fd15n19n","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Ffd15n19n",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_036.tif","Page","Page 33","36","ark:/21198/n1xw4k","ark:/21198/n1xw4k/4c814b72","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F4c814b72",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_037.tif","Page","Page 34","37","ark:/21198/n1xw4k","ark:/21198/n1xw4k/zt41b70v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fzt41b70v",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_038.tif","Page","Page 35","38","ark:/21198/n1xw4k","ark:/21198/n1xw4k/1q84z17f","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F1q84z17f",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_039.tif","Page","Page 36","39","ark:/21198/n1xw4k","ark:/21198/n1xw4k/3n47rb8m","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F3n47rb8m",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_040.tif","Page","Page 37","40","ark:/21198/n1xw4k","ark:/21198/n1xw4k/w346wz95","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fw346wz95",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_041.tif","Page","Page 38","41","ark:/21198/n1xw4k","ark:/21198/n1xw4k/jp39478z","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fjp39478z",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_042.tif","Page","Page 39","42","ark:/21198/n1xw4k","ark:/21198/n1xw4k/mj36j39r","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fmj36j39r",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_043.tif","Page","Page 40","43","ark:/21198/n1xw4k","ark:/21198/n1xw4k/fd18qh4v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Ffd18qh4v",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_044.tif","Page","Page 41","44","ark:/21198/n1xw4k","ark:/21198/n1xw4k/1c68m73h","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F1c68m73h",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_045.tif","Page","Page 42","45","ark:/21198/n1xw4k","ark:/21198/n1xw4k/wh40z56g","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fwh40z56g",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_046.tif","Page","Page 43","46","ark:/21198/n1xw4k","ark:/21198/n1xw4k/ht28kp7t","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fht28kp7t",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_047.tif","Page","Page 44","47","ark:/21198/n1xw4k","ark:/21198/n1xw4k/bk44pz04","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fbk44pz04",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_048.tif","Page","Page 45","48","ark:/21198/n1xw4k","ark:/21198/n1xw4k/07882v2h","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F07882v2h",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_049.tif","Page","Page 46","49","ark:/21198/n1xw4k","ark:/21198/n1xw4k/bd246k35","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fbd246k35",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_050.tif","Page","Page 47","50","ark:/21198/n1xw4k","ark:/21198/n1xw4k/rd40v654","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Frd40v654",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_051.tif","Page","Page 48","51","ark:/21198/n1xw4k","ark:/21198/n1xw4k/0h96h60v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F0h96h60v",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_052.tif","Page","Page 49","52","ark:/21198/n1xw4k","ark:/21198/n1xw4k/fx532f6z","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Ffx532f6z",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_053.tif","Page","Page 50","53","ark:/21198/n1xw4k","ark:/21198/n1xw4k/1549w47p","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F1549w47p",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_054.tif","Page","Page 51","54","ark:/21198/n1xw4k","ark:/21198/n1xw4k/kv41t07w","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fkv41t07w",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_055.tif","Page","Page 52","55","ark:/21198/n1xw4k","ark:/21198/n1xw4k/8v623d2x","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F8v623d2x",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_056.tif","Page","Page 53","56","ark:/21198/n1xw4k","ark:/21198/n1xw4k/0027255h","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F0027255h",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_057.tif","Page","Page 54","57","ark:/21198/n1xw4k","ark:/21198/n1xw4k/3f09zr1b","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F3f09zr1b",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_058.tif","Page","Page 55","58","ark:/21198/n1xw4k","ark:/21198/n1xw4k/qt586p1d","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fqt586p1d",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_059.tif","Page","Page 56","59","ark:/21198/n1xw4k","ark:/21198/n1xw4k/0p25889q","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F0p25889q",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_060.tif","Page","Page 57","60","ark:/21198/n1xw4k","ark:/21198/n1xw4k/5r555w0c","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F5r555w0c",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_061.tif","Page","Page 58","61","ark:/21198/n1xw4k","ark:/21198/n1xw4k/g0625x8m","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fg0625x8m",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_062.tif","Page","Page 59","62","ark:/21198/n1xw4k","ark:/21198/n1xw4k/08290b73","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2F08290b73",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_063.tif","Page","Page 60","63","ark:/21198/n1xw4k","ark:/21198/n1xw4k/cf33nh8h","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fcf33nh8h",""
"Masters/othermasters/dl_plante/uclalsc_bioms111_b05/uclalsc_bioms111_b05_064.tif","Page","Page 61","64","ark:/21198/n1xw4k","ark:/21198/n1xw4k/sj85t18b","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1xw4k%2Fsj85t18b",""
