"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Rights.copyrightStatus","Type.typeOfResource","IIIF Manifest URL"
"uclalsc_bioms111_b04_001.tif","Page","Front cover","1","ark:/21198/n12k6g","ark:/21198/n12k6g/q388xq06","","",""
"uclalsc_bioms111_b04_002.tif","Page","Inside front cover","2","ark:/21198/n12k6g","ark:/21198/n12k6g/4q707p7b","","",""
"uclalsc_bioms111_b04_003.tif","Page","Flyleaf","3","ark:/21198/n12k6g","ark:/21198/n12k6g/jz07rc77","","",""
"uclalsc_bioms111_b04_004.tif","Page","Page 1","4","ark:/21198/n12k6g","ark:/21198/n12k6g/xx68bz66","","",""
"uclalsc_bioms111_b04_005.tif","Page","Page 2","5","ark:/21198/n12k6g","ark:/21198/n12k6g/rv373q4v","","",""
"uclalsc_bioms111_b04_006.tif","Page","Page 3","6","ark:/21198/n12k6g","ark:/21198/n12k6g/jk896r9r","","",""
"uclalsc_bioms111_b04_007.tif","Page","Page 4","7","ark:/21198/n12k6g","ark:/21198/n12k6g/db73rn57","","",""
"uclalsc_bioms111_b04_008.tif","Page","Page 5","8","ark:/21198/n12k6g","ark:/21198/n12k6g/dh48ws7s","","",""
"uclalsc_bioms111_b04_009.tif","Page","Page 6","9","ark:/21198/n12k6g","ark:/21198/n12k6g/pp37gg85","","",""
"uclalsc_bioms111_b04_010.tif","Page","Page 7","10","ark:/21198/n12k6g","ark:/21198/n12k6g/3653zp5j","","",""
"uclalsc_bioms111_b04_011.tif","Page","Page 8","11","ark:/21198/n12k6g","ark:/21198/n12k6g/2q10r56m","","",""
"uclalsc_bioms111_b04_012.tif","Page","Page 9","12","ark:/21198/n12k6g","ark:/21198/n12k6g/dq99p655","","",""
"uclalsc_bioms111_b04_013.tif","Page","Page 10","13","ark:/21198/n12k6g","ark:/21198/n12k6g/zz33gb3z","","",""
"uclalsc_bioms111_b04_014.tif","Page","Page 11","14","ark:/21198/n12k6g","ark:/21198/n12k6g/v552kf9t","","",""
