"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Rights.copyrightStatus","Type.typeOfResource","IIIF Manifest URL"
"uclasc_bioms111_b01_001.tif","Page","Front cover","1","ark:/21198/n1fs6z","ark:/21198/n1fs6z/sw43zc5x","","",""
"uclasc_bioms111_b01_002.tif","Page","Inside front cover","2","ark:/21198/n1fs6z","ark:/21198/n1fs6z/h008p740","","",""
"uclasc_bioms111_b01_003.tif","Page","Flyleaf","3","ark:/21198/n1fs6z","ark:/21198/n1fs6z/hq11sf52","","",""
"uclasc_bioms111_b01_004.tif","Page","Page 1","4","ark:/21198/n1fs6z","ark:/21198/n1fs6z/pp08t512","","",""
"uclasc_bioms111_b01_005.tif","Page","Page 2","5","ark:/21198/n1fs6z","ark:/21198/n1fs6z/r561km34","","",""
"uclasc_bioms111_b01_006.tif","Page","Page 3","6","ark:/21198/n1fs6z","ark:/21198/n1fs6z/m130cp0d","","",""
"uclasc_bioms111_b01_007.tif","Page","Page 4","7","ark:/21198/n1fs6z","ark:/21198/n1fs6z/t782tc9s","","",""
"uclasc_bioms111_b01_008.tif","Page","Page 5","8","ark:/21198/n1fs6z","ark:/21198/n1fs6z/sp936f14","","",""
"uclasc_bioms111_b01_009.tif","Page","Page 6","9","ark:/21198/n1fs6z","ark:/21198/n1fs6z/sm13n143","","",""
"uclasc_bioms111_b01_010.tif","Page","Page 7","10","ark:/21198/n1fs6z","ark:/21198/n1fs6z/cp48h463","","",""
"uclasc_bioms111_b01_011.tif","Page","Page 8","11","ark:/21198/n1fs6z","ark:/21198/n1fs6z/nr369p11","","",""
"uclasc_bioms111_b01_012.tif","Page","Page 9","12","ark:/21198/n1fs6z","ark:/21198/n1fs6z/rr78jz2d","","",""
"uclasc_bioms111_b01_013.tif","Page","Page 10","13","ark:/21198/n1fs6z","ark:/21198/n1fs6z/dx14801w","","",""
"uclasc_bioms111_b01_014.tif","Page","Page 11","14","ark:/21198/n1fs6z","ark:/21198/n1fs6z/zb31w08j","","",""
"uclasc_bioms111_b01_015.tif","Page","Page 12","15","ark:/21198/n1fs6z","ark:/21198/n1fs6z/zq12hq98","","",""
"uclasc_bioms111_b01_016.tif","Page","Page 13","16","ark:/21198/n1fs6z","ark:/21198/n1fs6z/5c072v0v","","",""
"uclasc_bioms111_b01_017.tif","Page","Page 14","17","ark:/21198/n1fs6z","ark:/21198/n1fs6z/rf63pv27","","",""
"uclasc_bioms111_b01_018.tif","Page","Page 15","18","ark:/21198/n1fs6z","ark:/21198/n1fs6z/z361dk5q","","",""
"uclasc_bioms111_b01_019.tif","Page","Page 16","19","ark:/21198/n1fs6z","ark:/21198/n1fs6z/k366wj5c","","",""
"uclasc_bioms111_b01_020.tif","Page","Page 17","20","ark:/21198/n1fs6z","ark:/21198/n1fs6z/m8574s4q","","",""
"uclasc_bioms111_b01_021.tif","Page","Page 18","21","ark:/21198/n1fs6z","ark:/21198/n1fs6z/kw38b18z","","",""
"uclasc_bioms111_b01_022.tif","Page","Page 19","22","ark:/21198/n1fs6z","ark:/21198/n1fs6z/b6006w3s","","",""
"uclasc_bioms111_b01_023.tif","Page","Page 20","23","ark:/21198/n1fs6z","ark:/21198/n1fs6z/s771nv2w","","",""
"uclasc_bioms111_b01_024.tif","Page","Page 21","24","ark:/21198/n1fs6z","ark:/21198/n1fs6z/wc64p29k","","",""
"uclasc_bioms111_b01_025.tif","Page","Page 22","25","ark:/21198/n1fs6z","ark:/21198/n1fs6z/ck25d84d","","",""
"uclasc_bioms111_b01_026.tif","Page","Page 23","26","ark:/21198/n1fs6z","ark:/21198/n1fs6z/bd72978m","","",""
"uclasc_bioms111_b01_027.tif","Page","Page 24","27","ark:/21198/n1fs6z","ark:/21198/n1fs6z/pv76649b","","",""
"uclasc_bioms111_b01_028.tif","Page","Page 25","28","ark:/21198/n1fs6z","ark:/21198/n1fs6z/sm345887","","",""
"uclasc_bioms111_b01_029.tif","Page","Page 26","29","ark:/21198/n1fs6z","ark:/21198/n1fs6z/6322kf8x","","",""
"uclasc_bioms111_b01_030.tif","Page","Page 27","30","ark:/21198/n1fs6z","ark:/21198/n1fs6z/wk08jp29","","",""
"uclasc_bioms111_b01_031.tif","Page","Page 28","31","ark:/21198/n1fs6z","ark:/21198/n1fs6z/s443cg78","","",""
"uclasc_bioms111_b01_032.tif","Page","Page 29","32","ark:/21198/n1fs6z","ark:/21198/n1fs6z/9061d66n","","",""
"uclasc_bioms111_b01_033.tif","Page","Page 30","33","ark:/21198/n1fs6z","ark:/21198/n1fs6z/bj85m03b","","",""
"uclasc_bioms111_b01_034.tif","Page","Page 31","34","ark:/21198/n1fs6z","ark:/21198/n1fs6z/sm99jb61","","",""
"uclasc_bioms111_b01_035.tif","Page","Page 32","35","ark:/21198/n1fs6z","ark:/21198/n1fs6z/zf11hg76","","",""
"uclasc_bioms111_b01_036.tif","Page","Page 33","36","ark:/21198/n1fs6z","ark:/21198/n1fs6z/sc574f15","","",""
"uclasc_bioms111_b01_037.tif","Page","Page 34","37","ark:/21198/n1fs6z","ark:/21198/n1fs6z/h882m226","","",""
"uclasc_bioms111_b01_038.tif","Page","Page 35","38","ark:/21198/n1fs6z","ark:/21198/n1fs6z/jm63x35t","","",""
"uclasc_bioms111_b01_039.tif","Page","Page 36","39","ark:/21198/n1fs6z","ark:/21198/n1fs6z/pw77w43t","","",""
"uclasc_bioms111_b01_040.tif","Page","Page 37","40","ark:/21198/n1fs6z","ark:/21198/n1fs6z/p2610p18","","",""
"uclasc_bioms111_b01_041.tif","Page","Page 38","41","ark:/21198/n1fs6z","ark:/21198/n1fs6z/md08cv5d","","",""
"uclasc_bioms111_b01_042.tif","Page","Page 39","42","ark:/21198/n1fs6z","ark:/21198/n1fs6z/g614hp1z","","",""
"uclasc_bioms111_b01_043.tif","Page","Page 40","43","ark:/21198/n1fs6z","ark:/21198/n1fs6z/r9598n03","","",""
"uclasc_bioms111_b01_044.tif","Page","Page 41","44","ark:/21198/n1fs6z","ark:/21198/n1fs6z/k545md98","","",""
"uclasc_bioms111_b01_045.tif","Page","Page 42","45","ark:/21198/n1fs6z","ark:/21198/n1fs6z/x5593c59","","",""
"uclasc_bioms111_b01_046.tif","Page","Page 43","46","ark:/21198/n1fs6z","ark:/21198/n1fs6z/c9031r31","","",""
"uclasc_bioms111_b01_047.tif","Page","Page 44","47","ark:/21198/n1fs6z","ark:/21198/n1fs6z/zj87847s","","",""
"uclasc_bioms111_b01_048.tif","Page","Page 45","48","ark:/21198/n1fs6z","ark:/21198/n1fs6z/6300vb66","","",""
"uclasc_bioms111_b01_049.tif","Page","Page 46","49","ark:/21198/n1fs6z","ark:/21198/n1fs6z/0884z11z","","",""
"uclasc_bioms111_b01_050.tif","Page","Page 47","50","ark:/21198/n1fs6z","ark:/21198/n1fs6z/t8850w1h","","",""
"uclasc_bioms111_b01_051.tif","Page","Page 48","51","ark:/21198/n1fs6z","ark:/21198/n1fs6z/bf04cv88","","",""
"uclasc_bioms111_b01_052.tif","Page","Page 49","52","ark:/21198/n1fs6z","ark:/21198/n1fs6z/px593d13","","",""
"uclasc_bioms111_b01_053.tif","Page","Page 50","53","ark:/21198/n1fs6z","ark:/21198/n1fs6z/kg43jz48","","",""
"uclasc_bioms111_b01_054.tif","Page","Page 51","54","ark:/21198/n1fs6z","ark:/21198/n1fs6z/vs11sh9q","","",""
"uclasc_bioms111_b01_055.tif","Page","Page 52","55","ark:/21198/n1fs6z","ark:/21198/n1fs6z/8366cz20","","",""
"uclasc_bioms111_b01_056.tif","Page","Page 53","56","ark:/21198/n1fs6z","ark:/21198/n1fs6z/k180cx3t","","",""
"uclasc_bioms111_b01_057.tif","Page","Page 54","57","ark:/21198/n1fs6z","ark:/21198/n1fs6z/1p96s798","","",""
"uclasc_bioms111_b01_058.tif","Page","Page 55","58","ark:/21198/n1fs6z","ark:/21198/n1fs6z/4827xc6b","","",""
"uclasc_bioms111_b01_059.tif","Page","Page 56","59","ark:/21198/n1fs6z","ark:/21198/n1fs6z/bb78jf46","","",""
"uclasc_bioms111_b01_060.tif","Page","Page 57","60","ark:/21198/n1fs6z","ark:/21198/n1fs6z/q4850297","","",""
"uclasc_bioms111_b01_061.tif","Page","Page 58","61","ark:/21198/n1fs6z","ark:/21198/n1fs6z/0w01hz7n","","",""
"uclasc_bioms111_b01_062.tif","Page","Page 59","62","ark:/21198/n1fs6z","ark:/21198/n1fs6z/cf43qc6f","","",""
"uclasc_bioms111_b01_063.tif","Page","Page 60","63","ark:/21198/n1fs6z","ark:/21198/n1fs6z/03442k8d","","",""
"uclasc_bioms111_b01_064.tif","Page","Page 61","64","ark:/21198/n1fs6z","ark:/21198/n1fs6z/82332q47","","",""
"uclasc_bioms111_b01_065.tif","Page","Page 62","65","ark:/21198/n1fs6z","ark:/21198/n1fs6z/6s74gx9v","","",""
"uclasc_bioms111_b01_066.tif","Page","Page 63","66","ark:/21198/n1fs6z","ark:/21198/n1fs6z/53430h7j","","",""
"uclasc_bioms111_b01_067.tif","Page","Page 64","67","ark:/21198/n1fs6z","ark:/21198/n1fs6z/2t111b7p","","",""
"uclasc_bioms111_b01_068.tif","Page","Page 65","68","ark:/21198/n1fs6z","ark:/21198/n1fs6z/xd33c76r","","",""
"uclasc_bioms111_b01_069.tif","Page","Page 66","69","ark:/21198/n1fs6z","ark:/21198/n1fs6z/h2389r6q","","",""
"uclasc_bioms111_b01_070.tif","Page","Page 67","70","ark:/21198/n1fs6z","ark:/21198/n1fs6z/1m53q91w","","",""
"uclasc_bioms111_b01_071.tif","Page","Page 68","71","ark:/21198/n1fs6z","ark:/21198/n1fs6z/zg16dq9g","","",""
"uclasc_bioms111_b01_072.tif","Page","Page 69","72","ark:/21198/n1fs6z","ark:/21198/n1fs6z/5771kf0x","","",""
"uclasc_bioms111_b01_073.tif","Page","Page 70","73","ark:/21198/n1fs6z","ark:/21198/n1fs6z/5h76tw04","","",""
"uclasc_bioms111_b01_074.tif","Page","Page 71","74","ark:/21198/n1fs6z","ark:/21198/n1fs6z/5z324c1s","","",""
"uclasc_bioms111_b01_075.tif","Page","Page 72","75","ark:/21198/n1fs6z","ark:/21198/n1fs6z/qt623n4b","","",""
"uclasc_bioms111_b01_076.tif","Page","Page 73","76","ark:/21198/n1fs6z","ark:/21198/n1fs6z/rs75m44d","","",""
"uclasc_bioms111_b01_077.tif","Page","Page 74","77","ark:/21198/n1fs6z","ark:/21198/n1fs6z/2168r546","","",""
"uclasc_bioms111_b01_078.tif","Page","Page 75","78","ark:/21198/n1fs6z","ark:/21198/n1fs6z/pp03hg2f","","",""
"uclasc_bioms111_b01_079.tif","Page","Page 76","79","ark:/21198/n1fs6z","ark:/21198/n1fs6z/rk11hv6b","","",""
"uclasc_bioms111_b01_080.tif","Page","Page 77","80","ark:/21198/n1fs6z","ark:/21198/n1fs6z/v036466f","","",""
"uclasc_bioms111_b01_081.tif","Page","Page 78","81","ark:/21198/n1fs6z","ark:/21198/n1fs6z/s2520h8t","","",""
"uclasc_bioms111_b01_082.tif","Page","Page 79","82","ark:/21198/n1fs6z","ark:/21198/n1fs6z/0n61bp9j","","",""
"uclasc_bioms111_b01_083.tif","Page","Page 80","83","ark:/21198/n1fs6z","ark:/21198/n1fs6z/qf80r406","","",""
"uclasc_bioms111_b01_084.tif","Page","Page 81","84","ark:/21198/n1fs6z","ark:/21198/n1fs6z/3d27mk6j","","",""
"uclasc_bioms111_b01_085.tif","Page","Page 82","85","ark:/21198/n1fs6z","ark:/21198/n1fs6z/jd37s12p","","",""
"uclasc_bioms111_b01_086.tif","Page","Inside back cover","86","ark:/21198/n1fs6z","ark:/21198/n1fs6z/gb57s09n","","",""
"uclasc_bioms111_b01_087.tif","Page","Back cover","87","ark:/21198/n1fs6z","ark:/21198/n1fs6z/p1254b24","","",""
