"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Rights.copyrightStatus","Type.typeOfResource","IIIF Manifest URL"
"uclalsc_bioms111_b03_001.tif","Page","Front cover","1","ark:/21198/n16c9s","ark:/21198/n16c9s/cg53nj39","","",""
"uclalsc_bioms111_b03_002.tif","Page","Inside front cover","2","ark:/21198/n16c9s","ark:/21198/n16c9s/wn22763z","","",""
"uclalsc_bioms111_b03_003.tif","Page","Flyleaf","3","ark:/21198/n16c9s","ark:/21198/n16c9s/wr713s2h","","",""
"uclalsc_bioms111_b03_004.tif","Page","Page 1","4","ark:/21198/n16c9s","ark:/21198/n16c9s/hm51kp60","","",""
"uclalsc_bioms111_b03_005.tif","Page","Page 2","5","ark:/21198/n16c9s","ark:/21198/n16c9s/dh56gv9k","","",""
"uclalsc_bioms111_b03_006.tif","Page","Page 3","6","ark:/21198/n16c9s","ark:/21198/n16c9s/j979027j","","",""
"uclalsc_bioms111_b03_007.tif","Page","Page 4","7","ark:/21198/n16c9s","ark:/21198/n16c9s/rm34139t","","",""
"uclalsc_bioms111_b03_008.tif","Page","Page 5","8","ark:/21198/n16c9s","ark:/21198/n16c9s/rh267p60","","",""
"uclalsc_bioms111_b03_009.tif","Page","Page 6","9","ark:/21198/n16c9s","ark:/21198/n16c9s/3r37qp4v","","",""
"uclalsc_bioms111_b03_010.tif","Page","Page 7","10","ark:/21198/n16c9s","ark:/21198/n16c9s/4063z175","","",""
"uclalsc_bioms111_b03_011.tif","Page","Page 8","11","ark:/21198/n16c9s","ark:/21198/n16c9s/p337ns3n","","",""
"uclalsc_bioms111_b03_012.tif","Page","Page 9","12","ark:/21198/n16c9s","ark:/21198/n16c9s/8z40xv82","","",""
"uclalsc_bioms111_b03_013.tif","Page","Page 10","13","ark:/21198/n16c9s","ark:/21198/n16c9s/b1796d49","","",""
"uclalsc_bioms111_b03_014.tif","Page","Page 11","14","ark:/21198/n16c9s","ark:/21198/n16c9s/wg85dp23","","",""
