"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Alternate Identifier.local","Title","Description.tableOfContents","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Subject","Type.genre","Name.repository","Author","Name.translator","Name.commentator","Name.scribe","Name.compiler","Language","Language.script","Name.calligrapher","Relation.rectoVerso","Source","Date.creation","Format.dimensions","Alternate Title.other","Description.abstract","Description.microfilm","Description.citation","Alternate Title.scriptArab","Description.physical","Date.normalized","Description.note","Format.extent","Relation","Description.stamp","Relation.citation","Alternate Title.spine","Description.marks","Description.colophon","thumbnailImageName","masterImageName","JSON","Metadata Only","Conceptual Work","IIIF Manifest URL","IIIF Access URL"
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000sq427","ark:/21198/zz000wrmkf","8","Completed","Work","","14","13","Majmūʿah","Title: Sharḥ Dīwān al-Mutanabbī; Pp. 1-75.  A commentary by an unknown author on the poetry of al-Mutanabbī including biographical notes. Mentions the works of al-Jurjānī, al-Maʿarrī, Ibn Jinnī, and Abū ʿAlī ibn Furjah and Burūjirdī. Missing end folios.<br/><br/>Title: Ṭarāʾif al-ṭuraf wa-ẓarāʾif al-nuṭaf; Pp. 77-174.  A collection of various works of Arabic poetry. Compiler unknown. Consists of 12 chapters.","paged","right-to-left","","","pd","Arabic fiction","Manuscripts","University of California, Los Angeles. $b Library Special Collections","","","","","","ara","Naskh","","","Caro Minasian Collection of Persian and Arabic Manuscripts, box 3, 13","n.d.","21.2 x 15 cm.","","","","Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1039 AH), p. 656.","مجموعة","","","Contents: [1] Sharḥ Dīwān al-Mutanabbī -- [2] Ṭarāʾif al-ṭuraf wa-ẓarāʾif al-nuṭaf.  Note: DP has the order of these two reversed.","174 p.","","","","","","","","","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz000sq427"", ""Parent ARK"": ""ark:/21198/zz000wrmkf"", ""Item Status ID"": ""8"", ""Item Status"": ""Record proofed; needs metadata review "", ""Object Type"": ""Work"", ""File Name"": """", ""Item Sequence"": ""14"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": ""paged"", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": ""Arabic fiction"", ""Type.genre"": ""manuscripts (document genre)"", ""Name.repository"": ""University of California, Los Angeles. $b Library Special Collections"", ""Author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": ""Arabic"", ""Language.script"": ""Naskh"", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""13"", ""Title"": ""Majmu016bu02bfah"", ""Relation.rectoVerso"": """", ""Source"": ""Caro Minasian Collection of Persian and Arabic Manuscripts, box 3, 13"", ""Date.creation"": ""n.d."", ""Format.dimensions"": ""21.2 x 15 cm."", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": ""Muu1e25ammad Taqu012b Du0101nish-pazhu016bh, Fihrist-i Nushahhu0101-yi khau1e6du1e6du012b, daftar 11 & 12 (u1e6cihru0101n: Intishu0101ru0101t-i Du0101nishgu0101h-i u1e6cihru0101n, 1039 AH), p. 656."", ""Alternate Title.scriptArab"": ""u0645u062cu0645u0648u0639u0629"", ""Description.physical"": """", ""Relation.textDirection"": ""rtl"", ""Date.normalized"": """", ""Description.note"": ""Contents: [1] Sharhu0323 Du012bwu0101n al-Mutanabbu012b -- [2] Tu0323aru0101u02beif al-tu0323uraf wa-zu0323aru0101u02beif al-nutu0323af.  Note: DP has the order of these two reversed."", ""Format.extent"": ""174 p."", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": """", ""masterImageName"": """"}']","No","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sq427/manifest","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sq799"
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000sqzfh","ark:/21198/zz000wrmkf","8","Completed","Work","","24","23","Majmūʿah","Title: Chand muʿammā; Pp. 4-6.  Three pages of various verses of poetry. Seems to be in the same hand as the following manuscript, Makhzan-i javāhir. Includes verses by ʿAṭāʾī, Mīr Ḥaydar, Faṣīḥ, Mīrzā Jān, Jamshīd, Nizām-i Āstarābādī, and Kamāl Ṭabīb. Compiler is unknown.<br/><br/>Title: Makhzan-i jawāhir;  Pp. 7-17.  Riddles.<br/><br/>Title: Muʿammā-yi Mullā Shihāb Ḥaqīrī; Pp. 29-39.  Author is unknown.<br/><br/>Title: Muʿammiyāt-i Mīr Ḥaydar Rafīʿī; Pp. 43-72.  Author is unknown.<br/><br/>Title: Muʿammiyāt-i Jāmī va dīgarān; Pp. 75-86.  Riddles.<br/><br/>Title: Sharḥ al-Fuṣūṣ li-Ibn al-ʿArabī;  Pp. 90-211.  A commentary on Ibn ʿArabī's mystical work. The beginning and end folios are missing and there are three pages inserted between Makhzan-i Javāhir and Muʿammā-yi Mullā Shihāb Ḥaqīrī (pp. 20-27). Includes notes in the margins. Author is unknown.","paged","right-to-left","","","pd","","Manuscripts","University of California, Los Angeles. $b Library Special Collections","","","","","","","","","","Caro Minasian Collection of Persian and Arabic Manuscripts, box 3, 23","n.d.","19 x 13.5 cm.","","Written in Varāmīn.","","Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1039 AH), p. 656.","مجموعة","","","","210 p.","","","","","","","","","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz000sqzfh"", ""Parent ARK"": ""ark:/21198/zz000wrmkf"", ""Item Status ID"": ""8"", ""Item Status"": ""Record proofed; needs metadata review "", ""Object Type"": ""Work"", ""File Name"": """", ""Item Sequence"": ""24"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": ""paged"", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": ""manuscripts (document genre)"", ""Name.repository"": ""University of California, Los Angeles. $b Library Special Collections"", ""Author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""23"", ""Title"": ""Majmu016bu02bfah"", ""Relation.rectoVerso"": """", ""Source"": ""Caro Minasian Collection of Persian and Arabic Manuscripts, box 3, 23"", ""Date.creation"": ""n.d."", ""Format.dimensions"": ""19 x 13.5 cm."", ""Alternate Title.other"": """", ""Description.abstract"": ""Written in Varu0101mu012bn."", ""Description.microfilm"": """", ""Description.citation"": ""Muu1e25ammad Taqu012b Du0101nish-pazhu016bh, Fihrist-i Nushahhu0101-yi khau1e6du1e6du012b, daftar 11 & 12 (u1e6cihru0101n: Intishu0101ru0101t-i Du0101nishgu0101h-i u1e6cihru0101n, 1039 AH), p. 656."", ""Alternate Title.scriptArab"": ""u0645u062cu0645u0648u0639u0629"", ""Description.physical"": """", ""Relation.textDirection"": ""rtl"", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": ""210 p."", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": """", ""masterImageName"": """"}']","No","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sqzfh/manifest","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00144htt"
