"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Type.genre","Name.subject","Name.creator","Rights.rightsHolderContact","Name.correspondent","Relation.isPartOf","Subject","Name.repository","Language","Alt ID.local","Title","Format.dimensions","Date.normalized","Description.note","Format.extent","Date.creation","Description.contents","Description.abstract","Opac url","Finding Aid URL","AltTitle.other","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"McWilliams (Carey) Papers.  Collection 1319","ark:/21198/zz000937r5","ark:/21198/zz000937g1","2","Completed","Page","mcwilliams/masters/21198-zz000937r5-1-master.tif","1","","","","","","","still image","","","","","","","","","","","clus_1319_b23_f12_rechy_19670108p1","page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000937r5",""
"McWilliams (Carey) Papers.  Collection 1319","ark:/21198/zz000937sp","ark:/21198/zz000937g1","2","Completed","Page","mcwilliams/masters/21198-zz000937sp-1-master.tif","2","","","","","","","still image","","","","","","","","","","","clus_1319_b23_f12_rechy_19670108p2","page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000937sp",""
