"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.servicesContact","Name.subject","Subject","Relation.isPartOf","Name.repository","Name.creator","Alt ID.local","Format.dimensions","Format.extent","Title","Date.normalized","Date.creation","Description.abstract","Finding Aid URL","AltTitle.other","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Higgins (Colin) Papers.  Collection 1560","ark:/21198/zz00093zfn","ark:/21198/zz00093zd4","2","Completed","Page","higgins/masters/21198-zz00093zfn-1-master.tif","1","","","","","","","still image","Black-and-white photographs|~|Film stills","","Hawn, Goldie|~|Higgins, Colin","","","","","clus_1560_b120_f2_pp16","20 x 24 cm. (8 x 9.5 in.)","1 photographic print","""Foul Play"" : Goldie Hawn and Colin Higgins","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093zfn",""
"Higgins (Colin) Papers.  Collection 1560","ark:/21198/zz00093zg5","ark:/21198/zz00093zd4","2","Completed","Page","higgins/masters/21198-zz00093zg5-1-master.tif","2","","","","","","","still image","Black-and-white photographs|~|Film stills","","Higgins, Colin","","","","","clus_1560_b120_f2_pp29","20 x 24 cm. (8 x 9.5 in.)","1 photographic print","""Foul Play"" : Colin Higgins and crew : library scene","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093zg5",""
"Higgins (Colin) Papers.  Collection 1560","ark:/21198/zz00093zhp","ark:/21198/zz00093zd4","2","Completed","Page","higgins/masters/21198-zz00093zhp-1-master.tif","3","","","","","","","still image","Black-and-white photographs|~|Film stills","","Hawn, Goldie","","","","","clus_1560_b120_f2_pp37","20 x 24 cm. (8 x 9.5 in.)","1 photographic print","""Foul Play"" : Goldie Hawn on fire escape in the rain","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093zhp",""
"Higgins (Colin) Papers.  Collection 1560","ark:/21198/zz00093zj6","ark:/21198/zz00093zd4","2","Completed","Page","higgins/masters/21198-zz00093zj6-1-master.tif","4","","","","","","","still image","Black-and-white photographs|~|Film stills","","Hawn, Goldie","","","","","clus_1560_b120_f2_pp41","20 x 24 cm. (8 x 9.5 in.)","1 photographic print","""Foul Play"" : Goldie Hawn with scene/take board","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093zj6",""
"Higgins (Colin) Papers.  Collection 1560","ark:/21198/zz00093zkq","ark:/21198/zz00093zd4","2","Completed","Page","higgins/masters/21198-zz00093zkq-1-master.tif","5","","","","","","","still image","Black-and-white photographs|~|Film stills","","Chase, Chevy|~|Higgins, Colin","","","","","clus_1560_b120_f2_pp47","20 x 24 cm. (8 x 9.5 in.)","1 photographic print","""Foul Play"" : Chevy Chase, Colin Higgins and crew","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093zkq",""
"Higgins (Colin) Papers.  Collection 1560","ark:/21198/zz00093zm7","ark:/21198/zz00093zd4","2","Completed","Page","higgins/masters/21198-zz00093zm7-1-master.tif","6","","","","","","","still image","Black-and-white photographs|~|Film stills","","Chase, Chevy|~|Hawn, Goldie|~|Higgins, Colin","","","","","clus_1560_b120_f2_pp48","20 x 24 cm. (8 x 9.5 in.)","1 photographic print","""Foul Play"" : Chevy Chase, Goldie Hawn and Colin Higgins : Tony's living room scene","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093zm7",""
"Higgins (Colin) Papers.  Collection 1560","ark:/21198/zz00093znr","ark:/21198/zz00093zd4","2","Completed","Page","higgins/masters/21198-zz00093znr-1-master.tif","7","","","","","","","still image","Black-and-white photographs|~|Film stills","","Chase, Chevy|~|Hawn, Goldie|~|Higgins, Colin","","","","","clus_1560_b120_f2_pp52","20 x 24 cm. (8 x 9.5 in.)","1 photographic print","""Foul Play"" : Chevy Chase, Goldie Hawn and Colin Higgins : Tony's bedroom scene","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093znr",""
"Higgins (Colin) Papers.  Collection 1560","ark:/21198/zz00093zp8","ark:/21198/zz00093zd4","2","Completed","Page","higgins/masters/21198-zz00093zp8-1-master.tif","8","","","","","","","still image","Black-and-white photographs|~|Film stills","","Moore, Dudley|~|Hawn, Goldie|~|Higgins, Colin","","","","","clus_1560_b120_f2_pp60","20 x 24 cm. (8 x 9.5 in.)","1 photographic print","""Foul Play"" : Dudley Moore, Goldie Hawn and Colin Higgins :  Stanley's massage scene","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093zp8",""
"Higgins (Colin) Papers.  Collection 1560","ark:/21198/zz00093zqs","ark:/21198/zz00093zd4","2","Completed","Page","higgins/masters/21198-zz00093zqs-1-master.tif","9","","","","","","","still image","Black-and-white photographs|~|Film stills","","Chase, Chevy|~|Higgins, Colin","","","","","clus_1560_b120_f2_pp78","20 x 24 cm. (8 x 9.5 in.)","1 photographic print","""Foul Play"" : Chevy Chase and Colin Higgins behind camera","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093zqs",""
