Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.subject,Coverage.geographic,Name.creator,Subject,Rights.publicationNote,Language,Type.genre,Author,Name.contributor,Name.correspondent,Name.repository,Rights.permissionNote,Name.photographer,Title,Date.creation,Date.publication,Description.note,Date.normalized,Description.caption,Description.abstract,IIIF Manifest URL
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00177jdp,ark:/21198/zz000s2z4b,2,Completed,Work,,1,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177jf6,individuals,,,,text,copyrighted,unpublished,Y,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Campaign Strategy and Fact Sheets - Snuff Campaign (WAVAW)|~|Boycotts--California--Los Angeles|~|Violence in mass media|~|Snuff films--California--Los Angeles|~|Pornography in popular culture--Social aspects--United States,,eng,,,,,,,,Comments and Miscellaneous Strategies,"March, 1976",,,1976-03,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00177jdp/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00177jh7,ark:/21198/zz000s2z4b,2,Completed,Work,,2,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177jjr,individuals,,,,text,copyrighted,unpublished,Y,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Campaign Strategy and Fact Sheets - Snuff Campaign (WAVAW)|~|Boycotts--California--Los Angeles|~|Violence in mass media|~|Snuff films--California--Los Angeles|~|Pornography in popular culture--Social aspects--United States,,eng,,,,,,,,"Fact Sheet on ""Snuff""","March 12, 1976",,,1976-03-12,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00177jh7/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00177jrv,ark:/21198/zz000s2z4b,2,Completed,Work,,3,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177jsc,individuals,,,,text,copyrighted,unpublished,Y,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Campaign Strategy and Fact Sheets - Snuff Campaign (WAVAW)|~|Boycotts--California--Los Angeles|~|Violence in mass media|~|Snuff films--California--Los Angeles|~|Pornography in popular culture--Social aspects--United States,,eng,,,,,,,,Information for Demonstrators,"March, 1976",,,1976-03,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00177jrv/manifest
