File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Text direction,Parent ARK,Item ARK,Object Type,Rights.statementLocal
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_044.tif,44,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_045.tif,45,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_046.tif,46,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_047.tif,47,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_048.tif,48,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_049.tif,49,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_050.tif,50,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_051.tif,51,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_052.tif,52,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_053.tif,53,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_054.tif,54,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_055.tif,55,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_056.tif,56,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_057.tif,57,,,,,,,,Page,
Masters/othermasters/dl_wahon/uclaeal_wahon_B04_bib1240880/uclaeal_wahon_B04_bib1240880_058.tif,58,,,,,,,,Page,
