"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Language","Rights","Type.typeOfResource","Subject","Name.composer","Alt ID.local","Title","AltTitle.other","Description.note","Date.creation","Format.extent","Alt ID.oclc","Date.normalized","Format.medium","Description.contents","Format.dimensions","Description.binding","Opac url","Relation.isPartOf","IIIF Manifest URL"
"Music Library Manuscripts","ark:/21198/zz002jkc6r","ark:/21198/zz002hc8b8","1","In progress","Work","","","","","","paged","","private","","","","","","","","","Ms. 52/13/1a","","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jkc6r/manifest"
"Music Library Manuscripts","ark:/21198/zz002jkc78","ark:/21198/zz002hc8b8","1","In progress","Work","","","","","","paged","","private","","","","","","","","","Ms. 52/3/3","","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jkc78/manifest"
"Music Library Manuscripts","ark:/21198/zz002jkc99","ark:/21198/zz002hc8b8","1","In progress","Work","","","","","","paged","","private","","","","","","","","","Ms. 51/22","","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jkc99/manifest"
"Music Library Manuscripts","ark:/21198/zz002jkcbt","ark:/21198/zz002hc8b8","1","In progress","Work","","","","","","paged","","private","","","","","","","","","Ms. 52/3/2","","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jkcbt/manifest"
"Music Library Manuscripts","ark:/21198/zz002jkccb","ark:/21198/zz002hc8b8","1","In progress","Work","","","","","","paged","","private","","","","","","","","","Ms. 18","","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jkccb/manifest"
"Music Library Manuscripts","ark:/21198/zz002jkcdv","ark:/21198/zz002hc8b8","1","In progress","Work","","","","","","paged","","private","","","","","","","","","Ms. 13","","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jkcdv/manifest"
"Music Library Manuscripts","ark:/21198/zz002jkcfc","ark:/21198/zz002hc8b8","1","In progress","Work","","","","","","paged","","private","","","","","","","","","Ms. 19/3","","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jkcfc/manifest"
"Music Library Manuscripts","ark:/21198/zz002jkcgw","ark:/21198/zz002hc8b8","1","In progress","Work","","","","","","paged","","private","","","","","","","","","Ms. 9","","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jkcgw/manifest"
"Music Library Manuscripts","ark:/21198/zz002jkchd","ark:/21198/zz002hc8b8","1","In progress","Work","","","","","","paged","","private","","","","","","","","","Ms. 25","","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jkchd/manifest"
"Music Library Manuscripts","ark:/21198/zz002jkcjx","ark:/21198/zz002hc8b8","1","In progress","Work","","","","","","paged","","private","","","","","","","","","Ms. 20","","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jkcjx/manifest"
"Music Library Manuscripts","ark:/21198/zz002jkckf","ark:/21198/zz002hc8b8","1","In progress","Work","","","","","","paged","","private","","","","","","","","","Ms. 52/21","","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jkckf/manifest"
"Music Library Manuscripts","ark:/21198/zz002jkcmz","ark:/21198/zz002hc8b8","1","In progress","Work","","","","","","paged","","private","","","","","","","","","Ms. 19/4","","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jkcmz/manifest"
"Music Library Manuscripts","ark:/21198/zz002jkcng","ark:/21198/zz002hc8b8","2","Completed","Work","","","","","","paged","","private","","","fre","","notated music","Choruses, Sacred, Unaccompanied--Scores","","Ms. 52/11","Ms. 52/11. Manuel en musique","Manuel en musique","Sacred French songs, 2-4 parts.|~|Includes index.|~|Format of music: Full score.|~|Staff notation|~|Edition statement: 2e edition, revue en corrigée. Partition","[between 1800 and 1899?]","1 score (102 pages","867183645","1800/1899","manuscript","","31 cm","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jkcng/manifest"
"Music Library Manuscripts","ark:/21198/zz002k8v0s","ark:/21198/zz002hc8b8","1","In progress","Work","","","","","","paged","","private","","","","","","","","","Ms. 19/2, Violin 2","","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k8v0s/manifest"
"Music Library Manuscripts","ark:/21198/zz002k93gv","ark:/21198/zz002hc8b8","2","Completed","Work","","","","","","paged","","private","","","zxx","","notated music","Piano music|~|Polkas|~|Waltzes|~|Piano music (4 hands)|~|Variations (Violin and piano)--Scores|~|Galops","","Ms. 101","Ms. 101. Manuscript piano music","Manuscript piano music","Devised title.|~|Includes several published pieces bound with manuscript.|~|Staff notation","[between 1800 and 1899?]","1 score (various pagings)","850989029","1800/1899","manuscript","Contents of legible portions of manuscript: [Illegible] Glocken / S. Zeine -- [Illegible] Polka / Carl [illegible] -- Die [illegible] Glocken / W. Lega -- [Illegible] / Emil Neumann -- [Illegible] / W. Speier -- Le papillon / [Illegible] Daase -- Fleurs de Mai / Sidney Smith -- Fr. Schubert's Erlkönig / übertragen von Const. Decker -- Gute Nacht, du mein herziges Kind / F. Abt -- Walzer / Lanner -- Abschied von der Himmel / Threde -- Royal-Fanfare : Galop : [for piano four hands] : op. 408 / François Behr -- [Illegible] / Brahms.|~|Contents of published pieces: Rosenbläter Walzer : op. 9 / von Jos. Strebinger (Plate number L. M. 407. 10 pages) -- Alexandrinen polka / A. Friese (Rostock : Carl Hagemann & C. Topp. 3 pages) -- Variationen über das Thema von Himmel, Es kann ja nicht immer so bleiben : für Piano-Forte und Violine : Werk 17 / von Wilms (Berlin : Conche et Comp. Plate number 584.13 pages).","27 x 35 cm","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k93gv/manifest"
