"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Author","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Type.genre","Language","Rights.publicationStatus","Subject","Relation.isPartOf","Name.subject","Name.illustrator","Name.creator","Name.photographer","Coverage.geographic","Name.repository","Name.engraver","Name.printer","Title","Description.note","Alt ID.local","Date.normalized","Date.creation","AltTitle.other","Description.caption","Format.dimensions","Format.extent","Description.contents","Publisher.placeOfOrigin","Alt ID.oclc","Publisher.publisherName","Description.caption","AltTitle.translated","Opac url","AltTitle.uniform","Description.tableOfContents","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Rare Books (YRL Special Collections)","ark:/21198/zz0009b90w","ark:/21198/zz0009b7tb","2","Completed","Page","rarebook/masters/srgb/21198-zz0009b90w-1-master.tif","1","","","","","","","private","","still image","","Covers (Illustration)","eng","","Detective and mystery stories, American--Periodicals","","","","","","","","","","Black Mask 1920 May [cover]","","PS648 _D4B53_1920_05","1920-05","1920 May","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009b90w",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009b91d","ark:/21198/zz0009b7tb","2","Completed","Page","rarebook/masters/srgb/21198-zz0009b91d-1-master.tif","2","","","","Hammett, Dashiell, 1894-1961|~|Gardner, Erle Stanley, 1889-1970","","","private","","still image","","Covers (Illustration)","eng","","Detective and mystery stories, American--Periodicals","","","","","","","","","","Black Mask 1927 Nov. [cover]","","PS648 _D4B53_1927_11","1927-11","1927-11","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009b91d",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009b92x","ark:/21198/zz0009b7tb","2","Completed","Page","rarebook/masters/srgb/21198-zz0009b92x-1-master.tif","3","","","","Shaw, Victor","","","private","","still image","","Covers (Illustration)","eng","","Detective and mystery stories, American--Periodicals","","","","","","","","","","Black Mask 1927 Dec. [cover]","","PS648 _D4B53_1927_12","1927-12","1927-12","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009b92x",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009b93f","ark:/21198/zz0009b7tb","2","Completed","Page","rarebook/masters/srgb/21198-zz0009b93f-1-master.tif","4","","","","Hammett, Dashiell, 1894-1961","","","private","","still image","","Covers (Illustration)","eng","","Detective and mystery stories, American--Periodicals","","","","","","","","","","Black Mask 1930 Mar. [cover]","","PS648 _D4B53_1930-03","1930-03","1930 March","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009b93f",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009b94z","ark:/21198/zz0009b7tb","2","Completed","Page","rarebook/masters/srgb/21198-zz0009b94z-1-master.tif","5","","","","Burtis, Thomson, b. 1896|~|Whitfield, Raoul|~|Gardner, Erle Stanley, 1889-1970|~|Nebel, Frederick","","","private","","still image","","Covers (Illustration)","eng","","Detective and mystery stories, American--Periodicals","","","","","","","","","","Black Mask 1931 Oct. [cover]","","PS648 _D4B53_1931_10","1931-10","1931 October","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009b94z",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009b95g","ark:/21198/zz0009b7tb","2","Completed","Page","rarebook/masters/srgb/21198-zz0009b95g-1-master.tif","6","","","","Chandler, Raymond, 1888-1959","","","private","","still image","","Covers (Illustration)","eng","","Detective and mystery stories, American--Periodicals","","","","","","","","","","Black Mask 1934 Oct. [cover]","","PS648 _D4B53_1934_10","1934-10","1934 October","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009b95g",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009b960","ark:/21198/zz0009b7tb","2","Completed","Page","rarebook/masters/srgb/21198-zz0009b960-1-master.tif","7","","","","Tinsley, Theodore|~|Jorgensen, Nels Leroy|~|Peacock, H. Randolph|~|Stinson, H. H.|~|Kobler, John|~|Wandrei, Donald, 1908-","","","private","","still image","","Covers (Illustration)","eng","","Detective and mystery stories, American--Periodicals","","","","","","","","","","Black Mask 1938 Sept. [cover]","","PS648_D4B53_1938_09","1938-10","1938 October","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009b960",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009b97h","ark:/21198/zz0009b7tb","2","Completed","Page","rarebook/masters/srgb/21198-zz0009b97h-1-master.tif","8","","","","Torrey, Roger|~|Sterling, Stewart, b. 1895 |~|Coxe, George Harmon, 1901-|~|Fleming-Roberts, G.T.","","","private","","still image","","Covers (Illustration)","eng","","Detective and mystery stories, American--Periodicals","","","","","","","","","","Black Mask 1940 Aug. [cover]","","PS648 .D4B53 1940-08","1940-08","1940 August","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009b97h",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009b981","ark:/21198/zz0009b7tb","2","Completed","Page","rarebook/masters/srgb/21198-zz0009b981-1-master.tif","9","","","","Ballard, Todhunter, 1903-1980|~|Reeves, Robert|~|Clark, Dale|~|Ballard, W.T.|~|Brandon, William, 1914-","","","private","","still image","","Covers (Illustration)","eng","","Detective and mystery stories, American--Periodicals","","","","","","","","","","Black Mask 1940 Sept. [cover]","","PS648_D4B53_1940_08","1940-09","1940 September","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009b981",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009b99j","ark:/21198/zz0009b7tb","2","Completed","Page","rarebook/masters/srgb/21198-zz0009b99j-1-master.tif","10","","","","Clark, Dale|~|Coxe, George Harmon, 1901-|~|Champion, D. L.","","","private","","still image","","Covers (Illustration)","eng","","Detective and mystery stories, American--Periodicals","","","","","","","","","","Black Mask 1943 Feb. [cover]","","PS648_D4B53_1943_02","1943-02","1943 February","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009b99j",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009bf7f","ark:/21198/zz0009b7tb","2","Completed","Page","rarebook/masters/srgb/21198-zz0009bf7f-1-master.tif","11","","","","Constiner, Merle|~|Clark, Dale|~|Long, Julius|~|Champion, D. L.","","","private","","still image","","Covers (Illustration)","eng","","Detective and mystery stories, American--Periodicals","","","","","","","","","","Black Mask 1944 May [cover]","","PS648_D4B53_1944_05","1944-05","1944 May","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009bf7f",""
