"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Author","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Type.genre","Language","Rights.publicationStatus","Subject","Relation.isPartOf","Name.subject","Name.illustrator","Name.creator","Name.photographer","Coverage.geographic","Name.repository","Name.engraver","Name.printer","Title","Description.note","Alt ID.local","Date.normalized","Date.creation","AltTitle.other","Description.caption","Format.dimensions","Format.extent","Description.contents","Publisher.placeOfOrigin","Alt ID.oclc","Publisher.publisherName","Description.caption","AltTitle.translated","Opac url","AltTitle.uniform","Description.tableOfContents","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Rare Books (YRL Special Collections)","ark:/21198/zz0025fg8w","ark:/21198/zz0025fg7c","2","Completed","Page","rarebook/masters/srgb/21198-zz0025fg8w_1687879_master.tif","9","","","","","","","private","","text","","","","","","","","","","","","","","","title page","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025fg8w",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0025fg9d","ark:/21198/zz0025fg7c","2","Completed","Page","rarebook/masters/srgb/21198-zz0025fg9d_1687882_master.tif","28","","","","","","","private","","text","","","","","","","","","","","","","","","page 155","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025fg9d",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0025fgbx","ark:/21198/zz0025fg7c","2","Completed","Page","rarebook/masters/srgb/21198-zz0025fgbx_1687885_master.tif","29","","","","","","","private","","text","","","","","","","","","","","","","","","page 156","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025fgbx",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0025fgdz","ark:/21198/zz0025fg7c","2","Completed","Page","rarebook/masters/srgb/21198-zz0025fgdz_1687891_master.tif","30","","","","","","","private","","text","","","","","","","","","","","","","","","page 165","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025fgdz",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0025fgfg","ark:/21198/zz0025fg7c","2","Completed","Page","rarebook/masters/srgb/21198-zz0025fgfg_1687894_master.tif","31","","","","","","","private","","text","","","","","","","","","","","","","","","page 166","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025fgfg",""
"Rare Books (YRL Special Collections)","ark:/21198/zz002hzdcb","ark:/21198/zz0025fg7c","2","Completed","Page","rarebook/masters/srgb/21198-zz002hzdcb_2295806_master.tif","1","","","","","","","private","","text","","","","","","","","","","","","","","","cover image","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hzdcb",""
"Rare Books (YRL Special Collections)","ark:/21198/zz002hzddv","ark:/21198/zz0025fg7c","10","Completed with minimal metadata","Page","rarebook/masters/srgb/21198-zz002hzddv_2295809_master.tif","2000","","","","","","","private","","text","","","","","","","","","","","","","","","back cover image","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hzddv",""
"Rare Books (YRL Special Collections)","ark:/21198/zz002hzdfc","ark:/21198/zz0025fg7c","2","Completed","Page","rarebook/masters/srgb/21198-zz002hzdfc_2295812_master.tif","2","","","","","","","private","","text","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hzdfc",""
"Rare Books (YRL Special Collections)","ark:/21198/zz002hzdgw","ark:/21198/zz0025fg7c","2","Completed","Page","rarebook/masters/srgb/21198-zz002hzdgw_2295815_master.tif","3","","","","","","","private","","text","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hzdgw",""
"Rare Books (YRL Special Collections)","ark:/21198/zz002hzdhd","ark:/21198/zz0025fg7c","10","Completed with minimal metadata","Page","rarebook/masters/srgb/21198-zz002hzdhd_2295818_master.tif","4","","","","","","","private","","text","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hzdhd",""
"Rare Books (YRL Special Collections)","ark:/21198/zz002hzdjx","ark:/21198/zz0025fg7c","10","Completed with minimal metadata","Page","rarebook/masters/srgb/21198-zz002hzdjx_2295821_master.tif","5","","","","","","","private","","text","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hzdjx",""
"Rare Books (YRL Special Collections)","ark:/21198/zz002hzdkf","ark:/21198/zz0025fg7c","10","Completed with minimal metadata","Page","rarebook/masters/srgb/21198-zz002hzdkf_2295824_master.tif","7","","","","","","","private","","text","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hzdkf",""
"Rare Books (YRL Special Collections)","ark:/21198/zz002hzdmz","ark:/21198/zz0025fg7c","2","Completed","Page","rarebook/masters/srgb/21198-zz002hzdmz_2295827_master.tif","8","","","","","","","private","","text","","","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hzdmz",""
"Rare Books (YRL Special Collections)","ark:/21198/zz002hzdng","ark:/21198/zz0025fg7c","4","Derived","Page","rarebook/masters/srgb/21198-zz002hzdng_2295830_master.tif","1999","true","","","","","","private","","text","","","","","","","","","","","","","","","10 - title page duplicate","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hzdng",""
"Rare Books (YRL Special Collections)","ark:/21198/zz002hzdp0","ark:/21198/zz0025fg7c","10","Completed with minimal metadata","Page","rarebook/masters/srgb/21198-zz002hzdp0_2295833_master.tif","10","","","","","","","private","","text","","","","","","","","","","","","","","","title page verso","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hzdp0",""
"Rare Books (YRL Special Collections)","ark:/21198/zz002hzdqh","ark:/21198/zz0025fg7c","10","Completed with minimal metadata","Page","rarebook/masters/srgb/21198-zz002hzdqh_2295836_master.tif","11","","","","","","","private","","text","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hzdqh",""
"Rare Books (YRL Special Collections)","ark:/21198/zz002hzdr1","ark:/21198/zz0025fg7c","10","Completed with minimal metadata","Page","rarebook/masters/srgb/21198-zz002hzdr1_2295839_master.tif","12","","","","","","","private","","text","","","","","","","","","","","","","","","13","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hzdr1",""
