"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Author","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Type.genre","Language","Rights.publicationStatus","Subject","Relation.isPartOf","Name.subject","Name.illustrator","Name.creator","Name.photographer","Coverage.geographic","Name.repository","Name.engraver","Name.printer","Title","Description.note","Alt ID.local","Date.normalized","Date.creation","AltTitle.other","Description.caption","Format.dimensions","Format.extent","Description.contents","Publisher.placeOfOrigin","Alt ID.oclc","Publisher.publisherName","Description.caption","AltTitle.translated","Opac url","AltTitle.uniform","Description.tableOfContents","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Rare Books (YRL Special Collections)","ark:/21198/zz0025ffs5","ark:/21198/zz0025ffrn","2","Completed","Page","rarebook/masters/srgb/21198-zz0025ffs5_1687825_master.tif","1","","","","","","","private","","text","","","","","","","","","","","","","","","title page","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025ffs5",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0025fftp","ark:/21198/zz0025ffrn","2","Completed","Page","rarebook/masters/srgb/21198-zz0025fftp_1687831_master.tif","2","","","","","","","private","","still image","","","","","","","","","","","","","","","page A4 verso","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025fftp",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0025ffv6","ark:/21198/zz0025ffrn","2","Completed","Page","rarebook/masters/srgb/21198-zz0025ffv6_1687838_master.tif","3","","","","","","","private","","still image","","","","","","","","","","","","","","","page A6 verso","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025ffv6",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0025ffwq","ark:/21198/zz0025ffrn","2","Completed","Page","rarebook/masters/srgb/21198-zz0025ffwq_1687845_master.tif","4","","","","","","","private","","still image","","","","","","","","","","","","","","","page A7 verso","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025ffwq",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0025ffx7","ark:/21198/zz0025ffrn","2","Completed","Page","rarebook/masters/srgb/21198-zz0025ffx7_1687850_master.tif","5","","","","","","","private","","still image","","","","","","","","","","","","","","","page A8 verso","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025ffx7",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0025ffzr","ark:/21198/zz0025ffrn","2","Completed","Page","rarebook/masters/srgb/21198-zz0025ffzr_1687856_master.tif","6","","","","","","","private","","still image","","","","","","","","","","","","","","","page B1 verso","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025ffzr",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0025fg0r","ark:/21198/zz0025ffrn","2","Completed","Page","rarebook/masters/srgb/21198-zz0025fg0r_1687861_master.tif","7","","","","","","","private","","still image","","","","","","","","","","","","","","","page B2 verso","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025fg0r",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0025fg2s","ark:/21198/zz0025ffrn","2","Completed","Page","rarebook/masters/srgb/21198-zz0025fg2s_1687864_master.tif","9","","","","","","","private","","still image","","","","","","","","","","","","","","","page B3 recto","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025fg2s",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0025fg39","ark:/21198/zz0025ffrn","2","Completed","Page","rarebook/masters/srgb/21198-zz0025fg39_1687867_master.tif","10","","","","","","","private","","still image","","","","","","","","","","","","","","","page B4 verso","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025fg39",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0025fg4t","ark:/21198/zz0025ffrn","2","Completed","Page","rarebook/masters/srgb/21198-zz0025fg4t_1687870_master.tif","11","","","","","","","private","","still image","","","","","","","","","","","","","","","page B5 recto","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025fg4t",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0025fg5b","ark:/21198/zz0025ffrn","2","Completed","Page","rarebook/masters/srgb/21198-zz0025fg5b_1687873_master.tif","12","","","","","","","private","","text","","","","","","","","","","","","","","","page 117","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025fg5b",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0025fg6v","ark:/21198/zz0025ffrn","2","Completed","Page","rarebook/masters/srgb/21198-zz0025fg6v_1687876_master.tif","13","","","","","","","private","","text","","","","","","","","","","","","","","","page 120","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025fg6v",""
