"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.rightsHolderContact","Rights.servicesContact","Language","Subject","Relation.isPartOf","Name.landscapeArchitect","Name.subject","Name.creator","Name.repository","Title","Alt ID.local","Format.extent","Format.dimensions","Date.creation","Date.normalized","Description.note","Finding Aid URL","Opac url","AltTitle.other","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Huntsman-Trout (Edward) Papers.  Collection 1186","ark:/21198/zz00093fhf","ark:/21198/zz00093fgx","2","Completed","Page","huntsmantrout/masters/21198-zz00093fhf-1-master.tif","1","","","","","","","still image","","","","","","","","","","","page 140 : entire page [McNaughten Estate, landscape site plan and Helms Estate, Specimen Tree]","clus_1186_b36_f11_pp140","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093fhf",""
"Huntsman-Trout (Edward) Papers.  Collection 1186","ark:/21198/zz00093fjz","ark:/21198/zz00093fgx","2","Completed","Page","huntsmantrout/masters/21198-zz00093fjz-1-master.tif","2","","","","","","","still image","","","","","","","","","","","page 140 [Mr & Mrs. Malcolm McNaughten Estate, landscape site plan]","clus_1186_b36_f11_pp140_1","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093fjz",""
