"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Title","Delete in Title","Thumbnail","Type.genre","Rights.copyrightStatus","Rights.countryCreation","Language","Rights.permission","Name.repository","Relation.isPartOf","Name.creator","Rights.rightsHolderContact","Subject","Date.normalized","Date.creation","AltTitle.other","Alt ID.local","Opac url","Finding Aid URL","Summary","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Roberts (Larry) Collection","ark:/21198/z1vq4p7t","ark:/21198/zz002dmvfx","","","Page","kleinrock/image/pdf_images/21198-zz002dmvfx-1-master_001.tif","1","","","","Page 1","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq4p7t",""
"Roberts (Larry) Collection","ark:/21198/z1qz3xjj","ark:/21198/zz002dmvfx","","","Page","kleinrock/image/pdf_images/21198-zz002dmvfx-1-master_002.tif","2","","","","Page 2","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz3xjj",""
"Roberts (Larry) Collection","ark:/21198/z1m635xv","ark:/21198/zz002dmvfx","","","Page","kleinrock/image/pdf_images/21198-zz002dmvfx-1-master_003.tif","3","","","","Page 3","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m635xv",""
"Roberts (Larry) Collection","ark:/21198/z1gj14kd","ark:/21198/zz002dmvfx","","","Page","kleinrock/image/pdf_images/21198-zz002dmvfx-1-master_004.tif","4","","","","Page 4","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj14kd",""
"Roberts (Larry) Collection","ark:/21198/z1bs0ct7","ark:/21198/zz002dmvfx","","","Page","kleinrock/image/pdf_images/21198-zz002dmvfx-1-master_005.tif","5","","","","Page 5","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs0ct7",""
"Roberts (Larry) Collection","ark:/21198/z1709n1s","ark:/21198/zz002dmvfx","","","Page","kleinrock/image/pdf_images/21198-zz002dmvfx-1-master_006.tif","6","","","","Page 6","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1709n1s",""
"Roberts (Larry) Collection","ark:/21198/z1378w8m","ark:/21198/zz002dmvfx","","","Page","kleinrock/image/pdf_images/21198-zz002dmvfx-1-master_007.tif","7","","","","Page 7","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1378w8m",""
"Roberts (Larry) Collection","ark:/21198/z1zg8cs9","ark:/21198/zz002dmvfx","","","Page","kleinrock/image/pdf_images/21198-zz002dmvfx-1-master_008.tif","8","","","","Page 8","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zg8cs9",""
"Roberts (Larry) Collection","ark:/21198/z1tq7n4w","ark:/21198/zz002dmvfx","","","Page","kleinrock/image/pdf_images/21198-zz002dmvfx-1-master_009.tif","9","","","","Page 9","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7n4w",""
"Roberts (Larry) Collection","ark:/21198/z1pz6wfm","ark:/21198/zz002dmvfx","","","Page","kleinrock/image/pdf_images/21198-zz002dmvfx-1-master_010.tif","10","","","","Page 10","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz6wfm",""
