"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Title","Delete in Title","Thumbnail","Type.genre","Rights.copyrightStatus","Rights.countryCreation","Language","Rights.permission","Name.repository","Relation.isPartOf","Name.creator","Rights.rightsHolderContact","Subject","Date.normalized","Date.creation","AltTitle.other","Alt ID.local","Opac url","Finding Aid URL","Summary","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Roberts (Larry) Collection","ark:/21198/z1572zqm","ark:/21198/zz002dmvdd","","","Page","kleinrock/image/pdf_images/21198-zz002dmvdd-1-master_001.tif","1","","","","Page 1","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1572zqm",""
"Roberts (Larry) Collection","ark:/21198/z11g26wx","ark:/21198/zz002dmvdd","","","Page","kleinrock/image/pdf_images/21198-zz002dmvdd-1-master_002.tif","2","","","","Page 2","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g26wx",""
"Roberts (Larry) Collection","ark:/21198/z1wq1qc6","ark:/21198/zz002dmvdd","","","Page","kleinrock/image/pdf_images/21198-zz002dmvdd-1-master_003.tif","3","","","","Page 3","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1qc6",""
"Roberts (Larry) Collection","ark:/21198/z1rz0zng","ark:/21198/zz002dmvdd","","","Page","kleinrock/image/pdf_images/21198-zz002dmvdd-1-master_004.tif","4","","","","Page 4","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz0zng",""
"Roberts (Larry) Collection","ark:/21198/z1n6070r","ark:/21198/zz002dmvdd","","","Page","kleinrock/image/pdf_images/21198-zz002dmvdd-1-master_005.tif","5","","","","Page 5","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n6070r",""
"Roberts (Larry) Collection","ark:/21198/z1hd9gbc","ark:/21198/zz002dmvdd","","","Page","kleinrock/image/pdf_images/21198-zz002dmvdd-1-master_006.tif","6","","","","Page 6","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hd9gbc",""
"Roberts (Larry) Collection","ark:/21198/z1cr7f0x","ark:/21198/zz002dmvdd","","","Page","kleinrock/image/pdf_images/21198-zz002dmvdd-1-master_007.tif","7","","","","Page 7","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr7f0x",""
"Roberts (Larry) Collection","ark:/21198/z1806p9z","ark:/21198/zz002dmvdd","","","Page","kleinrock/image/pdf_images/21198-zz002dmvdd-1-master_008.tif","8","","","","Page 8","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1806p9z",""
"Roberts (Larry) Collection","ark:/21198/z1475xhb","ark:/21198/zz002dmvdd","","","Page","kleinrock/image/pdf_images/21198-zz002dmvdd-1-master_009.tif","9","","","","Page 9","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1475xhb",""
"Roberts (Larry) Collection","ark:/21198/z10g55q3","ark:/21198/zz002dmvdd","","","Page","kleinrock/image/pdf_images/21198-zz002dmvdd-1-master_010.tif","10","","","","Page 10","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g55q3",""
