Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Visibility,Type.typeOfResource,Type.genre,Name.subject,Title,Description.note,Date.creation,Opac url,Finding Aid URL,Format.extent,IIIF Manifest URL
Kitaj (R.B.) Papers. Collection 1741,ark:/21198/zz0026jgsd,ark:/21198/zz001nx6f9,1,In progress,Work,,4,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jgsd%2Fpr30m336,individuals,private,still image,text,"Kitaj, R. B.",Kitaj and Sandra photo postcard,Note on verso from Lee(?).,"January 22, 1988",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5598339,https://oac.cdlib.org/findaid/ark:/13030/kt3q2nf0wf/,1 postcard,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026jgsd/manifest
Kitaj (R.B.) Papers. Collection 1741,ark:/21198/zz0026jgtx,ark:/21198/zz001nx6f9,1,In progress,Work,,5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jgtx%2Ffh17gc85,individuals,private,still image|~|text,,"Kitaj, R. B.","Kitaj, Sandra and Max photo postcard",Note on verso from Lee.,"July 18, 1990",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5598339,https://oac.cdlib.org/findaid/ark:/13030/kt3q2nf0wf/,1 postcard,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026jgtx/manifest
