"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.creator","Author","Rights.servicesContact","Language","Type.genre","Subject","Name.subject","Name.repository","Name.contributor","viewingHint","Text direction","Visibility","IIIF Range","Title","Date.normalized","Date.creation","Description.note","Description.inscription","Description.abstract","Bucketeer State","IIIF Access URL"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bgkv8","ark:/21198/zz001b3vs5","2","Completed","Page","cruikshank/images/masters/21198-zz001bgkv8_743917_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgkv8"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bgkx9","ark:/21198/zz001bgkws","2","Completed","Page","cruikshank/images/masters/21198-zz001bgkx9_743923_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgkx9"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bgm1b","ark:/21198/zz001bgm0t","2","Completed","Page","cruikshank/images/masters/21198-zz001bgm1b_743932_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgm1b"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bgm3c","ark:/21198/zz001bgm2v","2","Completed","Page","cruikshank/images/masters/21198-zz001bgm3c_743937_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgm3c"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bgn6d","ark:/21198/zz001bgm4w","2","Completed","Page","cruikshank/images/masters/21198-zz001bgn6d_743951_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgn6d"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bgn7x","ark:/21198/zz001bgm4w","2","Completed","Page","cruikshank/images/masters/21198-zz001bgn7x_743955_master.tif","2","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgn7x"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bgn9z","ark:/21198/zz001bgn8f","2","Completed","Page","cruikshank/images/masters/21198-zz001bgn9z_743975_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgn9z"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bgnc0","ark:/21198/zz001bgnbg","2","Completed","Page","cruikshank/images/masters/21198-zz001bgnc0_743987_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgnc0"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bgpt6","ark:/21198/zz001bgpr5","2","Completed","Page","cruikshank/images/masters/21198-zz001bgpt6_743997_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgpt6"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bgpxr","ark:/21198/zz001bgpvq","2","Completed","Page","cruikshank/images/masters/21198-zz001bgpxr_744023_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgpxr"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bgq08","ark:/21198/zz001bgpz8","2","Completed","Page","cruikshank/images/masters/21198-zz001bgq08_744061_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgq08"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bgq29","ark:/21198/zz001bgq1s","2","Completed","Page","cruikshank/images/masters/21198-zz001bgq29_744077_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgq29"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bgq4b","ark:/21198/zz001bgq3t","2","Completed","Page","cruikshank/images/masters/21198-zz001bgq4b_744095_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgq4b"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bgq6c","ark:/21198/zz001bgq5v","2","Completed","Page","cruikshank/images/masters/21198-zz001bgq6c_744127_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgq6c"
