"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Subject","Description.note","Summary","Title","Alt ID.local","Opac URL","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtzgk","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_043.tif","43","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 43","uclamss_107_b05_f08_043","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtzgk",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtzh3","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_044.tif","44","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 44","uclamss_107_b05_f08_044","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtzh3",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtzjm","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_045.tif","45","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 45","uclamss_107_b05_f08_045","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtzjm",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtzk4","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_046.tif","46","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 46","uclamss_107_b05_f08_046","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtzk4",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtzmn","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_047.tif","47","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 47","uclamss_107_b05_f08_047","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtzmn",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtzn5","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_048.tif","48","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 48","uclamss_107_b05_f08_048","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtzn5",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtzpp","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_049.tif","49","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 49","uclamss_107_b05_f08_049","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtzpp",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtzq6","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_050.tif","50","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 50","uclamss_107_b05_f08_050","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtzq6",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtzrq","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_051.tif","51","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 51","uclamss_107_b05_f08_051","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtzrq",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtzs7","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_052.tif","52","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 52","uclamss_107_b05_f08_052","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtzs7",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtztr","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_053.tif","53","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 53","uclamss_107_b05_f08_053","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtztr",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtzv8","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_054.tif","54","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 54","uclamss_107_b05_f08_054","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtzv8",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtzws","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_055.tif","55","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 55","uclamss_107_b05_f08_055","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtzws",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtzx9","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_056.tif","56","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 56","uclamss_107_b05_f08_056","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtzx9",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtzzt","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_057.tif","57","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 57","uclamss_107_b05_f08_057","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtzzt",""
