"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Subject","Description.note","Summary","Title","Alt ID.local","Opac URL","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv8zm","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_061.tif","61","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 61","uclamss_107_b12_f02_061","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv8zm",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv90m","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_062.tif","62","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 62","uclamss_107_b12_f02_062","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv90m",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv914","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_063.tif","63","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 63","uclamss_107_b12_f02_063","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv914",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv92n","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_064.tif","64","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 64","uclamss_107_b12_f02_064","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv92n",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv935","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_065.tif","65","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 65","uclamss_107_b12_f02_065","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv935",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv94p","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_066.tif","66","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 66","uclamss_107_b12_f02_066","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv94p",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv956","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_067.tif","67","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 67","uclamss_107_b12_f02_067","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv956",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv96q","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_068.tif","68","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 68","uclamss_107_b12_f02_068","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv96q",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv977","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_069.tif","69","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 69","uclamss_107_b12_f02_069","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv977",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv98r","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_070.tif","70","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 70","uclamss_107_b12_f02_070","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv98r",""
