Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Name.subject,Name.donor,Name.copyrightHolder,Name.repository,Subject,Rights.copyrightStatus,Name.publisher,Name.designer,Name.creator,Name.contributor,Format.extent,AltIdentifier.collection,AltIdentifier.local,Relation.relatedTo,Date.creation,Title,Format.medium,Format.dimensions,Date.normalized,Relation.isPartOf,Description.note,Format.material,Description.physicalDescription,Bucketeer State,IIIF Access URL
Roybal (Edward R.) Photograph Collection,ark:/21198/zz000sjt98,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz000sjt98-1-master.tif,,,,photographs,Black-and-white photographs,,Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL_EarlyYears_0001.tif,"Edward R. Roybal Papers, 1953-1962",,CSRC_ROYBAL_EarlyYears_0001.tif,,,,Edward R. Roybal Papers,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjt98
Roybal (Edward R.) Photograph Collection,ark:/21198/zz000sjtdt,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz000sjtdt-1-master.tif,,,,photographs,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL_EarlyYears_0002.tif,"Edward R. Roybal Papers, 1953-1962",,CSRC_ROYBAL_EarlyYears_0002.tif,,,,Edward R. Roybal Papers,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjtdt
Roybal (Edward R.) Photograph Collection,ark:/21198/zz000sjtfb,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz000sjtfb-1-master.tif,,,,photographs,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL_EarlyYears_0007.tif,"Edward R. Roybal Papers, 1953-1962",,CSRC_ROYBAL_EarlyYears_0007.tif,,,,Edward R. Roybal Papers,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjtfb
Roybal (Edward R.) Photograph Collection,ark:/21198/zz000sjtgv,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz000sjtgv-1-master.tif,,,,photographs,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL_EarlyYears_0012.tif,"Edward R. Roybal Papers, 1953-1962",,CSRC_ROYBAL_EarlyYears_0012.tif,,,1950/1959,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjtgv
Roybal (Edward R.) Photograph Collection,ark:/21198/zz000sjthc,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz000sjthc-1-master.tif,,,,photographs,Black-and-white photographs,,Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,,Edward R. Roybal Papers,CSRC_ROYBAL_EarlyYears_0004.tif,"Edward R. Roybal Papers, 1953-1962",,CSRC_ROYBAL_EarlyYears_0004.tif,,,,Edward R. Roybal Papers,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjthc
Roybal (Edward R.) Photograph Collection,ark:/21198/zz000sjtjw,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz000sjtjw-1-master.tif,,,,photographs,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL_EarlyYears_0006.tif,"Edward R. Roybal Papers, 1953-1962",,CSRC_ROYBAL_EarlyYears_0006.tif,,,,Edward R. Roybal Papers,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjtjw
Roybal (Edward R.) Photograph Collection,ark:/21198/zz000sjtkd,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz000sjtkd-1-master.tif,,,,photographs,,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL_EarlyYears_0011.tif,"Edward R. Roybal Papers, 1953-1962",,CSRC_ROYBAL_EarlyYears_0011.tif,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjtkd
Roybal (Edward R.) Photograph Collection,ark:/21198/zz000sjtmx,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz000sjtmx-1-master.tif,,,,photographs,,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL_EarlyYears_0010.tif,"Edward R. Roybal Papers, 1953-1962",,CSRC_ROYBAL_EarlyYears_0010.tif,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjtmx
Roybal (Edward R.) Photograph Collection,ark:/21198/zz000sjtnf,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz000sjtnf-1-master.tif,,,,photographs,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 Photograph,Edward R. Roybal Papers,CSRC_ROYBAL_EarlyYears_0009.tif,"Edward R. Roybal Papers, 1953-1962",,CSRC_ROYBAL_EarlyYears_0009.tif,,,,Edward R. Roybal Papers,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjtnf
Roybal (Edward R.) Photograph Collection,ark:/21198/zz000sjtpz,ark:/21198/zz000s3hxd,2,Completed,Work,csrc/masters/21198-zz000sjtpz-1-master.tif,,,,photographs,Black-and-white photographs,"Roybal, Edward Ross, 1916-2005",Roybal Family,Roybal Family Trust,UCLA Chicano Studies Research Center Library & Archive,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",,,,,1 photograph,Edward R. Roybal Papers,CSRC_ROYBAL_EarlyYears_0005.tif,"Edward R. Roybal Papers, 1953-1962",,CSRC_ROYBAL_EarlyYears_0005.tif,,,,Edward R. Roybal Papers,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjtpz
