"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Alternate Identifier.local","Title","Relation.rectoVerso","thumbnailImageName","masterImageName","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014qzrp","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0227.tif","227","","","","","","","pd","1147_1391_0227","unnumbered page","r","1147_1391_0227.jpg","1391_0227.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014qzrp",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014qzs6","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0228.tif","228","","","","","","","pd","1147_1391_0228","page 228","v","1147_1391_0228.jpg","1391_0228.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014qzs6",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014qztq","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0229.tif","229","","","","","","","pd","1147_1391_0229","page 227","r","1147_1391_0229.jpg","1391_0229.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014qztq",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014qzv7","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0230.tif","230","","","","","","","pd","1147_1391_0230","page 228","v","1147_1391_0230.jpg","1391_0230.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014qzv7",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014qzwr","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0231.tif","231","","","","","","","pd","1147_1391_0231","page 229","r","1147_1391_0231.jpg","1391_0231.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014qzwr",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014qzx8","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0232.tif","232","","","","","","","pd","1147_1391_0232","page 230","v","1147_1391_0232.jpg","1391_0232.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014qzx8",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014qzzs","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0233.tif","233","","","","","","","pd","1147_1391_0233","page 231","r","1147_1391_0233.jpg","1391_0233.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014qzzs",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r007","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0234.tif","234","","","","","","","pd","1147_1391_0234","page 232","v","1147_1391_0234.jpg","1391_0234.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r007",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r01r","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0235.tif","235","","","","","","","pd","1147_1391_0235","page 233","r","1147_1391_0235.jpg","1391_0235.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r01r",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r028","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0236.tif","236","","","","","","","pd","1147_1391_0236","page 234","v","1147_1391_0236.jpg","1391_0236.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r028",""
