"Parent ARK","Item ARK","File Name","Object Type","Title","Item Sequence","Bucketeer State","Thumbmail","IIIF Access URL","IIIF Manifest URL"
"ark:/21198/z1q54gpd","ark:/21198/z15q6s82","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0011_0024.tif","Page","Page 24","24","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q6s82",""
"ark:/21198/z1q54gpd","ark:/21198/z11z61k5","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0011_0025.tif","Page","Page 25","25","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z61k5",""
"ark:/21198/z1q54gpd","ark:/21198/z1x65j53","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0011_0026.tif","Page","Page 26","26","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x65j53",""
"ark:/21198/z1q54gpd","ark:/21198/z1sj3gt7","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0011_0027.tif","Page","Page 27","27","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sj3gt7",""
"ark:/21198/z1q54gpd","ark:/21198/z1ns2r68","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0011_0028.tif","Page","Page 28","28","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns2r68",""
"ark:/21198/z1q54gpd","ark:/21198/z1j120g7","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0011_0029.tif","Page","Page 29","29","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j120g7",""
"ark:/21198/z1q54gpd","ark:/21198/z1d817pm","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0011_0030.tif","Page","Page 30","30","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d817pm",""
"ark:/21198/z1q54gpd","ark:/21198/z18h0gxf","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0011_0031.tif","Page","Page 31","31","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h0gxf",""
"ark:/21198/z1q54gpd","ark:/21198/z14q9r54","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0011_0032.tif","Page","Page 32","32","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14q9r54",""
"ark:/21198/z1q54gpd","ark:/21198/z10z90j4","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0011_0033.tif","Page","Page 33","33","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z90j4",""
"ark:/21198/z1q54gpd","ark:/21198/z1w976dk","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0011_0034.tif","Page","Page 34","34","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w976dk",""
