"Parent ARK","Item ARK","File Name","Object Type","Title","Item Sequence","Bucketeer State","Thumbmail","IIIF Access URL","IIIF Manifest URL"
"ark:/21198/z1wt0m7t","ark:/21198/z1tx5cgc","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0023.tif","Page","Page 23","23","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx5cgc",""
"ark:/21198/z1wt0m7t","ark:/21198/z1q54mp2","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0024.tif","Page","Page 24","24","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q54mp2",""
"ark:/21198/z1wt0m7t","ark:/21198/z1kd3vxw","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0025.tif","Page","Page 25","25","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd3vxw",""
"ark:/21198/z1wt0m7t","ark:/21198/z1fn347d","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0026.tif","Page","Page 26","26","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fn347d",""
"ark:/21198/z1wt0m7t","ark:/21198/z19w2ckk","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0027.tif","Page","Page 27","27","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w2ckk",""
"ark:/21198/z1wt0m7t","ark:/21198/z1641ms8","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0028.tif","Page","Page 28","28","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1641ms8",""
"ark:/21198/z1wt0m7t","ark:/21198/z12c0w2z","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0029.tif","Page","Page 29","29","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c0w2z",""
"ark:/21198/z1wt0m7t","ark:/21198/z1xp9318","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0030.tif","Page","Page 30","30","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp9318",""
"ark:/21198/z1wt0m7t","ark:/21198/z1sx8b83","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0031.tif","Page","Page 31","31","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx8b83",""
"ark:/21198/z1wt0m7t","ark:/21198/z1p57kjp","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0032.tif","Page","Page 32","32","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p57kjp",""
"ark:/21198/z1wt0m7t","ark:/21198/z1jd6tvd","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0033.tif","Page","Page 33","33","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd6tvd",""
"ark:/21198/z1wt0m7t","ark:/21198/z1dn634g","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0034.tif","Page","Page 34","34","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn634g",""
"ark:/21198/z1wt0m7t","ark:/21198/z18w5bdr","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0035.tif","Page","Page 35","35","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w5bdr",""
"ark:/21198/z1wt0m7t","ark:/21198/z1544knw","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0036.tif","Page","Page 36","36","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1544knw",""
"ark:/21198/z1wt0m7t","ark:/21198/z11g2jbw","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0037.tif","Page","Page 37","37","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2jbw",""
