"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Thumbnail","Type.typeOfResource","Type.genre","Date.creation","Date.normalized","Name.creator","Subject","Title","AltTitle.other","Alt ID.local","Description.note","Summary","Finding Aid URL","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Haynes (John R.) Papers. Collection 1241","ark:/21198/zz0026jhj8/c955md2v","ark:/21198/zz0026jhj8","","","Page","hayne/image/21198-zz0026jhj8_1769265_master.tif","2","","private","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jhj8%2Fc955md2v",""
"Haynes (John R.) Papers. Collection 1241","ark:/21198/zz0026jhj8/rj82vk4w","ark:/21198/zz0026jhj8","","","Page","hayne/image/21198-zz0026jhj8_1769262_master.tif","1","","private","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jhj8%2Frj82vk4w",""
"Haynes (John R.) Papers. Collection 1241","ark:/21198/zz0026jhj8/t2682f5k","ark:/21198/zz0026jhj8","","","Page","hayne/image/21198-zz0026jhj8_1769268_master.tif","3","","private","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jhj8%2Ft2682f5k",""
