"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Thumbnail","Type.typeOfResource","Type.genre","Date.creation","Date.normalized","Name.creator","Subject","Title","AltTitle.other","Alt ID.local","Description.note","Summary","Finding Aid URL","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Haynes (John R.) Papers. Collection 1241","ark:/21198/zz0026jhks/3037d86n","ark:/21198/zz0026jhks","","","Page","hayne/image/21198-zz0026jhks_1769277_master.tif","3","","private","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jhks%2F3037d86n",""
"Haynes (John R.) Papers. Collection 1241","ark:/21198/zz0026jhks/61313z7s","ark:/21198/zz0026jhks","","","Page","hayne/image/21198-zz0026jhks_1769280_master.tif","4","","private","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jhks%2F61313z7s",""
"Haynes (John R.) Papers. Collection 1241","ark:/21198/zz0026jhks/hq269v9p","ark:/21198/zz0026jhks","","","Page","hayne/image/21198-zz0026jhks_1769274_master.tif","2","","private","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jhks%2Fhq269v9p",""
"Haynes (John R.) Papers. Collection 1241","ark:/21198/zz0026jhks/pb319h82","ark:/21198/zz0026jhks","","","Page","hayne/image/21198-zz0026jhks_1769271_master.tif","1","","private","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jhks%2Fpb319h82",""
