Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Name.repository,Title,Alt ID.local,Description.abstract,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Rainbow Bridge,ark:/21198/zz002j0bw0,,10,Completed with minimal metadata,Collection,,,,,still image,Fowler Museum at UCLA,Rainbow Bridge,,"Four of the six years of archival material for the Rainbow Bridge-Monument Valley Expedition, 1933-1938, resides in the Fowler Museum, Archaeology, at UCLA.  It includes many photographs and negatives of everyday life and pictures documenting artifacts and the over 600 sites that comprised what was the largest survey expedition to date in the Four Corners area of the American Southwest.  Ralph Beals and George Brainerd, both lead archaeologists for the Expedition, became the first professors in a newly formed Department of Anthropology at UCLA, with Ralph Beals as head of the fledgling department. Photographs include the lab for the Expedition where work was carried out until 1945 in the top floor of the new Powell Library.",,,http://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002j0bw0
Rainbow Bridge,ark:/21198/zz002j0fwf,ark:/21198/zz002j0bw0,10,Completed with minimal metadata,Work,rainbow_bridge/image/fowler_a243_0001.tif,,,,still image,Fowler Museum at UCLA,fowler_a243_0001,fowler_a243_0001,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0fwf,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0fwf/manifest
Rainbow Bridge,ark:/21198/zz002j0fxz,ark:/21198/zz002j0bw0,10,Completed with minimal metadata,Work,rainbow_bridge/image/fowler_a243_0002.tif,,,,still image,Fowler Museum at UCLA,fowler_a243_0002,fowler_a243_0002,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0fxz,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0fxz/manifest
Rainbow Bridge,ark:/21198/zz002j0fzg,ark:/21198/zz002j0bw0,10,Completed with minimal metadata,Work,rainbow_bridge/image/fowler_a243_0003.tif,,,,still image,Fowler Museum at UCLA,fowler_a243_0003,fowler_a243_0003,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0fzg,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0fzg/manifest
Rainbow Bridge,ark:/21198/zz002j0g0g,ark:/21198/zz002j0bw0,10,Completed with minimal metadata,Work,rainbow_bridge/image/fowler_a243_0004.tif,,,,still image,Fowler Museum at UCLA,fowler_a243_0004,fowler_a243_0004,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0g0g,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0g0g/manifest
Rainbow Bridge,ark:/21198/zz002j0g10,ark:/21198/zz002j0bw0,10,Completed with minimal metadata,Work,rainbow_bridge/image/rotate/fowler_a243_0005.tif,,,,still image,Fowler Museum at UCLA,fowler_a243_0005,fowler_a243_0005,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0g10,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0g10/manifest
Rainbow Bridge,ark:/21198/zz002j0g2h,ark:/21198/zz002j0bw0,10,Completed with minimal metadata,Work,rainbow_bridge/image/fowler_a243_0006.tif,,,,still image,Fowler Museum at UCLA,fowler_a243_0006,fowler_a243_0006,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0g2h,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0g2h/manifest
Rainbow Bridge,ark:/21198/zz002j0g31,ark:/21198/zz002j0bw0,10,Completed with minimal metadata,Work,rainbow_bridge/image/fowler_a243_0007.tif,,,,still image,Fowler Museum at UCLA,fowler_a243_0007,fowler_a243_0007,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0g31,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0g31/manifest
Rainbow Bridge,ark:/21198/zz002j0g4j,ark:/21198/zz002j0bw0,10,Completed with minimal metadata,Work,rainbow_bridge/image/rotate/fowler_a243_0008.tif,,,,still image,Fowler Museum at UCLA,fowler_a243_0008,fowler_a243_0008,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0g4j,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0g4j/manifest
Rainbow Bridge,ark:/21198/zz002j0g52,ark:/21198/zz002j0bw0,10,Completed with minimal metadata,Work,rainbow_bridge/image/rotate/fowler_a243_0009.tif,,,,still image,Fowler Museum at UCLA,fowler_a243_0009,fowler_a243_0009,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0g52,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0g52/manifest
Rainbow Bridge,ark:/21198/zz002j0g6k,ark:/21198/zz002j0bw0,10,Completed with minimal metadata,Work,rainbow_bridge/image/fowler_a243_0010.tif,,,,still image,Fowler Museum at UCLA,fowler_a243_0010,fowler_a243_0010,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0g6k,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0g6k/manifest
Rainbow Bridge,ark:/21198/zz002j0g73,ark:/21198/zz002j0bw0,10,Completed with minimal metadata,Work,rainbow_bridge/image/fowler_a243_0011.tif,,,,still image,Fowler Museum at UCLA,fowler_a243_0011,fowler_a243_0011,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0g73,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0g73/manifest
Rainbow Bridge,ark:/21198/zz002j0g8m,ark:/21198/zz002j0bw0,10,Completed with minimal metadata,Work,rainbow_bridge/image/fowler_a243_0012.tif,,,,still image,Fowler Museum at UCLA,fowler_a243_0012,fowler_a243_0012,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0g8m,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0g8m/manifest
Rainbow Bridge,ark:/21198/zz002j0g94,ark:/21198/zz002j0bw0,10,Completed with minimal metadata,Work,rainbow_bridge/image/fowler_a243_0013.tif,,,,still image,Fowler Museum at UCLA,fowler_a243_0013,fowler_a243_0013,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0g94,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0g94/manifest
Rainbow Bridge,ark:/21198/zz002j0gbn,ark:/21198/zz002j0bw0,10,Completed with minimal metadata,Work,rainbow_bridge/image/fowler_a243_0014.tif,,,,still image,Fowler Museum at UCLA,fowler_a243_0014,fowler_a243_0014,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0gbn,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0gbn/manifest
Rainbow Bridge,ark:/21198/zz002j0gc5,ark:/21198/zz002j0bw0,10,Completed with minimal metadata,Work,rainbow_bridge/image/fowler_a243_0015.tif,,,,still image,Fowler Museum at UCLA,fowler_a243_0015,fowler_a243_0015,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0gc5,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0gc5/manifest
Rainbow Bridge,ark:/21198/zz002j0gdp,ark:/21198/zz002j0bw0,10,Completed with minimal metadata,Work,rainbow_bridge/image/fowler_a243_0016.tif,,,,still image,Fowler Museum at UCLA,fowler_a243_0016,fowler_a243_0016,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0gdp,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0gdp/manifest
Rainbow Bridge,ark:/21198/zz002j0gf6,ark:/21198/zz002j0bw0,10,Completed with minimal metadata,Work,rainbow_bridge/image/fowler_a243_0017.tif,,,,still image,Fowler Museum at UCLA,fowler_a243_0017,fowler_a243_0017,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0gf6,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0gf6/manifest
