"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","Subject","viewingHint","Delete in Title","Thumbnail","Type.typeOfResource","Alt ID.local","Title","Date.creation","Description.note","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Marshall Family Papers. Collection 447","ark:/21198/zz001z9mqw","","1","In progress","Collection","","","","private","Marshall family--Archives|~|Los Angeles (Calif.)","","","","","Collection 447","Marshall Family Papers, 1789-1957","","The bulk of the collection consists of photographs of the Fenner, Marshall, and Fraser families as well as their friends. The rest of the collection includes memorabilia of Hollywood High School and the city of Hollywood (1928-1941), UCLA yearbooks and memorabilia (1942-1944), manuscripts of family records, items collected by members of the Marshall family, writings of Virginia Fraser and Asenith Smith, newspaper clippings of the Johnstown flood (1889) and Will Rogers, books collected by the Marshall family, as well as Marshall family correspondence with family and friends.","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5186151","https://oac.cdlib.org/findaid/ark:/13030/kt0199q19d/","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz001z9mqw"
"Marshall Family Papers. Collection 447","ark:/21198/zz0025f880","ark:/21198/zz001z9mqw","1","In progress","Work","mars2/image/21198-zz0025f880_1687306_master.tif","1","","private","","","","","still image","Box 4, folder 11","three women in similar outfits (possibly bathing costumes) (1 of 2) [photograph]","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025f880","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025f880/manifest"
"Marshall Family Papers. Collection 447","ark:/21198/zz0025f89h","ark:/21198/zz001z9mqw","1","In progress","Work","mars2/image/21198-zz0025f89h_1687315_master.tif","2","","private","","","","","still image","Box 4, folder 11","man in hat [photograph]","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025f89h","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025f89h/manifest"
"Marshall Family Papers. Collection 447","ark:/21198/zz0025f8b1","ark:/21198/zz001z9mqw","1","In progress","Work","mars2/image/21198-zz0025f8b1_1687320_master.tif","3","","private","","","","","still image","Box 4, folder 11","three women [photograph]","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025f8b1","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025f8b1/manifest"
"Marshall Family Papers. Collection 447","ark:/21198/zz0025f8cj","ark:/21198/zz001z9mqw","1","In progress","Work","mars2/image/21198-zz0025f8cj_1687323_master.tif","4","","private","","","","","still image","Box 4, folder 11","three women in similar outfits (possibly bathing costumes) (2 of 2) [photograph]","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025f8cj","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025f8cj/manifest"
"Marshall Family Papers. Collection 447","ark:/21198/zz0025f8d2","ark:/21198/zz001z9mqw","1","In progress","Work","mars2/image/21198-zz0025f8d2_1687326_master.tif","5","","private","","","","","still image","Box 5, folder 13","Henrietta Rhoades Fenner, Sam Marshall, Mary Lou Marshall, and Josephine Marshall [photograph]","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025f8d2","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025f8d2/manifest"
"Marshall Family Papers. Collection 447","ark:/21198/zz0025f8fk","ark:/21198/zz001z9mqw","1","In progress","Work","mars2/image/21198-zz0025f8fk_1687329_master.tif","6","","private","","","","","still image","Box 5, folder 15","Henrietta Rhoades Fenner, Mary Lou Marshall, Lena Moss, Sam Marshall, John D. Terrell, and Aunt Etta [photograph]","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025f8fk","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025f8fk/manifest"
"Marshall Family Papers. Collection 447","ark:/21198/zz0025f8g3","ark:/21198/zz001z9mqw","1","In progress","Work","mars2/image/21198-zz0025f8g3_1687337_master.tif","7","","private","","","","","still image","Box 5, folder 16","Sam Marshall, Josephine Marshall, Hugh Marshall, Evans Terrell, Norton Ives, Charlie Marshall [photograph]","July 10 [no year]","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025f8g3","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025f8g3/manifest"
"Marshall Family Papers. Collection 447","ark:/21198/zz0025f8hm","ark:/21198/zz001z9mqw","1","In progress","Work","mars2/image/21198-zz0025f8hm_1687346_master.tif","8","","private","","","","","still image","Box 5, folder 18","Saline (Lina) Fenner Turner (and boy) [photograph]","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025f8hm","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025f8hm/manifest"
"Marshall Family Papers. Collection 447","ark:/21198/zz0025f8j4","ark:/21198/zz001z9mqw","1","In progress","Work","mars2/image/21198-zz0025f8j4_1687371_master.tif","9","","private","","","","","still image","Box 7, Folder 6","Unidentified woman and boy [photograph]","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025f8j4","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025f8j4/manifest"
