Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,Duplicate,Delete in Title,Type.typeOfResource,Name.creator,Alt ID.local,Title,AltTitle.uniform,Date.creation,Description.note,Finding Aid URL,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
"Bradley (Tom, Mayor) Administrative Papers. Collection 293",ark:/21198/zz001z9mpc,,2,Completed,Collection,,,,,,,"Bradley, Tom, $d 1917-1998",,"Mayor Tom Bradley Administration Papers, 1920-1993 (bulk 1973-1993)","Bradley (Tom, Mayor) Administrative Papers. Collection 293",1973-1993,"Collection contains the records of the administrative activities of Los Angeles Mayor Tom Bradley, whose tenure in office covered an unprecedented five terms. Although the bulk of the collection covers Bradley's years as mayor (1973-1993), the collection contains some material from Bradley's service as a LA City Councilman (1963-1973) as well as materials related to his candidacy for Governor of CA in 1983 and 1986. The collection covers a variety of subjects related to events and issues in Los Angeles, including transportation, water, offshore oil drilling, education, the 1984 Olympic Games, the Los Angeles Convention Center LA Produce and Flower Markets, and civil unrest (LA Riots). The collection contains records in a variety of formats, including correspondence, photographs, reports, publications, architectural drawings, cassette recordings, video tapes, and memorabilia.",https://oac.cdlib.org/findaid/ark:/13030/kt4489n8jd/,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma997094533606533,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz001z9mpc
"Bradley (Tom, Mayor) Administrative Papers. Collection 293",ark:/21198/zz0025dtjd,ark:/21198/zz001z9mpc,2,Completed,Work,bradl/image/image21198-zz0025dtjd_1685508_master.tif,1,,,,text,"Bradley, Tom, $d 1917-1998","Box 3691, folder 7",boycott flyer,,"November 18, 1989",,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dtjd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025dtjd/manifest
