"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Visibility","Type.typeOfResource","Title","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000s9bp2","","2","Completed","Collection","","","","","","private","","Szanik (George) Papers. Collection 1799","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz000s9bp2"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sgp4v","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sgp4v-1-master.tif","1","","","","private","still image","fuschia living room","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sgp4v","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sgp4v/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sgp5c","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sgp5c-1-master.tif","2","","","","private","still image","living room with green couch","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sgp5c","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sgp5c/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sgp6w","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sgp6w-1-master.tif","3","","","","private","still image","yellow desk","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sgp6w","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sgp6w/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sgqzr","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sgqzr-1-master.tif","4","","","","private","still image","living room with artwork of birds","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sgqzr","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sgqzr/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sgr0r","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sgr0r-1-master.tif","5","","","","private","still image","living room with fireplace and turquoise couches","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sgr0r","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sgr0r/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sgr18","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sgr18-1-master.tif","6","","","","private","still image","living room with pool view","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sgr18","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sgr18/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjsnz","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjsnz-1-master.tif","7","","","","private","","green living room","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjsnz","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjsnz/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjspg","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjspg-1-master.tif","8","","","","private","still image","yellow living room","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjspg","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjspg/manifest"
"Szanik (George) Papers. Collection 1799","ark:/21198/zz000sjsq0","ark:/21198/zz000s9bp2","2","Completed","Work","szanik/masters/21198-zz000sjsq0-1-master.tif","9","","","","private","still image","patio","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjsq0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjsq0/manifest"
