"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Title","Description.note","Format.medium","Alt ID.local","Format.dimensions","Relation.isPartOf","Date.creation","Coverage.geographic","Bucketeer State","IIIF Access URL"
"Packman (Ana B. de) Papers.  Collection 1491","ark:/21198/zz0009gsvc","","2","Completed","Collection","","1","","","","","","Packman (Ana B. de) Papers","","","","","","","","",
"Packman (Ana B. de) Papers.  Collection 1491","ark:/21198/zz001dsjsm","ark:/21198/zz0009gsvc","2","Completed","Work","packman/masters/21198-zz001dsjsm_779584_master.tif","2","","","still image","","","Rancho de La Cienega O' Paso de la Tijera  n.d.","Sanchez Rancho, entrance from the East.|~|Stamp on back of photograph reads:""The C.C. Pierce Collection, Historical Photographs, 1572 W. Pico St., Los Angeles""","b&w photograph","c1491_b7_f(6)_2965","16.1 x 20.8 cm","Packman (Ana B. de) Papers","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dsjsm"
"Packman (Ana B. de) Papers.  Collection 1491","ark:/21198/zz001dsjt4","ark:/21198/zz0009gsvc","2","Completed","Work","packman/masters/21198-zz001dsjt4_779587_master.tif","3","","","still image","","","Rancho de La Cienega O' Paso de la Tijera  n.d.","Sanchez Rancho, entrance from the West.|~|Stamp on back of photograph reads:""The C.C. Pierce Collection, Historical Photographs, 1572 W. Pico St., Los Angeles""","b&w negative","c1491_b7_f(6)_2967","16 x 21 cm","Packman (Ana B. de) Papers","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dsjt4"
"Packman (Ana B. de) Papers.  Collection 1491","ark:/21198/zz001dsjvn","ark:/21198/zz0009gsvc","2","Completed","Work","packman/masters/21198-zz001dsjvn_779592_master.tif","11","","","still image","","","Doña Anita Johnson Mellus de Trudell -  California women  ca. 1850-1910","","b&w photograph","C1491_b10_f6","20 x 25 cm","Packman (Ana B. de) Papers","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dsjvn"
"Packman (Ana B. de) Papers.  Collection 1491","ark:/21198/zz001dsjw5","ark:/21198/zz0009gsvc","2","Completed","Work","packman/masters/21198-zz001dsjw5_779595_master.tif","1","","","","","","Mission San Rafael","","","c1491_b5_f13","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dsjw5"
"Packman (Ana B. de) Papers.  Collection 1491","ark:/21198/zz001dsjxp","ark:/21198/zz0009gsvc","2","Completed","Work","packman/masters/21198-zz001dsjxp_779600_master.tif","4","","","still image","","","Rancho de la Merced  ca. 1869-1937","Note on back of photograph reads:""Rafael Bayse adobe Montebello-[destroyed].  Property of Walter Temple 1937.""","b&w photograph","1491_b7_f9","4 x 5 in.","Packman (Ana B. de) Papers","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dsjxp"
"Packman (Ana B. de) Papers.  Collection 1491","ark:/21198/zz001dsk7t","ark:/21198/zz0009gsvc","2","Completed","Work","packman/masters/21198-zz001dsk7t_779609_master.tif","5","","","still image","","","Rancho de la Merced ca. 1869-1937","Note on back of photograph reads:""Sanchez House Historic Spanish Haicienda""|~|Stamp on back of photograph reads:""Pacific Stereopticon Co., Suite 700, 106 West Third Street, Los Angeles""","b&w photograph","1491_b7_f9","16.5 x 22 cm","Packman (Ana B. de) Papers","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dsk7t"
"Packman (Ana B. de) Papers.  Collection 1491","ark:/21198/zz001dsk8b","ark:/21198/zz0009gsvc","2","Completed","Work","packman/masters/21198-zz001dsk8b_779616_master.tif","10","","","still image","","","Jean Luis Vignes -  French pioneers in California  n.d.","Printed sheet on back of photograph reads:""Reyes - Alaniz, Mi Libro, Ana Begue De Packman""|~|Logo on back of photograph indicates it was made by Bradley & Rulotson, Montgomery Street, San Francisco""|~|He was known to his Mexican neighbors, ""Don Luis del Aliso.""","b&w photograph","C1491_b10_f(3)","6.3 x 10.6 cm","Packman (Ana B. de) Papers","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dsk8b"
"Packman (Ana B. de) Papers.  Collection 1491","ark:/21198/zz002kdwg9","ark:/21198/zz0009gsvc","2","Completed","Work","packman/masters/21198-zz002kdwg9_2402319_master.tif","7","","","","","","Rancho Santa Rosa n.d.","Pechanga Indian cemetery, Pachanga Country.","","uclamss_1491_b9_f13_001","","","","Riverside, California","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdwg9"
"Packman (Ana B. de) Papers.  Collection 1491","ark:/21198/zz002kdwht","ark:/21198/zz0009gsvc","2","Completed","Work","packman/masters/21198-zz002kdwht_2402322_master.tif","8","","","","","","Rancho Santa Rosa n.d.","Pechanga Indian church and cemetery","","uclamss_b9_f13_002","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdwht"
