Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Name.repository,Title,Alt ID.local,Description.abstract,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Littlesalt Archive,ark:/21198/zz002j0btz,,10,Completed with minimal metadata,Collection,,,,,still image,Fowler Museum at UCLA,Littlesalt Archive,,"The famous Navajo guide and interpreter, Max Littlesalt, worked for the largest survey expedition to date, Rainbow Bridge-Monument Valley Expedition, 1933-1938. The main study areas fell in the areas where his own family and his wife's family lived. Here they kept their many herds and traversed the wide area by horseback. He led the expedition through this land and guided them to many archaeological sites and to the dinosaur skeleton of what was to be the only dinosaur excavated in the area, Segisaurus, a small bipedal dinosaur. And to the fossilized dinosaur footprints, an extraordinary run. Men from the Expedition continued to visit Max and be guided by him.",,,http://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002j0btz
Littlesalt Archive,ark:/21198/zz002j0drw,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0001.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0001,littlesalt_0001,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0drw,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0drw/manifest
Littlesalt Archive,ark:/21198/zz002j0dsd,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0002.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0002,littlesalt_0002,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0dsd,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0dsd/manifest
Littlesalt Archive,ark:/21198/zz002j0dtx,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0003.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0003,littlesalt_0003,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0dtx,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0dtx/manifest
Littlesalt Archive,ark:/21198/zz002j0dvf,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0004.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0004,littlesalt_0004,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0dvf,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0dvf/manifest
Littlesalt Archive,ark:/21198/zz002j0dwz,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0005.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0005,littlesalt_0005,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0dwz,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0dwz/manifest
Littlesalt Archive,ark:/21198/zz002j0dxg,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0006.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0006,littlesalt_0006,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0dxg,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0dxg/manifest
Littlesalt Archive,ark:/21198/zz002j0dz0,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0007.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0007,littlesalt_0007,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0dz0,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0dz0/manifest
Littlesalt Archive,ark:/21198/zz002j0f00,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0008.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0008,littlesalt_0008,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0f00,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0f00/manifest
Littlesalt Archive,ark:/21198/zz002j0f1h,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0009.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0009,littlesalt_0009,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0f1h,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0f1h/manifest
Littlesalt Archive,ark:/21198/zz002j0f21,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0010.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0010,littlesalt_0010,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0f21,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0f21/manifest
Littlesalt Archive,ark:/21198/zz002j0f3j,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0011.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0011,littlesalt_0011,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0f3j,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0f3j/manifest
Littlesalt Archive,ark:/21198/zz002j0f42,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0012.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0012,littlesalt_0012,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0f42,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0f42/manifest
Littlesalt Archive,ark:/21198/zz002j0f5k,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0013.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0013,littlesalt_0013,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0f5k,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0f5k/manifest
Littlesalt Archive,ark:/21198/zz002j0f63,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0014.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0014,littlesalt_0014,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0f63,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0f63/manifest
Littlesalt Archive,ark:/21198/zz002j0f7m,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0015.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0015,littlesalt_0015,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0f7m,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0f7m/manifest
Littlesalt Archive,ark:/21198/zz002j0f84,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0016.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0016,littlesalt_0016,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0f84,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0f84/manifest
Littlesalt Archive,ark:/21198/zz002j0f9n,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0017.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0017,littlesalt_0017,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0f9n,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0f9n/manifest
Littlesalt Archive,ark:/21198/zz002j0fb5,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0018.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0018,littlesalt_0018,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0fb5,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0fb5/manifest
Littlesalt Archive,ark:/21198/zz002j0fcp,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0019.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0019,littlesalt_0019,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0fcp,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0fcp/manifest
Littlesalt Archive,ark:/21198/zz002j0fd6,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0020.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0020,littlesalt_0020,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0fd6,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0fd6/manifest
Littlesalt Archive,ark:/21198/zz002j0ffq,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0021.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0021,littlesalt_0021,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0ffq,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0ffq/manifest
Littlesalt Archive,ark:/21198/zz002j0fg7,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0022.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0022,littlesalt_0022,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0fg7,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0fg7/manifest
Littlesalt Archive,ark:/21198/zz002j0fhr,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0023.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0023,littlesalt_0023,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0fhr,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0fhr/manifest
Littlesalt Archive,ark:/21198/zz002j0fj8,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0024.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0024,littlesalt_0024,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0fj8,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0fj8/manifest
Littlesalt Archive,ark:/21198/zz002j0fks,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0025.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0025,littlesalt_0025,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0fks,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0fks/manifest
Littlesalt Archive,ark:/21198/zz002j0fm9,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0026.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0026,littlesalt_0026,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0fm9,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0fm9/manifest
Littlesalt Archive,ark:/21198/zz002j0fnt,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0026_Retouched.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0026_Retouched,littlesalt_0026_Retouched,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0fnt,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0fnt/manifest
Littlesalt Archive,ark:/21198/zz002j0fpb,ark:/21198/zz002j0btz,10,Completed with minimal metadata,Work,littlesalt_archive/image/littlesalt_0027.tif,,,,still image,Fowler Museum at UCLA,littlesalt_0027,littlesalt_0027,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0fpb,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0fpb/manifest
