Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,Type.typeOfResource,Name.subject,Subject,Creator,Date.creation,Title,Relation.isPartOf,Format.dimensions,Format.medium,Alt ID.local,Description.note,Summary,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Uplifters Club Records 1909-1976. Collection 2062,ark:/21198/zz0013zn6s,,2,Completed,Collection,,,,,,private,,,Uplifters Club--Archives.,Uplifters Club,1909-1976,Uplifters Club Records 1909-1976,,,,Collection 2062,"The Uplifters Club was founded in Dec. 1913 at the Los Angeles Athletic Club by Harry Marston Haldeman and a small group of business and professional men; acquired a country home in Rustic Canyon; activities included monthly dinner meetings, polo games, annual outings, and organized entertainment at which stage and screen celebrities performed; the Club ended in 1947. Includes minute books, miscellaneous financial, real estate, and other records, photographs, copy photographs, clippings, and ephemera relating to Rustic Canyon.","The Uplifters Club derived from the dinner meetings of a group of Los Angeles Athletic Club members, prominent amongst whom was Harry Marston Haldeman. Their first official dinner as Uplifters was held on December 10, 1913 and their purpose was to ""uplift art, promote good fellowship and build a closer aquaintance,"" among members. Social traditions that were established in addition to the dinner meetings included Annual Outings and Poets' Dinners, and High Jinx. L. Frank Baum was a founder member and wrote the official song, ""Haldeman.""",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233915,https://oac.cdlib.org/findaid/ark:/13030/kt6f59q6hd/,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0013zn6s
Uplifters Club Records 1909-1976. Collection 2062,ark:/21198/zz0019r4q3,ark:/21198/zz0013zn6s,1,In progress,Work,uplifters/masters/21198-zz0019r4q3_736349_master.tif,3,,,,private,still image,"Roach, Hal",,,1923,Hal Roach cartoon,Uplifters Club Records 1909-1976. Collection 2062.,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019r4q3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019r4q3/manifest
Uplifters Club Records 1909-1976. Collection 2062,ark:/21198/zz001drznw,ark:/21198/zz0013zn6s,1,In progress,Work,uplifters/masters/21198-zz001drznw_778005_master.tif,4,,,,private,,"Roach, Hal|~|Williams, Big Boy, 1900-1962|~|Baker, Snowy, 1884-1953",Uplifters Club,,ca. 1936,"Snowy Baker, Glenn Garbutt, Hal Roach, Winslow Felix and Big Boy Williams watching a polo match, [1936].",Uplifters Club Records 1909-1976. Collection 2062,8 x 10 in.,b&w photograph,C2062_b3_f(polo field),,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001drznw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001drznw/manifest
Uplifters Club Records 1909-1976. Collection 2062,ark:/21198/zz001ds1gq,ark:/21198/zz0013zn6s,1,In progress,Work,uplifters/masters/21198-zz001ds1gq_778017_master.tif,5,,,,private,,"Roach, Hal",Uplifters Club,,,"Nicola Guilii, Prisoner & Hal Roach, Bolsheviki Soldier.",Uplifters Club Records 1909-1976. Collection 2062,18.5 x 25.5 cm,b&w photograph,C2062_b4_f(6-Uplifters Club outings),"Back of photograph contains note which reads:""1914 Forest Home Outing/Mercury""|~|Back of photograph contains stamp which reads:""This photograph may not be reproduced without written permission from Thomas Young / 550 Latimer Dr. / Santa Monica, Calif.""",,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ds1gq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ds1gq/manifest
Uplifters Club Records 1909-1976. Collection 2062,ark:/21198/zz001ds1h7,ark:/21198/zz0013zn6s,1,In progress,Work,uplifters/masters/21198-zz001ds1h7_778029_master.tif,6,,,,private,still image,"Rogers, Will, $d 1879-1935",Uplifters Club,,ca. 1930,"Will Rogers, [1930].",Uplifters Club Records 1909-1976. Collection 2062,8 x 10 in.,b&w photograph,C2062_b4_f(7-Will Rogers),,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ds1h7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ds1h7/manifest
