"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Visibility","Type.typeOfResource","Rights.copyrightStatus","Type.genre","Subject topic","Name.repository","Language","Rights.permission","Relation.isPartOf","Title","Description.note","Summary","Format.extent","Alt ID.local","Format.dimensions","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Toch (Ernst) Collection","ark:/21198/zz002311tp","","1","In progress","Collection","","","","","","private","","","","Toch, Ernst, 1887-1964--Archives|~|Toch, Lilly, 1892-1972|~|Composers--Archives|~|Music--Manuscripts|~|Music--Scores|~|Sound recordings","","","","","Ernst Toch Papers, circa 1835-1988","The Collection consists of materials relating to the Austrian-American composer, Ernst Toch. Included are music manuscripts and scores, books of his personal library, manuscripts, biographical material, correspondence, articles, essays, speeches, lectures, programs, clippings, photographs, sound recordings, financial records, and memorabilia. Also included are manuscripts and published works of other composers, as well as Lilly Toch's letters and lectures.","Ernst Toch was born on Dec. 7, 1887 in Vienna; taught himself piano in his grandmother's pawnshop; learned musical notation from a local violinist, and copied Mozart's string quartets for practice; began to compose chamber music, and at age 17 had a quartet performed; in 1909 he won the prestigious Mozart Prize and a scholarship to study at the Frankfurt Conservatory, where he studied piano with Willy Rehberg and composition with Iwan Knorr; won the Mendelssohn Prize in 1910 and the Austrian State Prize four times in succession; in 1913 he was appointed teacher of composition at the Mannheim Musikhochschule; married Lilly Zwack in 1916; earned Dr. phil. degree in 1921; taught piano and composition in Berlin from 1929-33, leaving at the onset of the Nazi regime for Paris, London, and finally the US, where he taught at the New School for Social Research in New York (1934-36); taught at the Univ. of Southern CA (1937-48), afterward giving private instruction; lived in Vienna and Switzerland from 1950-58, then spent the remainder of his life in LA; won the Pulitzer and Huntington-Hartford Prizes for his Third Symphony (1956), was elected to the American National Institute of Arts and Letters (1956), received honorary citations from the German and Austrian governments, and won a Grammy Award (1960); publications include Melodielehre (1923) and The shaping forces in music (1948); his compositions encompass all genres and include Fuge aus der Geographie (1930), Seven symphonies, 13 string quartets, several chamber operas, and music for films; he died on Oct. 1, 1964 in LA.","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233872","https://oac.cdlib.org/findaid/ark:/13030/ft0z09n428/","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002311tp"
"Toch (Ernst) Collection","ark:/21198/zz0025f1xf","ark:/21198/zz002311tp","1","In progress","Work","toch/image/21198-zz0025f1xf_1686686_master.tif","1","","","","private","still image","Y","","","University of California, Los Angeles. Library. Performing Arts Special Collections","zxx","","Ernst Toch Papers (Collection 1). UCLA Library Special Collections, Charles E. Young Research Library.","1_105_item 7_forum magazine p 85-1","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233872","https://oac.cdlib.org/findaid/ark:/13030/ft0z09n428/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025f1xf","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025f1xf/manifest"
"Toch (Ernst) Collection","ark:/21198/zz0025spwk","ark:/21198/zz002311tp","1","In progress","Work","toch/image/21198-zz0025spwk_1714277_master.tif","2","","","","private","still image","copyrighted","Black-and-white photographs","","University of California, Los Angeles. Library. Performing Arts Special Collections","zxx","Y","Ernst Toch Papers (Collection 1). UCLA Library Special Collections, Charles E. Young Research Library.","Toch With Envelope","Black and white photograph.  Ernst Toch (Left) with unidentified man.","","1 photograph: b&w","uclamus_001_b1_f1_77","3.5 x 6 inches","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233872","https://oac.cdlib.org/findaid/ark:/13030/ft0z09n428/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025spwk","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025spwk/manifest"
