"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Name.repository","Title","Alt ID.local","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0bvg","","10","Completed with minimal metadata","Collection","","","","","still image","Fowler Museum at UCLA","Report on Fieldwork with the Rainbow Bridge","","Report on Fieldwork with the Rainbow Bridge-Monument Valley Expedition, 1933-38. is the Masters of Arts thesis, co-authored by James Russell and Russell White, two teachers for the public schools of California who participated in the Expedition for the 1934 season.  Under Lyndon Hargrave, Director of the Museum of Northern Arizona, who oversaw the Expedition during the first two years, Russell and White produced this in-depth study of several topics, including the Navajo Mud Dance, the dinosaur find, Segisaurus, and other archaeological work.  Each chapter is accompanied by a comprehensive collection of photographs, hand tipped-into the publication.  It is a rare and coveted document with one copy in good condition in the holdings of Special Collections, Powell Library, UCLA.","","","http://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002j0bvg"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jjq","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0001.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0001","uclalsc_2995564_0001","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jjq","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0jjq/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jk7","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0002.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0002","uclalsc_2995564_0002","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jk7","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0jk7/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jmr","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0003.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0003","uclalsc_2995564_0003","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jmr","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0jmr/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jn8","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0004.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0004","uclalsc_2995564_0004","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jn8","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0jn8/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jps","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0005.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0005","uclalsc_2995564_0005","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jps","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0jps/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jq9","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0006.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0006","uclalsc_2995564_0006","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jq9","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0jq9/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jrt","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0007.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0007","uclalsc_2995564_0007","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jrt","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0jrt/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jsb","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0008.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0008","uclalsc_2995564_0008","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jsb","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0jsb/manifest"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jtv","ark:/21198/zz002j0bvg","10","Completed with minimal metadata","Work","fowler_rainbow_bridge/image/uclalsc_2995564_0009.tif","","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0009","uclalsc_2995564_0009","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jtv","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0jtv/manifest"
