"Project Name","Item ARK","Parent ARK","Object Type","File Name","Item Sequence","Type.typeOfResource","Title","Place of origin","Format.dimensions","Format.medium","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Palmer Family Papers. Collection 515","ark:/21198/zz002kh3rp","ark:/21198/zz000sbx4f","Work","palmer/masters/21198-zz002kh3rp_2408073_master.tif","29","still image","Crack across image of three ships sailing, one large and two rowboats.","Constitution Bay and beach.","4in. x 5in.","glass negative.","Palmer Family Papers,Collection 515 box 53 negative 126","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3rp","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002kh3rp/manifest"
"Palmer Family Papers. Collection 515","ark:/21198/zz002kh3s6","ark:/21198/zz000sbx4f","Work","palmer/masters/21198-zz002kh3s6_2408076_master.tif","30","still image","Men load rowboats on the beach.","Constiution Bay and beach.","4in. x 5in.","glass negative.","Palmer Family Papers,Collection 515 box 53 negative 127","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3s6","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002kh3s6/manifest"
"Palmer Family Papers. Collection 515","ark:/21198/zz002kh3tq","ark:/21198/zz000sbx4f","Work","palmer/masters/21198-zz002kh3tq_2408079_master.tif","31","still image","Men relax and sell drinks on a city sidewalk.","Chile: Characteristic scenes 1.","4in. x 5in.","glass negative.","Palmer Family Papers,Collection 515 box 53 negative 130","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3tq","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002kh3tq/manifest"
"Palmer Family Papers. Collection 515","ark:/21198/zz002kh3v7","ark:/21198/zz000sbx4f","Work","palmer/masters/21198-zz002kh3v7_2408082_master.tif","32","still image","City goers relax in a shaded area of a cobbled stone street.","Chile: Characteristic scenes 1.","4in. x 5in.","glass negative.","Palmer Family Papers,Collection 515 box 53 negative 135","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3v7","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002kh3v7/manifest"
"Palmer Family Papers. Collection 515","ark:/21198/zz002kh3wr","ark:/21198/zz000sbx4f","Work","palmer/masters/21198-zz002kh3wr_2408085_master.tif","33","still image","Residents ride a trolley through a city street.","Chile: Characteristic scenes 1.","4in. x 5in.","glass negative.","Palmer Family Papers,Collection 515 box 53 negative 136","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3wr","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002kh3wr/manifest"
"Palmer Family Papers. Collection 515","ark:/21198/zz002kh3x8","ark:/21198/zz000sbx4f","Work","palmer/masters/21198-zz002kh3x8_2408088_master.tif","34","still image","Bulls attached to a small cart stand and while another pair roam around the dirt.","Chile: Characteristic scenes 1.","4in. x 5in.","glass negative.","Palmer Family Papers,Collection 515 box 53 negative 137","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3x8","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002kh3x8/manifest"
"Palmer Family Papers. Collection 515","ark:/21198/zz002kh3zs","ark:/21198/zz000sbx4f","Work","palmer/masters/21198-zz002kh3zs_2408091_master.tif","35","still image","A horse rider waits patiently and carries a large woven basket behind him.","Chile: Characterisitc scenes 1.","4in. x 5in.","glass negative.","Palmer Family Papers,Collection 515 box 53 negative 138","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh3zs","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002kh3zs/manifest"
"Palmer Family Papers. Collection 515","ark:/21198/zz002kh40s","ark:/21198/zz000sbx4f","Work","palmer/masters/21198-zz002kh40s_2408094_master.tif","36","still image","People mill around the outside of a train.","Chile: Characteristic scenes 1.","4in. x 5in.","glass negative.","Palmer Family Papers,Collection 515 box 53 negative 139","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh40s","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002kh40s/manifest"
"Palmer Family Papers. Collection 515","ark:/21198/zz002kh419","ark:/21198/zz000sbx4f","Work","palmer/masters/21198-zz002kh419_2408097_master.tif","37","still image","A street vendor and city residents go about their day.","Chile: Characteristic scenes 1.","4in. x 5in.","glass negative.","Palmer Family Papers,Collection 515 box 53 negative 140","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh419","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002kh419/manifest"
"Palmer Family Papers. Collection 515","ark:/21198/zz002kh42t","ark:/21198/zz000sbx4f","Work","palmer/masters/21198-zz002kh42t_2408100_master.tif","38","still image","Men and women look directly into the camera during ship construction on a beach.","Constitucion.","4in. x 5in.","glass negative.","Palmer Family Papers,Collection 515 box 53 negative 147","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh42t","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002kh42t/manifest"
